Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2012-01-03,0.95,0.98,0.94,0.95,8200,3.8,,1,2012
2012-01-04,0.93,0.95,0.92,0.94,3300,3.76,,1,2012
2012-01-05,0.93,0.95,0.93,0.95,9900,3.8,,1,2012
2012-01-06,0.94,0.95,0.92,0.95,5700,3.8,,1,2012
2012-01-09,0.93,0.93,0.92,0.92,11900,3.68,,1,2012
2012-01-10,0.92,0.93,0.91,0.92,11500,3.68,,1,2012
2012-01-11,0.91,0.95,0.91,0.95,11300,3.8,,1,2012
2012-01-12,0.95,0.95,0.93,0.95,6300,3.8,,1,2012
2012-01-13,0.94,0.95,0.9,0.93,15700,3.72,,1,2012
2012-01-17,0.95,1.02,0.93,1.01,51500,4.04,,1,2012
2012-01-18,1.0,1.0,0.93,0.99,11800,3.96,,1,2012
2012-01-19,1.0,1.01,0.97,0.98,10000,3.92,,1,2012
2012-01-20,0.96,1.02,0.94,0.95,11200,3.8,,1,2012
2012-01-23,1.0,1.0,0.96,0.98,10600,3.92,,1,2012
2012-01-24,0.98,0.98,0.93,0.94,5800,3.76,48.3870967742,1,2012
2012-01-25,0.97,0.98,0.96,0.98,5500,3.92,54.6840958606,1,2012
2012-01-26,0.98,1.0,0.95,0.96,8400,3.84,51.313099544,1,2012
2012-01-27,0.99,0.99,0.95,0.95,5500,3.8,49.6645631125,1,2012
2012-01-30,0.95,0.99,0.95,0.98,1600,3.92,54.3978374515,1,2012
2012-01-31,0.99,0.99,0.97,0.99,4000,3.96,55.8869195708,1,2012
2012-02-01,0.99,1.0,0.96,0.99,40800,3.96,55.8869195708,1,2012
2012-02-02,0.93,0.99,0.93,0.99,22300,3.96,55.8869195708,1,2012
2012-02-03,1.0,1.0,0.93,0.96,7800,3.84,49.7944989178,1,2012
2012-02-06,0.99,0.99,0.95,0.97,8600,3.88,51.6852018906,1,2012
2012-02-07,0.95,0.97,0.92,0.93,18000,3.72,44.4709245459,1,2012
2012-02-08,0.93,1.0,0.93,1.0,15600,4.0,56.0359594754,1,2012
2012-02-09,0.99,0.99,0.96,0.97,13300,3.88,51.1218898608,1,2012
2012-02-10,0.98,0.98,0.96,0.97,6700,3.88,51.1218898608,1,2012
2012-02-13,0.99,1.09,0.95,1.09,209900,4.36,65.2563515287,1,2012
2012-02-14,1.12,1.15,1.04,1.07,81000,4.28,62.0364313428,1,2012
2012-02-15,1.07,1.07,1.01,1.01,26800,4.04,53.5066818694,1,2012
2012-02-16,1.0,1.01,0.97,1.01,27200,4.04,53.5066818694,1,2012
2012-02-17,0.99,1.02,0.97,1.0,9100,4.0,52.12144503,1,2012
2012-02-21,1.0,1.0,0.95,0.95,20400,3.8,45.7445397892,1,2012
2012-02-22,1.0,1.04,0.95,1.01,21700,4.04,53.1517227264,1,2012
2012-02-23,1.0,1.02,0.97,1.02,13100,4.08,54.2722511411,1,2012
2012-02-24,1.02,1.05,0.98,1.03,17500,4.12,55.4205337729,1,2012
2012-02-27,1.02,1.05,0.95,0.95,24500,3.8,45.563229853,1,2012
2012-02-28,0.95,1.0,0.92,0.94,22000,3.76,44.4978100212,1,2012
2012-02-29,0.92,0.97,0.86,0.93,28900,3.72,43.4047887734,1,2012
2012-03-01,0.96,0.96,0.87,0.94,11000,3.76,44.8633184645,1,2012
2012-03-02,0.91,0.91,0.86,0.88,49900,3.52,38.4590430952,1,2012
2012-03-05,0.88,0.92,0.87,0.88,17200,3.52,38.4590430952,1,2012
2012-03-06,0.87,0.91,0.86,0.86,23000,3.44,36.4476531079,1,2012
2012-03-07,0.87,0.87,0.84,0.87,18300,3.48,38.1883487532,1,2012
2012-03-08,0.87,0.87,0.85,0.85,3700,3.4,36.0609768646,1,2012
2012-03-09,0.87,0.87,0.81,0.85,6600,3.4,36.0609768646,1,2012
2012-03-12,0.84,0.86,0.82,0.84,9500,3.36,34.9325279017,1,2012
2012-03-13,0.84,0.86,0.8,0.81,15200,3.24,31.7251236805,1,2012
2012-03-14,0.81,0.82,0.75,0.75,37200,3.0,26.4870464841,1,2012
2012-03-15,0.75,0.77,0.7,0.71,41900,2.84,23.680034159,1,2012
2012-03-16,0.71,0.79,0.71,0.79,10300,3.16,37.8632310417,1,2012
2012-03-19,0.85,0.87,0.8,0.82,26100,3.28,42.2010541043,1,2012
2012-03-20,0.8,0.82,0.76,0.81,14500,3.24,41.1693373757,1,2012
2012-03-21,0.81,0.85,0.76,0.79,11400,3.16,39.1099451931,1,2012
2012-03-22,0.77,0.8,0.77,0.77,9100,3.08,37.1107744663,1,2012
2012-03-23,0.77,0.79,0.75,0.76,5900,3.04,36.116685504,1,2012
2012-03-26,0.75,0.81,0.75,0.75,8200,3.0,35.10401829,1,2012
2012-03-27,0.77,0.8,0.73,0.79,11800,3.16,42.0976064456,1,2012
2012-03-28,0.8,0.8,0.75,0.77,4400,3.08,39.7887484972,1,2012
2012-03-29,0.77,0.78,0.72,0.74,20700,2.96,36.5505075185,1,2012
2012-03-30,0.74,0.77,0.72,0.75,11200,3.0,38.3515923844,1,2012
2012-04-02,0.74,0.76,0.74,0.76,4700,3.04,40.1802618586,2,2012
2012-04-03,0.72,0.74,0.68,0.68,42300,2.72,32.0019380375,2,2012
