Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2014-07-31,10.9,11.0,8.26,8.4,1624400,8.4,,3,2014
2014-08-01,8.48,8.48,6.87,6.9,359100,6.9,,3,2014
2014-08-04,7.37,7.37,6.61,7.24,89100,7.24,,3,2014
2014-08-05,7.1,7.46,7.1,7.3,66600,7.3,,3,2014
2014-08-06,7.5,7.5,7.0,7.46,27400,7.46,,3,2014
2014-08-07,7.23,7.6,7.23,7.57,29000,7.57,,3,2014
2014-08-08,7.6,7.79,7.58,7.74,72200,7.74,,3,2014
2014-08-11,7.99,7.99,7.37,7.7,17600,7.7,,3,2014
2014-08-12,7.7,7.7,7.4,7.55,30500,7.55,,3,2014
2014-08-13,7.4,7.5,7.3,7.43,20200,7.43,,3,2014
2014-08-14,7.3,8.1,7.0,7.3,10300,7.3,,3,2014
2014-08-15,7.22,7.4,7.15,7.31,16200,7.31,,3,2014
2014-08-18,7.33,7.43,7.3,7.43,5300,7.43,,3,2014
2014-08-19,7.51,7.51,7.23,7.34,11200,7.34,,3,2014
2014-08-20,7.23,7.7,7.23,7.5,10000,7.5,35.7594936709,3,2014
2014-08-21,7.489,7.59,7.43,7.59,14700,7.59,37.6712328767,3,2014
2014-08-22,7.45,7.75,7.45,7.68,18300,7.68,39.6067316833,3,2014
2014-08-25,8.48,8.75,8.11,8.68,106400,8.68,55.9679448068,3,2014
2014-08-26,8.95,9.29,8.85,9.29,198000,9.29,62.6203243033,3,2014
2014-08-27,10.0,10.0,9.5,9.79,161800,9.79,67.0187747009,3,2014
2014-08-28,9.82,10.0,9.51,9.79,69300,9.79,67.0187747009,3,2014
2014-08-29,9.67,9.7,8.76,9.24,77900,9.24,58.2713309382,3,2014
2014-09-02,9.0,9.79,8.61,8.71,69200,8.71,51.3199827735,3,2014
2014-09-03,8.94,9.29,8.87,8.87,24900,8.87,53.1374589778,3,2014
2014-09-04,8.7,8.98,8.22,8.45,15100,8.45,48.064551986,3,2014
2014-09-05,8.34,8.63,8.2,8.55,17700,8.55,49.3054965577,3,2014
2014-09-08,9.24,9.24,8.723,8.9,6500,8.9,53.4939233771,3,2014
2014-09-09,9.2,9.2,8.57,9.12,6800,9.12,55.9571522702,3,2014
2014-09-10,8.99,8.99,8.3,8.64,23200,8.64,49.7639767851,3,2014
2014-09-11,8.95,8.95,8.4,8.8,15100,8.8,51.6835990847,3,2014
2014-09-12,8.47,8.8,8.47,8.8,2300,8.8,51.6835990847,3,2014
2014-09-15,8.56,8.8,8.16,8.6,24000,8.6,48.9708030645,3,2014
2014-09-16,8.15,8.65,8.15,8.5,16100,8.5,47.6247813288,3,2014
2014-09-17,8.4,8.85,8.4,8.6,30800,8.6,49.1305443271,3,2014
