Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2012-11-12,7.5,7.5,7.5,7.5,4900,7.5,,4,2012
2012-11-13,8.5,9.0,8.5,8.5,2900,8.5,,4,2012
2012-11-14,8.5,8.5,7.5,8.0,6200,8.0,,4,2012
2012-11-15,8.0,8.0,8.0,8.0,3000,8.0,,4,2012
2012-11-16,8.0,8.0,8.0,8.0,0,8.0,,4,2012
2012-11-19,8.0,8.0,8.0,8.0,0,8.0,,4,2012
2012-11-20,7.5,7.5,7.5,7.5,500,7.5,,4,2012
2012-11-21,8.1,9.15,8.1,9.15,5400,9.15,,4,2012
2012-11-23,9.75,9.75,9.15,9.15,3500,9.15,,4,2012
2012-11-26,9.25,10.0,8.6,8.6,6300,8.6,,4,2012
2012-11-27,8.78,8.78,8.6,8.6,3500,8.6,,4,2012
2012-11-28,9.9,9.9,9.0,9.3,12400,9.3,,4,2012
2012-11-29,9.35,9.45,9.3,9.3,3700,9.3,,4,2012
2012-11-30,9.3,9.5,9.0,9.05,12700,9.05,,4,2012
2012-12-03,9.05,9.05,8.35,8.35,4900,8.35,57.264957265,4,2012
2012-12-04,8.2,8.75,8.05,8.3,9600,8.3,56.7426710098,4,2012
2012-12-05,8.35,8.4,7.8,7.8,6100,7.8,51.6678074378,4,2012
2012-12-06,8.34,8.34,8.34,8.34,200,8.34,56.2216919075,4,2012
2012-12-07,8.1,8.1,8.1,8.1,1000,8.1,53.7956685077,4,2012
2012-12-10,8.35,9.45,8.2,8.3,6200,8.3,55.5182370172,4,2012
2012-12-11,8.25,8.6,8.25,8.5,7100,8.5,57.2352152383,4,2012
2012-12-12,8.0,8.05,8.0,8.05,3600,8.05,52.3398771069,4,2012
2012-12-13,8.05,8.05,8.05,8.05,0,8.05,52.3398771069,4,2012
2012-12-14,8.1,8.1,8.0,8.0,1300,8.0,51.7692945657,4,2012
2012-12-17,7.99,8.0,7.7,8.0,3200,8.0,51.7692945657,4,2012
2012-12-18,8.02,8.85,8.0,8.5,10400,8.5,57.1827428275,4,2012
2012-12-19,8.65,8.8,8.35,8.8,5800,8.8,60.078071198,4,2012
2012-12-20,8.8,8.8,8.8,8.8,0,8.8,60.078071198,4,2012
2012-12-21,8.1,8.8,7.7,8.8,6000,8.8,60.078071198,4,2012
2012-12-24,8.5,8.5,8.5,8.5,100,8.5,55.399245341,4,2012
2012-12-26,8.5,8.5,8.5,8.5,2100,8.5,55.399245341,4,2012
2012-12-27,8.5,8.5,8.5,8.5,0,8.5,55.399245341,4,2012
2012-12-28,8.5,8.5,8.5,8.5,400,8.5,55.399245341,4,2012
2012-12-31,8.51,8.52,8.37,8.37,9300,8.37,52.9937401255,4,2012
2013-01-02,8.5,8.5,8.5,8.5,3500,8.5,55.0936233873,1,2013
2013-01-03,8.5,8.5,8.5,8.5,700,8.5,55.0936233873,1,2013
2013-01-04,8.5,9.5,8.5,8.5,2900,8.5,55.0936233873,1,2013
2013-01-07,8.6,9.0,8.51,9.0,1200,9.0,63.0277035383,1,2013
2013-01-08,9.15,9.15,8.5,8.75,9200,8.75,57.5524173223,1,2013
2013-01-09,8.6,8.6,8.45,8.45,4300,8.45,51.7434774074,1,2013
2013-01-10,8.9,8.9,8.25,8.25,2600,8.25,48.2472527736,1,2013
2013-01-11,8.75,8.75,8.4,8.6,3600,8.6,54.0930636278,1,2013
2013-01-14,8.55,8.55,8.15,8.15,2900,8.15,46.7770670855,1,2013
2013-01-15,8.5,8.5,8.5,8.5,500,8.5,52.1928918141,1,2013
2013-01-16,8.75,8.75,8.6,8.6,1200,8.6,53.6442870773,1,2013
2013-01-17,8.6,8.6,8.6,8.6,1200,8.6,53.6442870773,1,2013
2013-01-18,8.6,8.6,8.6,8.6,0,8.6,53.6442870773,1,2013
2013-01-22,8.6,8.6,8.6,8.6,0,8.6,53.6442870773,1,2013
2013-01-23,8.75,8.75,8.4,8.4,3000,8.4,49.5939544109,1,2013
2013-01-24,8.45,8.45,8.15,8.15,5100,8.15,45.0183211523,1,2013
2013-01-25,8.2,8.4,8.2,8.4,400,8.4,49.987511339,1,2013
2013-01-28,8.4,8.4,8.4,8.4,900,8.4,49.987511339,1,2013
2013-01-29,8.4,8.4,8.4,8.4,100,8.4,49.987511339,1,2013
2013-01-30,8.41,8.41,8.41,8.41,100,8.41,50.2123151119,1,2013
2013-01-31,8.85,9.0,8.5,9.0,9200,9.0,61.2728744165,1,2013
2013-02-01,9.0,9.0,9.0,9.0,1000,9.0,61.2728744165,1,2013
2013-02-04,9.0,9.0,9.0,9.0,0,9.0,61.2728744165,1,2013
