Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2012-01-03,0.98996,1.039958,0.98996,0.98996,10800,11.879525,,1,2012
2012-01-04,0.99996,1.019959,0.98996,0.99996,9600,11.99952,,1,2012
2012-01-05,0.99996,1.029959,0.979961,1.019959,16700,12.23951,,1,2012
2012-01-06,0.98996,1.049958,0.98996,1.039958,14700,12.4795,,1,2012
2012-01-09,1.00996,1.019959,0.98996,1.019959,14700,12.23951,,1,2012
2012-01-10,1.00996,1.079957,0.99996,1.049958,17100,12.599496,,1,2012
2012-01-11,1.049958,1.059958,1.029959,1.029959,9400,12.359505,,1,2012
2012-01-12,1.029959,1.049958,0.99996,1.019959,7900,12.23951,,1,2012
2012-01-13,1.00996,1.059958,0.99996,1.049958,17200,12.599496,,1,2012
2012-01-17,1.039958,1.159954,1.019959,1.049958,50800,12.599496,,1,2012
2012-01-18,1.049958,1.089956,1.019959,1.019959,25900,12.23951,,1,2012
2012-01-19,1.019959,1.039958,0.99996,1.019959,24100,12.23951,,1,2012
2012-01-20,1.019959,1.119955,1.019959,1.049958,63400,12.599496,,1,2012
2012-01-23,1.079957,1.099956,1.049958,1.049958,21700,12.599496,,1,2012
2012-01-24,1.049958,1.119955,1.039958,1.099956,52100,13.199471,70.3703543661,1,2012
2012-01-25,1.109956,1.109956,1.049958,1.059958,29000,12.719491,60.6879597723,1,2012
2012-01-26,1.089956,1.319947,1.059958,1.319947,158200,15.839366,79.9749709138,1,2012
2012-01-27,1.329947,1.329947,1.149954,1.219951,118000,14.639414,66.4678615145,1,2012
2012-01-30,1.189952,1.199952,1.119955,1.139954,34100,13.679453,58.0248606854,1,2012
2012-01-31,1.129955,1.179953,1.059958,1.089956,37800,13.079476,53.4546491225,1,2012
2012-02-01,1.089956,1.139954,1.029959,1.059958,43500,12.719491,50.8659371362,1,2012
2012-02-02,1.069957,1.109956,1.049958,1.059958,13300,12.719491,50.8659371362,1,2012
2012-02-03,1.079957,1.129955,1.059958,1.099956,37200,13.199471,54.2890894764,1,2012
2012-02-06,1.089956,1.229951,1.089956,1.169953,125500,14.039438,59.5943791333,1,2012
2012-02-07,1.169953,1.339946,1.169953,1.24995,155000,14.9994,64.6447130711,1,2012
2012-02-08,1.289948,1.339946,1.199952,1.25995,76600,15.119395,65.2297455423,1,2012
2012-02-09,1.269949,1.289948,1.229951,1.229951,25900,14.759409,61.9195001356,1,2012
2012-02-10,1.229951,1.25995,1.159954,1.219951,34400,14.639414,60.8116938376,1,2012
2012-02-13,1.23995,1.24995,1.159954,1.179953,29100,14.159433,56.4603301709,1,2012
2012-02-14,1.199952,1.199952,1.099956,1.119955,43100,13.439462,50.6103636644,1,2012
2012-02-15,1.149954,1.149954,1.089956,1.109956,21100,13.319467,49.6863468741,1,2012
2012-02-16,1.139954,1.139954,1.089956,1.119955,14100,13.439462,50.6565323195,1,2012
2012-02-17,1.139954,1.179953,1.109956,1.139954,17300,13.679453,52.6241573561,1,2012
2012-02-21,1.169953,1.169953,1.099956,1.109956,21900,13.319467,49.439504342,1,2012
2012-02-22,1.099956,1.129955,1.099956,1.109956,13700,13.319467,49.439504342,1,2012
2012-02-23,1.119955,1.129955,1.099956,1.119955,8700,13.439462,50.5953288114,1,2012
2012-02-24,1.109956,1.119955,1.099956,1.109956,15800,13.319467,49.3796652848,1,2012
2012-02-27,1.119955,1.23995,1.099956,1.169953,36900,14.039438,56.1824617254,1,2012
2012-02-28,1.179953,1.199952,1.139954,1.159954,17800,13.919443,54.8592029388,1,2012
2012-02-29,1.159954,1.189952,1.139954,1.149954,14600,13.799448,53.5021404007,1,2012
2012-03-01,1.139954,1.179953,1.139954,1.149954,12300,13.799448,53.5021404007,1,2012
2012-03-02,1.169953,1.169953,1.119955,1.159954,17900,13.919443,54.7989269004,1,2012
2012-03-05,1.149954,1.25995,1.119955,1.23995,56000,14.879405,63.5556448942,1,2012
2012-03-06,1.199952,1.289948,1.169953,1.279949,87800,15.359385,66.9982224558,1,2012
2012-03-07,1.24995,1.349946,1.159954,1.159954,100800,13.919443,51.332444914,1,2012
2012-03-08,1.179953,1.179953,1.109956,1.129955,41100,13.559458,48.2923239199,1,2012
2012-03-09,1.139954,1.189952,1.119955,1.129955,21200,13.559458,48.2923239199,1,2012
2012-03-12,1.119955,1.149954,1.109956,1.109956,16300,13.319467,46.1778024575,1,2012
2012-03-13,1.109956,1.129955,1.099956,1.099956,27600,13.199471,45.1141415745,1,2012
2012-03-14,1.139954,1.139954,0.99996,1.039958,102600,12.4795,39.2694961013,1,2012
2012-03-15,1.039958,1.069957,1.019959,1.029959,11800,12.359505,38.3771144706,1,2012
2012-03-16,1.039958,1.069957,1.029959,1.049958,15000,12.599496,41.2525321227,1,2012
2012-03-19,1.049958,1.099956,1.049958,1.079957,11400,12.959481,45.3702999206,1,2012
2012-03-20,1.069957,1.079957,1.049958,1.049958,11000,12.599496,42.1859197829,1,2012
2012-03-21,1.069957,1.069957,1.049958,1.069957,8600,12.839486,44.9594289861,1,2012
2012-03-22,1.069957,1.069957,1.039958,1.049958,12900,12.599496,42.7507895908,1,2012
2012-03-23,1.059958,1.079957,1.049958,1.079957,6700,12.959481,46.9598460022,1,2012
2012-03-26,1.079957,1.099956,1.059958,1.069957,12800,12.839486,45.7523327224,1,2012
2012-03-27,1.069957,1.079957,1.019959,1.049958,11500,12.599496,43.3513839329,1,2012
2012-03-28,1.049958,1.059958,1.029959,1.029959,11300,12.359505,41.0324741503,1,2012
2012-03-29,1.019959,1.049958,1.019959,1.039958,9300,12.4795,42.6833505515,1,2012
2012-03-30,1.039958,1.079957,1.039958,1.049958,23000,12.599496,44.3608802087,1,2012
2012-04-02,1.069957,1.069957,1.019959,1.049958,19000,12.599496,44.3608802087,2,2012
2012-04-03,1.039958,1.069957,1.029959,1.049958,7900,12.599496,44.3608802087,2,2012
2012-04-04,1.049958,1.059958,1.019959,1.039958,9400,12.4795,42.7964673274,2,2012
