Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2014-04-11,16.5,17.0,16.120001,17.0,4251100,16.760506,,2,2014
2014-04-14,16.74,17.66,16.290001,16.67,390700,16.435156,,2,2014
2014-04-15,16.66,16.85,16.0,16.24,209700,16.011213,,2,2014
2014-04-16,16.17,16.450001,16.049999,16.309999,101300,16.080227,,2,2014
2014-04-17,16.059999,16.285,16.0,16.02,139600,15.794313,,2,2014
2014-04-21,15.85,16.549999,15.1,16.129999,158200,15.902762,,2,2014
2014-04-22,16.700001,16.98,16.190001,16.82,171400,16.583042,,2,2014
2014-04-23,16.75,17.25,16.34,17.110001,132700,16.868957,,2,2014
2014-04-24,17.0,17.48,16.290001,17.139999,97200,16.898534,,2,2014
2014-04-25,17.110001,18.450001,17.049999,17.870001,84800,17.618251,,2,2014
2014-04-28,18.25,18.5,17.23,17.959999,80500,17.706981,,2,2014
2014-04-29,18.0,18.469999,17.16,17.549999,67000,17.302757,,2,2014
2014-04-30,17.5,18.219999,17.379999,17.66,50800,17.411208,,2,2014
2014-05-01,17.25,18.08,17.25,17.59,83300,17.342195,,2,2014
2014-05-02,17.389999,17.799999,17.049999,17.780001,51300,17.529519,60.1562745566,2,2014
2014-05-05,17.530001,18.0,17.33,17.959999,44800,17.706981,62.0709399269,2,2014
2014-05-06,18.0,18.176001,17.25,17.82,154700,17.568954,59.669197122,2,2014
2014-05-07,17.559999,18.370001,17.209999,17.969999,88300,17.716841,61.3928756231,2,2014
2014-05-08,17.75,18.469999,17.57,17.84,77200,17.588673,59.0379095221,2,2014
2014-05-09,17.41,18.389999,17.41,17.76,56200,17.5098,57.5742883002,2,2014
2014-05-12,17.75,17.83,17.129999,17.73,27100,17.480222,57.0035659513,2,2014
2014-05-13,17.75,18.25,17.65,17.84,130700,17.588673,58.623148834,2,2014
2014-05-14,18.26,18.26,16.540001,17.91,501800,17.657686,59.6643667875,2,2014
2014-05-15,17.209999,18.129999,17.209999,17.959999,91400,17.706981,60.4303219976,2,2014
2014-05-16,17.610001,18.07,17.610001,17.9,53800,17.647827,58.9828629875,2,2014
2014-05-19,18.02,19.120001,17.9,18.469999,111000,18.209797,67.0559861166,2,2014
2014-05-20,18.57,19.68,18.5,18.639999,128600,18.377402,69.0147825431,2,2014
2014-05-21,18.860001,18.99,18.1,18.389999,103900,18.130924,63.0753077541,2,2014
2014-05-22,18.25,18.82,18.07,18.610001,148000,18.347826,65.8597765611,2,2014
