Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2013-06-27,7.0,9.1,6.56,8.26,630400,8.26,,2,2013
2013-06-28,8.48,8.49,7.5,7.56,181500,7.56,,2,2013
2013-07-01,7.26,7.55,7.26,7.5,14600,7.5,,3,2013
2013-07-02,7.31,8.25,7.3,7.83,29400,7.83,,3,2013
2013-07-03,8.09,8.1,7.81,8.0,8600,8.0,,3,2013
2013-07-05,8.73,9.25,8.19,8.97,28500,8.97,,3,2013
2013-07-08,9.5,10.32,9.15,9.82,47400,9.82,,3,2013
2013-07-09,10.0,10.2,9.54,9.58,28200,9.58,,3,2013
2013-07-10,9.46,9.98,9.1,9.4,16000,9.4,,3,2013
2013-07-11,9.51,9.51,8.26,8.76,30600,8.76,,3,2013
2013-07-12,8.5,8.61,8.1,8.51,60200,8.51,,3,2013
2013-07-15,8.5,8.63,8.15,8.25,32600,8.25,,3,2013
2013-07-16,8.52,10.0,8.25,9.57,47300,9.57,,3,2013
2013-07-17,9.98,9.98,9.18,9.8,8800,9.8,,3,2013
2013-07-18,9.87,9.93,9.55,9.57,21200,9.57,60.1866251944,3,2013
2013-07-19,9.61,10.3,9.57,10.12,106200,10.12,63.5447475079,3,2013
2013-07-22,10.12,10.4,9.4,9.4,61000,9.4,56.791601714,3,2013
2013-07-23,10.0,10.4,9.83,10.0,26300,10.0,60.5537477716,3,2013
2013-07-24,10.02,10.25,9.85,9.86,14600,9.86,59.2572538808,3,2013
2013-07-25,10.67,10.67,9.7,10.0,16000,10.0,60.1755110793,3,2013
2013-07-26,10.27,10.45,9.53,9.55,24100,9.55,55.8206147542,3,2013
2013-07-29,9.5,9.74,8.71,9.26,10400,9.26,53.151052405,3,2013
2013-07-30,9.01,9.24,8.75,9.2,11900,9.2,52.5906602939,3,2013
2013-07-31,9.2,9.5,9.07,9.31,5800,9.31,53.557428853,3,2013
2013-08-01,9.4,9.45,9.01,9.4,4500,9.4,54.3771674135,3,2013
2013-08-02,9.99,9.99,9.32,9.5,13000,9.5,55.3208079623,3,2013
2013-08-05,9.49,9.9,9.49,9.76,4800,9.76,57.7667006077,3,2013
2013-08-06,10.0,10.0,9.52,9.76,2600,9.76,57.7667006077,3,2013
2013-08-07,9.99,9.99,9.52,9.7,2800,9.7,56.9325584897,3,2013
2013-08-08,9.53,9.8,9.52,9.56,1000,9.56,54.9391075305,3,2013
2013-08-09,9.85,9.85,9.64,9.74,2700,9.74,57.0227016321,3,2013
2013-08-12,9.81,9.97,9.53,9.53,6300,9.53,53.8918131519,3,2013
2013-08-13,9.75,9.75,8.75,8.94,10300,8.94,46.2144058206,3,2013
2013-08-14,8.85,9.27,8.85,8.94,12100,8.94,46.2144058206,3,2013
2013-08-15,8.97,9.0,8.87,9.0,4900,9.0,47.1031770383,3,2013
2013-08-16,8.9,9.0,8.8,8.9,6400,8.9,45.7463821531,3,2013
2013-08-19,8.81,9.08,8.75,8.75,7200,8.75,43.7124113966,3,2013
2013-08-20,8.89,8.9,8.66,8.85,1300,8.85,45.4536064194,3,2013
2013-08-21,8.87,8.99,8.69,8.99,4100,8.99,47.8842243553,3,2013
2013-08-22,9.0,9.07,8.85,8.9,4200,8.9,46.4512218305,3,2013
2013-08-23,8.82,8.96,8.76,8.84,2500,8.84,45.4741807892,3,2013
2013-08-26,8.68,9.1,8.6,9.04,7700,9.04,49.3021516374,3,2013
2013-08-27,9.05,9.05,8.86,8.89,4300,8.89,46.6565468842,3,2013
2013-08-28,8.98,9.0,8.87,8.92,9100,8.92,47.2660335472,3,2013
2013-08-29,9.0,9.1,8.93,9.1,5800,9.1,50.8915916787,3,2013
2013-08-30,9.0,9.03,8.07,8.17,11100,8.17,36.8101493537,3,2013
2013-09-03,8.7,9.0,8.21,8.55,9900,8.55,43.6687543712,3,2013
2013-09-04,8.54,9.0,8.21,8.62,22900,8.62,44.8561211724,3,2013
2013-09-05,8.6,8.78,8.56,8.78,1100,8.78,47.5761355832,3,2013
2013-09-06,8.71,8.9,8.26,8.9,1800,8.9,49.5846841298,3,2013
2013-09-09,9.25,9.95,9.04,9.22,19500,9.22,54.5819784568,3,2013
2013-09-10,9.36,10.0,9.36,9.79,13300,9.79,61.8382044133,3,2013
2013-09-11,9.98,10.5,9.78,10.25,24900,10.25,66.4909787402,3,2013
2013-09-12,10.25,12.5,10.25,11.82,111900,11.82,76.8605817111,3,2013
2013-09-13,11.84,15.12,11.58,13.98,81300,13.98,84.134781504,3,2013
2013-09-16,14.86,16.059999,14.39,14.99,156600,14.99,86.3030323494,3,2013
