Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2012-01-03,1.05,1.05,0.95,1.0,763400,1.0,,1,2012
2012-01-04,0.97,0.99,0.96,0.96,485900,0.96,,1,2012
2012-01-05,0.96,0.99,0.94,0.95,416000,0.95,,1,2012
2012-01-06,0.95,0.96,0.9,0.91,834500,0.91,,1,2012
2012-01-09,0.98,0.98,0.91,0.92,558500,0.92,,1,2012
2012-01-10,0.94,0.97,0.91,0.96,1141500,0.96,,1,2012
2012-01-11,0.96,0.96,0.9,0.92,925500,0.92,,1,2012
2012-01-12,0.93,0.94,0.92,0.93,522500,0.93,,1,2012
2012-01-13,0.92,0.92,0.91,0.91,385800,0.91,,1,2012
2012-01-17,0.92,0.93,0.91,0.91,409000,0.91,,1,2012
2012-01-18,0.91,0.93,0.91,0.92,278300,0.92,,1,2012
2012-01-19,0.93,0.94,0.92,0.92,281300,0.92,,1,2012
2012-01-20,0.93,0.95,0.92,0.93,419900,0.93,,1,2012
2012-01-23,0.94,1.05,0.93,1.04,4435100,1.04,,1,2012
2012-01-24,1.03,1.04,0.98,1.02,1178700,1.02,52.7777777778,1,2012
2012-01-25,1.02,1.09,0.99,1.02,2929100,1.02,52.7777777778,1,2012
2012-01-26,1.04,1.05,0.98,1.0,1531200,1.0,49.5830759728,1,2012
2012-01-27,1.02,1.02,0.99,1.01,745000,1.01,51.1744812037,1,2012
2012-01-30,1.01,1.02,0.97,0.99,602800,0.99,47.9168116605,1,2012
2012-01-31,1.0,1.01,0.96,0.98,1135000,0.98,46.3287800925,1,2012
2012-02-01,0.99,1.01,0.96,0.98,795100,0.98,46.3287800925,1,2012
2012-02-02,0.98,1.01,0.97,1.0,1075800,1.0,50.1600944871,1,2012
2012-02-03,1.02,1.05,1.0,1.01,750100,1.01,52.004929966,1,2012
2012-02-06,1.0,1.04,0.99,1.01,3410300,1.01,52.004929966,1,2012
2012-02-07,1.02,1.12,1.01,1.1,5346000,1.1,65.3805177625,1,2012
2012-02-08,1.12,1.14,1.02,1.05,4740200,1.05,56.0371311752,1,2012
2012-02-09,1.06,1.07,1.02,1.04,1558600,1.04,54.3638054363,1,2012
2012-02-10,1.03,1.03,0.99,1.01,1476600,1.01,49.5805670523,1,2012
2012-02-13,1.02,1.02,0.99,1.01,1025300,1.01,49.5805670523,1,2012
2012-02-14,1.01,1.01,0.94,0.95,2151300,0.95,41.1769586813,1,2012
2012-02-15,0.96,0.97,0.91,0.92,1543500,0.92,37.7332005105,1,2012
2012-02-16,0.92,0.96,0.92,0.96,992700,0.96,44.4090412044,1,2012
2012-02-17,0.96,0.97,0.94,0.95,411400,0.95,43.1631301343,1,2012
2012-02-21,0.95,0.98,0.95,0.96,693800,0.96,44.8300060347,1,2012
2012-02-22,0.96,0.98,0.95,0.95,621000,0.95,43.4574746493,1,2012
2012-02-23,0.95,0.95,0.93,0.95,535000,0.95,43.4574746493,1,2012
2012-02-24,0.96,0.98,0.95,0.95,517800,0.95,43.4574746493,1,2012
