Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2012-01-03,2.38,2.5,2.38,2.42,6600,24.200001,,1,2012
2012-01-04,2.34,2.48,2.3,2.3,6400,23.0,,1,2012
2012-01-05,2.45,2.45,2.2,2.24,11100,22.4,,1,2012
2012-01-06,2.26,2.3,2.14,2.23,4700,22.3,,1,2012
2012-01-09,2.22,2.4,2.21,2.26,6200,22.600001,,1,2012
2012-01-10,2.17,2.2,2.05,2.11,13600,21.100001,,1,2012
2012-01-11,2.11,2.18,2.04,2.05,17300,20.5,,1,2012
2012-01-12,2.03,2.14,2.02,2.1,4700,21.0,,1,2012
2012-01-13,2.09,2.1,2.03,2.06,3500,20.600001,,1,2012
2012-01-17,2.1,2.19,2.1,2.16,8000,21.600001,,1,2012
2012-01-18,2.18,2.2,2.03,2.09,8700,20.9,,1,2012
2012-01-19,2.07,2.17,2.04,2.15,4900,21.5,,1,2012
2012-01-20,2.17,2.19,2.14,2.18,2800,21.8,,1,2012
2012-01-23,2.16,2.16,2.09,2.14,2400,21.4,,1,2012
2012-01-24,2.13,2.15,2.0,2.05,11400,20.5,29.6703308779,1,2012
2012-01-25,2.06,2.17,2.01,2.17,5400,21.700001,38.4159930714,1,2012
2012-01-26,2.16,2.17,2.09,2.16,2600,21.600001,37.9920090791,1,2012
2012-01-27,2.17,2.3,2.15,2.24,6000,22.4,43.3760877309,1,2012
2012-01-30,2.22,2.3,2.17,2.22,3700,22.200001,42.3852522033,1,2012
2012-01-31,2.27,2.3,2.22,2.25,2300,22.5,44.4355861185,1,2012
2012-02-01,2.24,2.29,2.16,2.25,2200,22.5,44.4355861185,1,2012
2012-02-02,2.24,2.29,2.03,2.24,9900,22.4,43.832558352,1,2012
2012-02-03,2.24,2.24,2.13,2.17,5600,21.700001,39.7645267519,1,2012
2012-02-06,2.17,2.2,2.09,2.16,6000,21.600001,39.204751788,1,2012
2012-02-07,2.19,2.19,2.08,2.13,4100,21.3,37.4992671251,1,2012
2012-02-08,2.17,2.19,2.06,2.18,13200,21.8,42.0258984249,1,2012
2012-02-09,2.19,2.25,2.14,2.22,7900,22.200001,45.4308648889,1,2012
2012-02-10,2.22,2.3,2.2,2.3,6800,23.0,51.5587072784,1,2012
2012-02-13,2.35,2.4,2.27,2.4,8600,24.0,57.919823214,1,2012
2012-02-14,2.38,2.44,2.36,2.44,7400,24.4,60.1727279202,1,2012
2012-02-15,2.44,2.48,2.32,2.48,6400,24.8,62.3438576628,1,2012
2012-02-16,2.47,2.49,2.42,2.43,2200,24.3,58.0816111219,1,2012
2012-02-17,2.42,2.52,2.35,2.52,10600,25.200001,62.9868345598,1,2012
