Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2013-06-20,1.58,1.74,1.563,1.649,3371700,1.649,,2,2013
2013-06-21,1.675,1.772,1.65,1.75,181700,1.75,,2,2013
2013-06-24,1.725,1.781,1.633,1.735,146300,1.735,,2,2013
2013-06-25,1.741,1.792,1.738,1.754,116400,1.754,,2,2013
2013-06-26,16.82,17.0,15.7,16.045,1056200,16.045,,2,2013
2013-06-27,16.1,16.190001,13.035,13.63,580600,13.63,,2,2013
2013-06-28,13.48,15.18,13.48,15.0,166200,15.0,,2,2013
2013-07-01,14.85,15.074,14.42,15.0,59100,15.0,,3,2013
2013-07-02,15.51,17.389999,15.044,16.129999,90800,16.129999,,3,2013
2013-07-03,16.24,16.24,15.16,15.16,13000,15.16,,3,2013
2013-07-05,15.85,16.23,15.025,15.2,12600,15.2,,3,2013
2013-07-08,15.2,15.92,15.19,15.92,72900,15.92,,3,2013
2013-07-09,15.97,15.99,15.31,15.515,13900,15.515,,3,2013
2013-07-10,15.5,15.8,15.2,15.8,45400,15.8,,3,2013
2013-07-11,16.030001,16.5,15.83,16.34,87200,16.34,82.9379877977,3,2013
2013-07-12,16.940001,16.950001,16.312,16.940001,82200,16.940001,83.4184266224,3,2013
2013-07-15,17.370001,17.700001,16.219999,17.17,188800,17.17,83.6089608451,3,2013
2013-07-16,18.5,18.5,16.51,16.57,249800,16.57,80.9943213791,3,2013
2013-07-17,16.780001,17.82,16.75,17.82,210900,17.82,82.2403736387,3,2013
2013-07-18,18.0,18.469999,17.879999,18.4,149400,18.4,82.8037382804,3,2013
2013-07-19,17.780001,18.41,17.09,17.75,251400,17.75,79.750509996,3,2013
2013-07-22,17.700001,17.700001,16.75,16.98,172100,16.98,76.167554634,3,2013
2013-07-23,17.02,17.219999,16.4,16.77,148800,16.77,75.1755858565,3,2013
2013-07-24,16.74,16.74,15.91,16.1,93800,16.1,71.9557503321,3,2013
2013-07-25,16.110001,16.23,15.5,16.139999,84300,16.139999,72.0327635792,3,2013
2013-07-26,16.18,17.33,16.18,16.57,61400,16.57,72.8945184601,3,2013
2013-07-29,16.67,16.870001,16.35,16.549999,15400,16.549999,72.7821805891,3,2013
2013-07-30,16.77,16.889999,15.58,15.58,239300,15.58,67.36041968,3,2013
2013-07-31,15.49,16.040001,14.41,15.66,87800,15.66,67.5749552295,3,2013
2013-08-01,15.64,16.1,14.26,14.62,183100,14.62,61.8806876891,3,2013
2013-08-02,14.73,14.73,13.88,14.06,186800,14.06,58.997802744,3,2013
2013-08-05,14.06,15.17,14.0,14.92,47000,14.92,61.9309842304,3,2013
