Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2012-01-03,0.39,0.48,0.39,0.42,45200,0.42,,1,2012
2012-01-04,0.46,0.46,0.42,0.44,9200,0.44,,1,2012
2012-01-05,0.43,0.46,0.41,0.45,84600,0.45,,1,2012
2012-01-06,0.45,0.47,0.44,0.47,15200,0.47,,1,2012
2012-01-09,0.48,0.48,0.44,0.47,12400,0.47,,1,2012
2012-01-10,0.45,0.47,0.43,0.47,34800,0.47,,1,2012
2012-01-11,0.47,0.47,0.42,0.44,97800,0.44,,1,2012
2012-01-12,0.45,0.48,0.43,0.46,20500,0.46,,1,2012
2012-01-13,0.47,0.47,0.43,0.46,72200,0.46,,1,2012
2012-01-17,0.64,0.64,0.44,0.44,37100,0.44,,1,2012
2012-01-18,0.44,0.5,0.44,0.48,52400,0.48,,1,2012
2012-01-19,0.5,0.5,0.46,0.49,48600,0.49,,1,2012
2012-01-20,0.5,0.5,0.47,0.48,17600,0.48,,1,2012
2012-01-23,0.5,0.52,0.48,0.52,101700,0.52,,1,2012
2012-01-24,0.52,0.52,0.49,0.5,43500,0.5,66.6666666667,1,2012
2012-01-25,0.49,0.53,0.46,0.47,53900,0.47,58.7570621469,1,2012
2012-01-26,0.48,0.51,0.47,0.51,54300,0.51,64.7604901597,1,2012
2012-01-27,0.5,0.53,0.5,0.53,106900,0.53,67.3218022409,1,2012
2012-01-30,0.55,0.55,0.5,0.51,97800,0.51,62.4347842518,1,2012
2012-01-31,0.51,0.52,0.5,0.5,23200,0.5,60.0861402206,1,2012
2012-02-01,0.5,0.65,0.5,0.53,104600,0.53,64.4113576288,1,2012
2012-02-02,0.56,0.59,0.51,0.55,97300,0.55,66.9802802456,1,2012
2012-02-03,0.58,0.62,0.57,0.59,295100,0.59,71.4231947446,1,2012
2012-02-06,0.55,0.68,0.55,0.65,97300,0.65,76.5255041321,1,2012
2012-02-07,0.6,0.7,0.6,0.65,123900,0.65,76.5255041321,1,2012
2012-02-08,0.67,0.67,0.65,0.67,83000,0.67,78.0411926958,1,2012
2012-02-09,0.64,0.68,0.62,0.68,53300,0.68,78.7789856874,1,2012
2012-02-10,0.67,0.68,0.63,0.66,61400,0.66,73.4627110513,1,2012
2012-02-13,0.62,0.68,0.62,0.68,61400,0.68,75.2606309001,1,2012
2012-02-14,0.65,0.69,0.64,0.68,81700,0.68,75.2606309001,1,2012
2012-02-15,0.66,0.66,0.62,0.64,135800,0.64,65.0396753226,1,2012
2012-02-16,0.63,0.64,0.55,0.56,122700,0.56,50.3205053857,1,2012
2012-02-17,0.57,0.58,0.53,0.53,67100,0.53,46.1066069056,1,2012
2012-02-21,0.53,0.57,0.51,0.54,50300,0.54,47.6794127449,1,2012
2012-02-22,0.52,0.54,0.5,0.5,32600,0.5,42.3548123266,1,2012
2012-02-23,0.51,0.57,0.51,0.53,56700,0.53,47.1241637093,1,2012
2012-02-24,0.55,0.59,0.54,0.55,21100,0.55,50.0889048919,1,2012
2012-02-27,0.58,0.62,0.55,0.58,21700,0.58,54.234121964,1,2012
2012-02-28,0.58,0.61,0.55,0.58,31600,0.58,54.234121964,1,2012
2012-02-29,0.61,0.61,0.57,0.57,40300,0.57,52.5470009849,1,2012
2012-03-01,0.55,0.63,0.55,0.61,186400,0.61,58.154475436,1,2012
2012-03-02,0.58,0.61,0.56,0.58,18600,0.58,53.0875739096,1,2012
2012-03-05,0.58,0.58,0.54,0.54,33200,0.54,47.1844531526,1,2012
2012-03-06,0.53,0.56,0.53,0.53,18600,0.53,45.812934888,1,2012
2012-03-07,0.53,0.6,0.53,0.55,59700,0.55,49.0055063845,1,2012
2012-03-08,0.65,0.69,0.57,0.6,167500,0.6,55.9870322065,1,2012
2012-03-09,0.6,0.66,0.59,0.6,68000,0.6,55.9870322065,1,2012
2012-03-12,0.6,0.61,0.57,0.58,14100,0.58,52.6435313598,1,2012
2012-03-13,0.58,0.6,0.57,0.6,27200,0.6,55.5051293536,1,2012
2012-03-14,0.59,0.6,0.59,0.6,5500,0.6,55.5051293536,1,2012
2012-03-15,0.6,0.72,0.6,0.68,79800,0.68,65.2471508981,1,2012
2012-03-16,0.64,0.69,0.59,0.65,45000,0.65,59.9466153032,1,2012
2012-03-19,0.62,0.69,0.62,0.68,90400,0.68,63.1688567937,1,2012
2012-03-20,0.69,0.69,0.64,0.64,42200,0.64,56.6274752334,1,2012
2012-03-21,0.65,0.68,0.64,0.67,20700,0.67,59.9751419341,1,2012
2012-03-22,0.68,0.68,0.64,0.64,30300,0.64,55.3725084741,1,2012
2012-03-23,0.64,0.7,0.62,0.7,188200,0.7,61.702713654,1,2012
2012-03-26,0.66,0.7,0.66,0.68,24200,0.68,58.7131086305,1,2012
2012-03-27,0.65,0.68,0.64,0.66,6700,0.66,55.801454704,1,2012
2012-03-28,0.65,0.66,0.65,0.65,14300,0.65,54.3501450822,1,2012
2012-03-29,0.65,0.69,0.65,0.68,81800,0.68,57.8886488912,1,2012
2012-03-30,0.71,0.75,0.68,0.73,86200,0.73,63.0319322363,1,2012
2012-04-02,0.7,0.75,0.66,0.69,46500,0.69,57.0308973667,2,2012
2012-04-03,0.69,0.74,0.65,0.65,154600,0.65,51.7273057931,2,2012
2012-04-04,0.63,0.65,0.61,0.61,70100,0.61,47.0184749564,2,2012
2012-04-05,0.63,0.67,0.61,0.63,30100,0.63,49.4941280655,2,2012
2012-04-09,0.65,0.7,0.61,0.62,25800,0.62,48.2793923005,2,2012
2012-04-10,0.67,0.67,0.61,0.62,15300,0.62,48.2793923005,2,2012
2012-04-11,0.64,0.64,0.62,0.64,35100,0.64,51.0651647173,2,2012
2012-04-12,0.62,0.68,0.62,0.67,26900,0.67,54.9820733946,2,2012
2012-04-13,0.65,0.67,0.62,0.62,19500,0.62,48.0752229083,2,2012
2012-04-16,0.63,0.65,0.62,0.62,9500,0.62,48.0752229083,2,2012
2012-04-17,0.62,0.67,0.62,0.65,22300,0.65,52.2492897066,2,2012
2012-04-18,0.64,0.65,0.63,0.65,19600,0.65,52.2492897066,2,2012
2012-04-19,0.67,0.77,0.63,0.64,28800,0.64,50.6745008057,2,2012
2012-04-20,0.65,0.65,0.63,0.64,31900,0.64,50.6745008057,2,2012
2012-04-23,0.64,0.66,0.64,0.64,20400,0.64,50.6745008057,2,2012
