Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2012-01-03,15.46,15.69,15.28,15.61,165200,15.61,,1,2012
2012-01-04,15.58,15.62,15.33,15.37,100300,15.37,,1,2012
2012-01-05,15.3,15.75,15.2,15.47,117900,15.47,,1,2012
2012-01-06,15.47,15.58,15.21,15.39,132400,15.39,,1,2012
2012-01-09,15.4,15.59,15.21,15.25,137900,15.25,,1,2012
2012-01-10,15.48,15.53,15.33,15.46,153000,15.46,,1,2012
2012-01-11,15.4,15.96,15.4,15.73,279400,15.73,,1,2012
2012-01-12,15.76,16.16,15.47,16.15,235600,16.15,,1,2012
2012-01-13,15.93,15.98,15.65,15.88,150500,15.88,,1,2012
2012-01-17,16.030001,16.030001,15.3,15.32,212300,15.32,,1,2012
2012-01-18,15.27,15.76,15.06,15.14,180000,15.14,,1,2012
2012-01-19,15.17,15.35,14.96,14.96,183900,14.96,,1,2012
2012-01-20,14.97,15.13,14.78,14.88,186100,14.88,,1,2012
2012-01-23,14.85,15.02,14.53,14.98,60000,14.98,,1,2012
2012-01-24,14.92,15.12,14.92,14.98,124000,14.98,38.8692579505,1,2012
2012-01-25,14.95,14.96,14.75,14.79,147900,14.79,36.2484157161,1,2012
2012-01-26,14.83,14.83,14.66,14.82,145100,14.82,36.9710639446,1,2012
2012-01-27,14.75,14.99,14.75,14.91,70900,14.91,39.1977626619,1,2012
2012-01-30,14.77,14.87,14.4,14.56,706100,14.56,34.1457102063,1,2012
2012-01-31,14.62,14.75,14.29,14.3,263200,14.3,30.9540673872,1,2012
2012-02-01,14.47,14.61,14.27,14.5,306300,14.5,35.9161931452,1,2012
2012-02-02,14.49,14.92,14.4,14.51,210400,14.51,36.1632263223,1,2012
2012-02-03,14.74,14.77,14.6,14.64,204300,14.64,39.4319528527,1,2012
2012-02-06,14.61,14.91,14.35,14.44,287500,14.44,36.3483156542,1,2012
2012-02-07,14.44,14.53,14.23,14.25,196000,14.25,33.6556567134,1,2012
2012-02-08,14.3,15.25,14.08,15.03,692300,15.03,50.0234182919,1,2012
2012-02-09,15.08,15.08,14.55,14.59,180300,14.59,43.5033669131,1,2012
2012-02-10,14.46,14.87,14.46,14.72,143300,14.72,45.7530847861,1,2012
2012-02-13,14.84,15.24,14.84,15.04,152900,15.04,50.9326079193,1,2012
2012-02-14,15.05,15.06,14.88,14.99,123400,14.99,50.1272419955,1,2012
2012-02-15,15.0,15.0,14.39,14.48,137700,14.48,42.7089913067,1,2012
2012-02-16,14.41,14.78,14.41,14.76,116200,14.76,47.3185363808,1,2012
2012-02-17,14.8,14.91,14.62,14.9,87600,14.9,49.5061217669,1,2012
2012-02-21,14.92,15.06,14.66,14.72,90800,14.72,46.8144842254,1,2012
2012-02-22,14.72,14.83,14.31,14.32,133900,14.32,41.4245041531,1,2012
2012-02-23,14.3,14.39,14.15,14.3,175500,14.3,41.169272346,1,2012
2012-02-24,14.3,14.6,14.18,14.55,88700,14.55,45.6750667798,1,2012
2012-02-27,14.45,14.58,14.26,14.55,69600,14.55,45.6750667798,1,2012
2012-02-28,14.51,14.6,14.31,14.45,134400,14.45,44.107908097,1,2012
2012-02-29,14.48,14.63,14.18,14.18,129400,14.18,40.106632811,1,2012
2012-03-01,15.09,15.78,14.9,15.49,407000,15.49,59.3666543383,1,2012
2012-03-02,15.46,15.46,15.16,15.19,303700,15.19,55.0044081022,1,2012
2012-03-05,15.21,15.26,15.0,15.24,138300,15.24,55.5901154591,1,2012
2012-03-06,15.07,15.29,15.04,15.26,165100,15.26,55.8377473663,1,2012
2012-03-07,15.41,15.69,15.11,15.57,154200,15.57,59.5982311447,1,2012
2012-03-08,15.64,15.96,15.14,15.91,103300,15.91,63.2903421129,1,2012
2012-03-09,15.91,16.41,15.66,16.139999,137000,16.139999,65.5817127068,1,2012
2012-03-12,16.17,16.25,16.01,16.110001,78800,16.110001,65.0117351025,1,2012
2012-03-13,16.309999,16.309999,16.049999,16.16,111800,16.16,65.5491731248,1,2012
2012-03-14,16.110001,16.18,16.02,16.1,72800,16.1,64.2732893216,1,2012
2012-03-15,16.17,16.24,15.92,16.23,65600,16.23,65.8254049404,1,2012
2012-03-16,16.200001,16.370001,16.1,16.360001,120300,16.360001,67.3528457558,1,2012
2012-03-19,16.32,16.700001,16.190001,16.620001,136900,16.620001,70.2196747558,1,2012
2012-03-20,16.52,16.59,16.41,16.51,83500,16.51,67.5182934902,1,2012
2012-03-21,16.5,16.75,16.42,16.690001,114700,16.690001,69.5805442738,1,2012
