Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2014-04-25,7.9,7.9,6.8,7.45,634400,7.45,,2,2014
2014-04-28,7.82,7.82,6.81,7.4,287900,7.4,,2,2014
2014-04-29,7.25,7.45,7.0,7.45,59700,7.45,,2,2014
2014-04-30,7.5,7.5,7.0,7.05,23600,7.05,,2,2014
2014-05-01,7.01,7.04,6.86,7.0,111600,7.0,,2,2014
2014-05-02,7.0,7.44,6.88,7.0,42400,7.0,,2,2014
2014-05-05,6.99,7.06,6.91,7.0,26800,7.0,,2,2014
2014-05-06,6.96,6.98,6.75,6.98,26600,6.98,,2,2014
2014-05-07,6.76,6.77,6.5,6.75,74300,6.75,,2,2014
2014-05-08,6.34,6.51,6.34,6.5,13100,6.5,,2,2014
2014-05-09,6.45,6.9,6.45,6.8,35800,6.8,,2,2014
2014-05-12,6.8,7.11,6.8,7.05,54400,7.05,,2,2014
2014-05-13,6.86,7.2,6.6,7.2,40900,7.2,,2,2014
2014-05-14,7.1,7.2,6.75,7.09,49800,7.09,,2,2014
2014-05-15,6.86,7.07,6.75,6.9,41600,6.9,36.5853658537,2,2014
2014-05-16,6.92,6.95,6.61,6.71,35200,6.71,33.2650972364,2,2014
2014-05-19,6.98,7.15,6.73,7.15,58900,7.15,45.5817835513,2,2014
2014-05-20,7.15,7.25,6.75,7.24,89600,7.24,47.7077325369,2,2014
2014-05-21,7.28,7.5,6.92,7.1,19500,7.1,44.7772688415,2,2014
2014-05-22,7.0,7.15,6.65,6.85,79400,6.85,40.0467234443,2,2014
2014-05-23,6.66,6.77,6.6,6.61,3800,6.61,36.1034390237,2,2014
2014-05-27,6.6,6.6,6.6,6.6,0,6.6,35.9446214816,2,2014
2014-05-28,6.5,7.0,5.98,6.99,34100,6.99,45.9337079878,2,2014
2014-05-29,6.78,6.85,6.16,6.3,89500,6.3,35.4119336871,2,2014
2014-05-30,6.34,6.85,5.82,6.74,43700,6.74,44.1910289411,2,2014
2014-06-02,6.69,7.56,6.5,7.38,27800,7.38,53.9877906879,2,2014
2014-06-03,7.34,7.5,6.61,7.24,41500,7.24,51.8438701247,2,2014
2014-06-04,7.24,7.47,7.01,7.4,10600,7.4,54.0878423034,2,2014
2014-06-05,7.47,7.48,7.1,7.45,5600,7.45,54.7967187667,2,2014
2014-06-06,7.49,8.05,7.49,8.05,19200,8.05,62.3158477177,2,2014
2014-06-09,8.99,8.99,8.05,8.2,32200,8.2,63.9311526817,2,2014
2014-06-10,7.95,8.59,7.95,8.59,24000,8.59,67.7962485861,2,2014
2014-06-11,8.41,8.65,8.15,8.4,15900,8.4,64.1875352243,2,2014
2014-06-12,9.76,9.76,8.2,8.2,3500,8.2,60.5348418691,2,2014
2014-06-13,9.75,9.75,8.01,8.65,22700,8.65,65.3172171563,2,2014
2014-06-16,9.21,9.21,7.55,7.92,9700,7.92,53.9053500293,2,2014
2014-06-17,7.71,8.55,7.51,8.1,17000,8.1,55.9490567524,2,2014
2014-06-18,7.9,8.1,7.8,8.0,6700,8.0,54.5032747069,2,2014
2014-06-19,8.3,8.3,7.91,8.05,6900,8.05,55.1276469525,2,2014
2014-06-20,8.0,8.0,7.78,8.0,46900,8.0,54.3247753934,2,2014
2014-06-23,8.03,8.39,7.78,8.34,23400,8.34,58.7266707691,2,2014
2014-06-24,8.0,8.05,7.79,8.0,28000,8.0,53.2047045718,2,2014
2014-06-25,8.25,8.75,7.86,8.15,14700,8.15,55.2058413409,2,2014
2014-06-26,8.16,8.37,7.8,8.25,4600,8.25,56.5401497655,2,2014
2014-06-27,8.1,8.4,7.9,8.3,24900,8.3,57.226217801,2,2014
2014-06-30,8.4,8.74,8.0,8.36,54500,8.36,58.0813865053,2,2014
2014-07-01,7.97,8.32,7.87,7.97,12800,7.97,50.9508296718,3,2014
2014-07-02,7.98,8.4,7.49,8.0,71300,8.0,51.4446454152,3,2014
2014-07-03,8.2,8.5,8.09,8.5,37900,8.5,58.8759139934,3,2014
2014-07-07,8.45,8.99,8.3,8.65,40400,8.65,60.8135308306,3,2014
2014-07-08,8.65,9.17,8.4,8.8,38800,8.8,62.7058609837,3,2014
2014-07-09,9.17,9.19,8.68,8.8,22600,8.8,62.7058609837,3,2014
2014-07-10,8.99,9.0,8.8,8.8,7400,8.8,62.7058609837,3,2014
2014-07-11,8.79,9.14,8.63,8.82,17500,8.82,63.0033805993,3,2014
2014-07-14,8.7,8.84,8.25,8.8,4500,8.8,62.4667093486,3,2014
2014-07-15,8.55,8.8,7.86,8.5,110400,8.5,54.9109307247,3,2014
2014-07-16,8.23,8.8,8.16,8.75,20600,8.75,59.3261228493,3,2014
2014-07-17,8.73,8.88,8.23,8.8,9900,8.8,60.1662484614,3,2014
2014-07-18,8.25,8.95,8.25,8.8,14500,8.8,60.1662484614,3,2014
2014-07-21,8.05,8.95,8.02,8.89,15200,8.89,61.8128472899,3,2014
2014-07-22,8.7,8.89,8.7,8.89,2900,8.89,61.8128472899,3,2014
2014-07-23,8.15,8.55,8.15,8.54,600,8.54,52.0995729117,3,2014
2014-07-24,8.67,8.85,8.5,8.76,15800,8.76,56.7049430713,3,2014
2014-07-25,8.58,8.95,8.5,8.75,22900,8.75,56.4393180897,3,2014
2014-07-28,8.8,8.95,8.77,8.8,1900,8.8,57.5110320035,3,2014
2014-07-29,9.0,9.15,8.75,9.0,13300,9.0,61.5825589009,3,2014
2014-07-30,8.66,9.17,8.66,9.0,21700,9.0,61.5825589009,3,2014
2014-07-31,9.05,9.1,8.76,9.1,4900,9.1,63.6049397284,3,2014
2014-08-01,9.35,9.35,9.0,9.17,3600,9.17,64.994118835,3,2014
2014-08-04,9.15,9.5,9.0,9.5,13900,9.5,70.6765200213,3,2014
2014-08-05,9.47,9.5,9.15,9.26,15300,9.26,62.7044480187,3,2014
2014-08-06,9.47,9.5,9.07,9.2,15000,9.2,60.8563431995,3,2014
2014-08-07,9.23,9.23,9.0,9.0,17000,9.0,55.0336974186,3,2014
2014-08-08,9.1,9.1,8.6,9.07,12100,9.07,56.5988910508,3,2014
2014-08-11,8.63,9.07,8.43,8.9,4700,8.9,51.8762490507,3,2014
2014-08-12,8.99,9.1,8.99,9.0,7200,9.0,54.2922796303,3,2014
2014-08-13,10.64,10.64,9.0,9.69,13100,9.69,66.7110131473,3,2014
2014-08-14,10.0,10.0,9.2,9.85,13300,9.85,68.8261285219,3,2014
2014-08-15,9.8,9.89,9.75,9.82,3700,9.82,67.954289475,3,2014
2014-08-18,10.0,10.98,10.0,10.1,9800,10.1,71.5736033399,3,2014
2014-08-19,9.94,9.94,9.0,9.02,15900,9.02,48.7178742816,3,2014
2014-08-20,9.56,9.56,8.8,8.84,7400,8.84,46.0769304216,3,2014
2014-08-21,8.95,9.06,8.71,8.74,18500,8.74,44.629476298,3,2014
