Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2014-11-13,1.86,1.87,1.86,1.87,900,1.87,,4,2014
2014-11-14,1.802,2.037,1.802,2.0,500,2.0,,4,2014
2014-11-17,2.0,2.0,2.0,2.0,0,2.0,,4,2014
2014-11-18,2.1,3.3,2.1,3.3,6200,3.3,,4,2014
2014-11-19,3.8,3.95,2.71,3.7,19600,3.7,,4,2014
2014-11-20,3.5,4.0,3.443,4.0,4000,4.0,,4,2014
2014-11-21,4.14,4.14,3.7,3.7,2500,3.7,,4,2014
2014-11-24,4.09,4.15,3.78,4.15,6800,4.15,,4,2014
2014-11-25,4.15,4.5,3.73,4.5,4600,4.5,,4,2014
2014-11-26,4.49,4.49,3.4,3.47,5600,3.47,,4,2014
2014-11-28,5.45,5.45,3.5,3.7,1500,3.7,,4,2014
2014-12-01,3.94,3.94,2.686,3.9,2100,3.9,,4,2014
2014-12-02,2.73,3.436,2.55,2.98,12300,2.98,,4,2014
2014-12-03,2.98,3.1,2.6,3.1,12600,3.1,,4,2014
2014-12-04,3.09,3.1,2.54,3.08,1900,3.08,60.5217391304,4,2014
2014-12-05,3.0,3.1,2.481,2.85,8400,2.85,58.0223162755,4,2014
2014-12-08,3.1,3.995,3.0,3.995,12300,3.995,65.6316890544,4,2014
2014-12-09,3.91,4.05,3.6,3.95,17700,3.95,65.1319809568,4,2014
2014-12-10,5.99,5.99,3.52,4.06,6100,4.06,65.8171162793,4,2014
2014-12-11,4.24,4.32,4.15,4.32,2400,4.32,67.4453882622,4,2014
2014-12-12,4.0,4.35,3.85,4.35,1500,4.35,67.636946281,4,2014
2014-12-15,5.35,5.35,4.44,4.56,3200,4.56,69.0115284198,4,2014
2014-12-16,4.75,4.75,4.54,4.7,2200,4.7,69.9285283629,4,2014
2014-12-17,4.75,4.75,4.24,4.72,18700,4.72,70.0648101476,4,2014
2014-12-18,4.75,4.75,4.75,4.75,1000,4.75,70.2823672592,4,2014
2014-12-19,4.75,4.75,4.75,4.75,700,4.75,70.2823672592,4,2014
2014-12-22,4.75,4.75,4.6,4.6,2900,4.6,67.4402009063,4,2014
2014-12-23,4.73,4.75,4.73,4.75,6100,4.75,68.7990031811,4,2014
2014-12-24,4.75,4.75,4.74,4.75,3500,4.75,68.7990031811,4,2014
2014-12-26,5.75,5.8,5.66,5.66,2800,5.66,75.8809699862,4,2014
2014-12-29,5.75,5.75,5.69,5.69,900,5.69,76.0737775643,4,2014
2014-12-30,6.0,8.49,6.0,8.49,2500,8.49,86.7334480967,4,2014
2014-12-31,8.48,8.55,8.11,8.45,8000,8.45,86.143007353,4,2014
2015-01-02,6.49,7.07,6.49,7.0,1800,7.0,68.0565887697,1,2015
2015-01-05,5.15,7.0,5.01,7.0,2200,7.0,68.0565887697,1,2015
2015-01-06,6.5,6.5,6.5,6.5,300,6.5,62.7847951656,1,2015
2015-01-07,6.5,6.5,6.5,6.5,0,6.5,62.7847951656,1,2015
2015-01-08,6.86,6.86,6.5,6.5,2900,6.5,62.7847951656,1,2015
2015-01-09,6.2,6.2,5.32,6.0,2000,6.0,57.246324265,1,2015
2015-01-12,5.25,6.5,5.06,6.09,2500,6.09,57.9651149643,1,2015
2015-01-13,5.47,6.5,5.35,5.49,3800,5.49,51.7220462813,1,2015
2015-01-14,5.49,5.49,5.49,5.49,0,5.49,51.7220462813,1,2015
2015-01-15,5.3,6.85,5.3,6.85,200,6.85,62.3749025886,1,2015
2015-01-16,4.05,6.0,4.05,5.99,600,5.99,54.2264912355,1,2015
2015-01-20,5.9,5.9,5.9,5.9,100,5.9,53.439706598,1,2015
2015-01-21,6.4,6.4,6.0,6.0,500,6.0,54.2342670833,1,2015
2015-01-22,6.0,6.5,5.94,6.4,17900,6.4,57.3681993501,1,2015
2015-01-23,6.0,6.0,5.03,5.56,3700,5.56,49.6752446224,1,2015
2015-01-26,6.9,6.9,5.24,5.94,8100,5.94,52.7613345141,1,2015
2015-01-27,5.94,7.5,4.55,7.5,2400,7.5,62.8368103591,1,2015
2015-01-28,7.0,7.02,6.66,7.0,4300,7.0,58.5279599024,1,2015
2015-01-29,7.0,7.0,7.0,7.0,0,7.0,58.5279599024,1,2015
2015-01-30,7.03,7.03,7.03,7.03,200,7.03,58.7249098806,1,2015
2015-02-02,11.49,11.49,6.68,6.97,1300,6.97,58.1303194355,1,2015
2015-02-03,5.0,6.9,5.0,6.9,1200,6.9,57.4001227437,1,2015
2015-02-04,6.98,6.98,6.98,6.98,100,6.98,58.0486963089,1,2015
2015-02-05,7.0,7.0,6.094,6.094,5200,6.094,49.1278323528,1,2015
2015-02-06,6.094,6.094,6.094,6.094,0,6.094,49.1278323528,1,2015
2015-02-09,6.094,6.094,6.094,6.094,0,6.094,49.1278323528,1,2015
2015-02-10,7.0,7.0,7.0,7.0,2600,7.0,57.4744884248,1,2015
2015-02-11,7.0,7.0,7.0,7.0,0,7.0,57.4744884248,1,2015
2015-02-12,7.0,7.0,7.0,7.0,0,7.0,57.4744884248,1,2015
2015-02-13,7.0,7.0,7.0,7.0,0,7.0,57.4744884248,1,2015
2015-02-17,7.0,7.0,7.0,7.0,0,7.0,57.4744884248,1,2015
2015-02-18,7.0,7.0,7.0,7.0,0,7.0,57.4744884248,1,2015
2015-02-19,7.0,7.0,7.0,7.0,0,7.0,57.4744884248,1,2015
2015-02-20,7.0,7.0,7.0,7.0,0,7.0,57.4744884248,1,2015
2015-02-23,6.0,6.0,6.0,6.0,100,6.0,43.2910958384,1,2015
2015-02-24,5.72,6.546,5.72,6.546,200,6.546,50.4771135811,1,2015
2015-02-25,6.546,6.546,6.546,6.546,0,6.546,50.4771135811,1,2015
2015-02-26,5.11,6.7,5.11,6.7,600,6.7,52.4481815681,1,2015
2015-02-27,6.5,6.9,6.5,6.9,300,6.9,54.9556197195,1,2015
2015-03-02,6.95,6.95,6.95,6.95,5000,6.95,55.5861503803,1,2015
2015-03-03,6.95,6.95,6.95,6.95,0,6.95,55.5861503803,1,2015
2015-03-04,6.95,6.95,6.95,6.95,1600,6.95,55.5861503803,1,2015
2015-03-05,6.05,6.88,6.05,6.88,1600,6.88,54.258106834,1,2015
2015-03-06,6.88,6.88,6.88,6.88,0,6.88,54.258106834,1,2015
2015-03-09,6.95,6.95,6.95,6.95,300,6.95,55.4913798106,1,2015
2015-03-10,6.1,6.95,6.1,6.95,200,6.95,55.4913798106,1,2015
2015-03-11,6.95,6.95,6.95,6.95,0,6.95,55.4913798106,1,2015
2015-03-12,6.95,6.95,6.95,6.95,0,6.95,55.4913798106,1,2015
2015-03-13,6.95,6.95,6.95,6.95,0,6.95,55.4913798106,1,2015
2015-03-16,6.95,6.95,6.95,6.95,0,6.95,55.4913798106,1,2015
2015-03-17,6.95,6.95,6.95,6.95,0,6.95,55.4913798106,1,2015
2015-03-18,6.95,6.95,6.95,6.95,0,6.95,55.4913798106,1,2015
2015-03-19,6.95,6.95,6.95,6.95,0,6.95,55.4913798106,1,2015
2015-03-20,6.95,6.95,6.95,6.95,100,6.95,55.4913798106,1,2015
2015-03-23,6.0,6.8,6.0,6.2,1200,6.2,34.5500631866,1,2015
2015-03-24,6.5,6.79,6.15,6.32,2800,6.32,38.546126733,1,2015
2015-03-25,6.32,6.32,6.32,6.32,0,6.32,38.546126733,1,2015
2015-03-26,6.32,6.32,6.32,6.32,0,6.32,38.546126733,1,2015
2015-03-27,6.32,6.32,6.32,6.32,0,6.32,38.546126733,1,2015
2015-03-30,6.32,6.32,6.32,6.32,0,6.32,38.546126733,1,2015
2015-03-31,6.3,6.3,6.3,6.3,400,6.3,37.9862127455,1,2015
2015-04-01,6.1,6.1,5.6,5.95,900,5.95,29.8222102063,2,2015
2015-04-02,6.3,6.5,5.85,6.1,1600,6.1,36.155223557,2,2015
2015-04-06,5.9,6.15,5.9,6.15,600,6.15,38.1585593221,2,2015
2015-04-07,6.0,6.15,6.0,6.0,1200,6.0,34.6462662249,2,2015
2015-04-08,6.0,6.0,6.0,6.0,0,6.0,34.6462662249,2,2015
2015-04-09,6.0,6.0,6.0,6.0,0,6.0,34.6462662249,2,2015
2015-04-10,6.0,6.0,6.0,6.0,0,6.0,34.6462662249,2,2015
2015-04-13,5.84,5.85,5.84,5.85,800,5.85,30.8294340357,2,2015
2015-04-14,5.85,5.85,5.85,5.85,0,5.85,30.8294340357,2,2015
2015-04-15,5.85,5.85,5.85,5.85,0,5.85,30.8294340357,2,2015
2015-04-16,5.85,5.85,5.85,5.85,0,5.85,30.8294340357,2,2015
2015-04-17,5.85,5.85,5.85,5.85,0,5.85,30.8294340357,2,2015
2015-04-20,5.5,6.7,5.5,6.7,800,6.7,63.6760558716,2,2015
2015-04-21,6.7,6.7,6.7,6.7,0,6.7,63.6760558716,2,2015
2015-04-22,6.7,6.7,6.7,6.7,0,6.7,63.6760558716,2,2015
2015-04-23,6.7,6.7,6.7,6.7,0,6.7,63.6760558716,2,2015
2015-04-24,6.7,6.7,6.7,6.7,0,6.7,63.6760558716,2,2015
2015-04-27,6.7,6.7,6.7,6.7,0,6.7,63.6760558716,2,2015
2015-04-28,6.0,6.0,6.0,6.0,400,6.0,39.5494218982,2,2015
2015-04-29,5.65,6.0,5.65,5.95,1200,5.95,38.4293641196,2,2015
2015-04-30,6.12,6.12,5.68,5.71,300,5.71,33.5219226636,2,2015
2015-05-01,5.71,5.71,5.71,5.71,0,5.71,33.5219226636,2,2015
2015-05-04,5.71,5.71,5.71,5.71,0,5.71,33.5219226636,2,2015
2015-05-05,5.71,5.71,5.71,5.71,0,5.71,33.5219226636,2,2015
2015-05-06,5.9,5.9,5.9,5.9,500,5.9,41.4795029313,2,2015
2015-05-07,5.9,5.9,5.9,5.9,0,5.9,41.4795029313,2,2015
2015-05-08,5.9,5.9,5.9,5.9,0,5.9,41.4795029313,2,2015
2015-05-11,5.5,5.515,5.5,5.515,1600,5.515,31.8351915529,2,2015
2015-05-12,5.5,5.509,5.5,5.509,900,5.509,31.7114461902,2,2015
2015-05-13,5.509,5.509,5.509,5.509,0,5.509,31.7114461902,2,2015
2015-05-14,5.509,5.509,5.509,5.509,0,5.509,31.7114461902,2,2015
2015-05-15,5.509,5.509,5.509,5.509,0,5.509,31.7114461902,2,2015
2015-05-18,5.509,5.509,5.509,5.509,0,5.509,31.7114461902,2,2015
2015-05-19,5.509,5.509,5.509,5.509,0,5.509,31.7114461902,2,2015
2015-05-20,5.509,5.509,5.509,5.509,0,5.509,31.7114461902,2,2015
2015-05-21,5.509,5.509,5.509,5.509,0,5.509,31.7114461902,2,2015
2015-05-22,5.509,5.509,5.509,5.509,0,5.509,31.7114461902,2,2015
2015-05-26,5.509,5.509,5.509,5.509,0,5.509,31.7114461902,2,2015
2015-05-27,5.509,5.509,5.509,5.509,0,5.509,31.7114461902,2,2015
2015-05-28,5.509,5.509,5.509,5.509,0,5.509,31.7114461902,2,2015
2015-05-29,5.57,5.6,5.57,5.6,200,5.6,40.2789661557,2,2015
2015-06-01,5.6,5.6,5.6,5.6,0,5.6,40.2789661557,2,2015
