Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2013-05-09,15.0,15.16,13.97,14.0,1065300,14.0,,2,2013
2013-05-10,14.0,14.3,13.95,14.2,357600,14.2,,2,2013
2013-05-13,14.19,14.68,14.19,14.49,48200,14.49,,2,2013
2013-05-14,14.49,14.49,14.27,14.45,11500,14.45,,2,2013
2013-05-15,14.5,14.5,14.25,14.45,23800,14.45,,2,2013
2013-05-16,14.4,14.4,14.06,14.4,20600,14.4,,2,2013
2013-05-17,14.5,14.5,14.2,14.22,135000,14.22,,2,2013
2013-05-20,14.29,14.45,14.19,14.4,39000,14.4,,2,2013
2013-05-21,14.5,14.5,14.11,14.33,17700,14.33,,2,2013
2013-05-22,14.4,14.4,14.13,14.29,19300,14.29,,2,2013
2013-05-23,14.3,14.3,14.0,14.06,13200,14.06,,2,2013
2013-05-24,14.03,14.03,13.0,13.85,82100,13.85,,2,2013
2013-05-28,14.17,14.67,14.11,14.4,28300,14.4,,2,2013
2013-05-29,14.5,14.5,14.15,14.47,3300,14.47,,2,2013
2013-05-30,14.59,15.24,14.59,15.0,27500,15.0,68.9393939394,2,2013
2013-05-31,15.74,16.0,15.0,15.87,26600,15.87,77.0752688172,2,2013
2013-06-03,15.96,25.0,15.96,18.360001,60100,18.360001,87.3157984935,2,2013
2013-06-04,18.66,19.809999,17.5,19.1,34100,19.1,88.9023861542,2,2013
2013-06-05,19.43,21.0,18.0,18.190001,30900,18.190001,76.2684088807,2,2013
2013-06-06,18.209999,19.65,18.0,18.540001,46300,18.540001,77.5876548855,2,2013
2013-06-07,19.110001,20.25,18.4,20.09,28900,20.09,82.2844501021,2,2013
2013-06-10,20.27,21.49,19.01,19.280001,82200,19.280001,73.6037989749,2,2013
2013-06-11,19.17,19.91,18.0,18.969999,82500,18.969999,70.536790862,2,2013
2013-06-12,19.110001,19.99,18.0,18.709999,14400,18.709999,67.9783303217,2,2013
2013-06-13,19.040001,19.040001,18.25,19.040001,9400,19.040001,69.4909163915,2,2013
2013-06-14,18.809999,19.99,17.74,17.969999,14800,17.969999,59.6518723625,2,2013
2013-06-17,17.379999,20.379999,16.110001,18.139999,114700,18.139999,60.6062091287,2,2013
2013-06-18,18.01,18.299999,17.01,18.01,50400,18.01,59.4482502957,2,2013
2013-06-19,17.950001,18.379999,17.040001,18.16,18500,18.16,60.3886903803,2,2013
2013-06-20,18.15,18.940001,17.809999,18.1,25100,18.1,59.7913735671,2,2013
2013-06-21,18.0,18.879999,17.91,18.34,93500,18.34,61.4345790625,2,2013
2013-06-24,18.25,19.57,17.15,19.15,27700,19.15,66.4220990131,2,2013
2013-06-25,19.42,19.83,18.459999,18.98,70900,18.98,64.5356931618,2,2013
2013-06-26,19.0,21.4,18.889999,20.290001,53000,20.290001,71.2998553699,2,2013
2013-06-27,20.4,20.98,19.01,19.459999,58300,19.459999,63.0893350052,2,2013
2013-06-28,19.67,21.049999,19.620001,19.889999,659500,19.889999,65.3175919914,2,2013
2013-07-01,18.99,20.15,18.99,19.549999,26900,19.549999,62.1240802024,3,2013
2013-07-02,19.6,20.73,18.0,18.33,80600,18.33,52.2520412524,3,2013
2013-07-03,18.299999,19.139999,17.610001,18.02,33800,18.02,50.0745767769,3,2013
2013-07-05,19.280001,19.280001,18.120001,18.43,17300,18.43,52.8718510186,3,2013
2013-07-08,18.6,18.75,18.57,18.66,7500,18.66,54.414848978,3,2013
2013-07-09,18.870001,19.360001,18.52,18.629999,22500,18.629999,54.165732664,3,2013
2013-07-10,18.75,19.02,18.33,18.780001,13400,18.780001,55.2684016505,3,2013
2013-07-11,19.049999,19.1,18.200001,18.540001,14300,18.540001,53.0685618255,3,2013
2013-07-12,18.57,18.709999,18.379999,18.379999,4400,18.379999,51.5941676106,3,2013
2013-07-15,18.34,18.780001,18.34,18.58,7000,18.58,53.339263628,3,2013
2013-07-16,18.75,18.889999,18.52,18.540001,26300,18.540001,52.9282926352,3,2013
2013-07-17,18.75,19.549999,18.6,18.77,7500,18.77,55.0718927606,3,2013
2013-07-18,18.879999,18.9,18.6,18.84,5100,18.84,55.7326233059,3,2013
2013-07-19,18.709999,19.690001,18.530001,19.6,87500,19.6,62.2276444143,3,2013
2013-07-22,19.51,20.23,19.450001,19.790001,27300,19.790001,63.6630423621,3,2013
2013-07-23,19.99,19.99,18.700001,19.09,44600,19.09,55.3219456903,3,2013
2013-07-24,19.09,19.120001,18.23,18.360001,45900,18.360001,48.2257861689,3,2013
2013-07-25,18.299999,18.67,18.23,18.67,51200,18.67,51.0946192449,3,2013
2013-07-26,18.82,20.27,18.75,19.120001,33200,19.120001,54.9932102163,3,2013
2013-07-29,19.09,19.889999,18.9,19.620001,22500,19.620001,58.912455336,3,2013
2013-07-30,19.690001,19.790001,19.360001,19.719999,11200,19.719999,59.6688885209,3,2013
2013-07-31,19.85,20.030001,19.709999,19.889999,8000,19.889999,60.9839497577,3,2013
2013-08-01,20.030001,20.389999,19.65,19.68,9800,19.68,58.4486279326,3,2013
2013-08-02,19.610001,20.5,19.0,19.219999,16100,19.219999,53.2284249113,3,2013
2013-08-05,19.120001,20.049999,18.76,19.73,46300,19.73,57.735415133,3,2013
2013-08-06,19.73,19.99,18.16,18.549999,26600,18.549999,46.55688781,3,2013
2013-08-07,18.34,18.48,17.290001,17.370001,39200,17.370001,38.5242211291,3,2013
2013-08-08,17.370001,18.059999,17.23,17.27,20400,17.27,37.9270042141,3,2013
2013-08-09,17.27,17.27,16.700001,16.76,98400,16.76,34.951159044,3,2013
2013-08-12,16.75,16.75,16.610001,16.73,5400,16.73,34.7782945359,3,2013
2013-08-13,16.780001,17.74,16.780001,17.690001,9600,17.690001,44.2760551709,3,2013
2013-08-14,18.0,18.0,17.030001,17.030001,109400,17.030001,39.9669507515,3,2013
2013-08-15,17.01,17.360001,16.5,16.85,49600,16.85,38.8562560099,3,2013
2013-08-16,16.719999,16.92,16.5,16.809999,17900,16.809999,38.5995379509,3,2013
2013-08-19,16.889999,17.17,16.309999,16.52,17400,16.52,36.7061291471,3,2013
