Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2013-01-07,11.1,11.1,11.1,11.1,100,11.1,,1,2013
2013-01-08,11.1,11.1,11.1,11.1,0,11.1,,1,2013
2013-01-09,11.1,11.1,11.1,11.1,0,11.1,,1,2013
2013-01-10,11.1,11.1,11.1,11.1,0,11.1,,1,2013
2013-01-11,11.1,11.1,11.1,11.1,0,11.1,,1,2013
2013-01-14,11.1,11.1,11.1,11.1,0,11.1,,1,2013
2013-01-15,11.1,11.1,11.1,11.1,0,11.1,,1,2013
2013-01-16,11.1,11.1,11.1,11.1,0,11.1,,1,2013
2013-01-17,11.1,11.1,11.1,11.1,0,11.1,,1,2013
2013-01-18,11.1,11.6,11.1,11.6,1500,11.6,,1,2013
2013-01-22,11.6,11.6,11.6,11.6,0,11.6,,1,2013
2013-01-23,11.45,11.45,11.0,11.0,700,11.0,,1,2013
2013-01-24,11.0,11.0,11.0,11.0,0,11.0,,1,2013
2013-01-25,11.0,11.0,11.0,11.0,0,11.0,,1,2013
2013-01-28,11.0,11.0,11.0,11.0,0,11.0,45.4545454545,1,2013
2013-01-29,11.0,11.0,11.0,11.0,0,11.0,45.4545454545,1,2013
2013-01-30,11.0,11.0,11.0,11.0,0,11.0,45.4545454545,1,2013
2013-01-31,12.6,13.6,12.6,13.6,300,13.6,86.1984483463,1,2013
2013-02-01,14.5,14.5,12.0,12.0,1900,12.0,57.6564982258,1,2013
2013-02-04,12.43,12.43,11.0,12.29,2000,12.29,60.2270963784,1,2013
2013-02-05,12.29,12.29,12.29,12.29,0,12.29,60.2270963784,1,2013
2013-02-06,12.29,12.29,12.29,12.29,0,12.29,60.2270963784,1,2013
2013-02-07,12.29,12.29,12.29,12.29,0,12.29,60.2270963784,1,2013
2013-02-08,11.74,11.74,11.74,11.74,1000,11.74,52.1508068898,1,2013
2013-02-11,11.49,11.49,11.42,11.42,600,11.42,48.1086334454,1,2013
2013-02-12,11.42,11.42,11.42,11.42,0,11.42,48.1086334454,1,2013
2013-02-13,11.5,11.5,10.71,10.71,2100,10.71,40.1089478445,1,2013
2013-02-14,10.71,10.71,10.71,10.71,0,10.71,40.1089478445,1,2013
2013-02-15,10.71,10.71,10.71,10.71,0,10.71,40.1089478445,1,2013
2013-02-19,11.5,11.5,11.5,11.5,1000,11.5,51.3510212947,1,2013
2013-02-20,11.5,11.5,11.5,11.5,0,11.5,51.3510212947,1,2013
2013-02-21,11.5,11.5,11.5,11.5,0,11.5,51.3510212947,1,2013
2013-02-22,11.45,11.45,11.45,11.45,1000,11.45,50.6002049561,1,2013
2013-02-25,11.45,11.45,11.45,11.45,0,11.45,50.6002049561,1,2013
2013-02-26,11.0,11.0,11.0,11.0,200,11.0,43.9003622152,1,2013
2013-02-27,10.94,10.94,10.75,10.75,1200,10.75,40.6779329881,1,2013
2013-02-28,10.75,10.75,10.75,10.75,0,10.75,40.6779329881,1,2013
2013-03-01,10.75,10.75,10.75,10.75,0,10.75,40.6779329881,1,2013
2013-03-04,10.75,10.75,10.75,10.75,0,10.75,40.6779329881,1,2013
2013-03-05,10.75,10.75,10.75,10.75,0,10.75,40.6779329881,1,2013
