Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2012-01-03,2.17,2.17,2.13,2.17,37200,2.17,,1,2012
2012-01-04,2.15,2.16,2.13,2.13,25900,2.13,,1,2012
2012-01-05,2.13,2.13,2.06,2.09,79300,2.09,,1,2012
2012-01-06,2.09,2.1,2.025,2.06,124300,2.06,,1,2012
2012-01-09,2.07,2.08,2.04,2.05,97600,2.05,,1,2012
2012-01-10,2.07,2.071,2.03,2.05,127300,2.05,,1,2012
2012-01-11,2.04,2.065,2.03,2.05,40400,2.05,,1,2012
2012-01-12,2.05,2.06,1.98,2.0,96500,2.0,,1,2012
2012-01-13,1.98,2.0,1.98,1.98,46300,1.98,,1,2012
2012-01-17,2.0,2.05,1.97,2.0,167300,2.0,,1,2012
2012-01-18,2.0,2.0,1.87,1.94,180800,1.94,,1,2012
2012-01-19,1.95,1.97,1.87,1.96,242200,1.96,,1,2012
2012-01-20,1.96,2.13,1.951,2.07,120800,2.07,,1,2012
2012-01-23,2.08,2.16,2.06,2.15,97800,2.15,,1,2012
2012-01-24,2.13,2.14,2.08,2.09,73900,2.09,42.5925925926,1,2012
2012-01-25,2.1,2.17,2.09,2.17,144200,2.17,50.4914004914,1,2012
2012-01-26,2.17,2.25,2.17,2.24,117100,2.24,56.1736657186,1,2012
2012-01-27,2.23,2.42,2.23,2.42,107000,2.42,66.7436545993,1,2012
2012-01-30,2.4,2.46,2.36,2.45,127100,2.45,68.1235396408,1,2012
2012-01-31,2.46,2.54,2.41,2.51,148800,2.51,70.7385803621,1,2012
2012-02-01,2.54,2.65,2.517,2.64,117400,2.64,75.4398591355,1,2012
2012-02-02,2.64,2.7,2.59,2.7,69400,2.7,77.2561181551,1,2012
2012-02-03,2.75,2.75,2.61,2.65,142200,2.65,72.4479830013,1,2012
2012-02-06,2.62,2.65,2.51,2.6,60400,2.6,67.897256905,1,2012
2012-02-07,2.58,2.68,2.56,2.68,66000,2.68,71.0324925689,1,2012
2012-02-08,2.68,2.7,2.6,2.63,27400,2.63,66.6512145204,1,2012
2012-02-09,2.63,2.7,2.55,2.55,48900,2.55,60.2480931601,1,2012
2012-02-10,2.51,2.551,2.37,2.39,56700,2.39,49.9189600546,1,2012
2012-02-13,2.45,2.51,2.41,2.46,32500,2.46,53.6619691538,1,2012
2012-02-14,2.44,2.48,2.44,2.45,30300,2.45,53.0519610149,1,2012
2012-02-15,2.46,2.48,2.38,2.4,45500,2.4,49.9919446921,1,2012
2012-02-16,2.42,2.47,2.4,2.45,51000,2.45,52.9166007148,1,2012
