Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2014-06-06,8.03,8.44,8.0,8.01,1769100,8.01,,2,2014
2014-06-09,7.76,8.2,7.55,8.0,152500,8.0,,2,2014
2014-06-10,8.1,8.1,8.0,8.0,56500,8.0,,2,2014
2014-06-11,7.98,8.02,7.85,7.98,96100,7.98,,2,2014
2014-06-12,8.0,8.2,8.0,8.01,108100,8.01,,2,2014
2014-06-13,8.0,8.54,8.0,8.23,81300,8.23,,2,2014
2014-06-16,8.22,8.44,7.46,8.14,91700,8.14,,2,2014
2014-06-17,8.2,8.29,8.0,8.18,92600,8.18,,2,2014
2014-06-18,8.15,8.61,8.15,8.6,33500,8.6,,2,2014
2014-06-19,8.6,8.99,8.39,8.78,39300,8.78,,2,2014
2014-06-20,8.93,9.73,8.23,9.73,86000,9.73,,2,2014
2014-06-23,9.7,10.0,9.15,9.99,79900,9.99,,2,2014
2014-06-24,11.3,11.3,10.0,10.57,50000,10.57,,2,2014
2014-06-25,10.7,10.82,10.2,10.6,14100,10.6,,2,2014
2014-06-26,10.2,10.89,10.06,10.25,32900,10.25,85.2201257862,2,2014
2014-06-27,10.43,10.941,10.25,10.82,17000,10.82,87.6115166261,2,2014
2014-06-30,10.8,14.6,10.8,13.0,201400,13.0,92.5657968627,2,2014
2014-07-01,13.3,16.85,13.3,16.629999,182800,16.629999,95.6705615544,3,2014
2014-07-02,16.9,17.32,14.53,15.29,113200,15.29,82.0483728563,3,2014
2014-07-03,15.28,15.99,13.94,15.11,44800,15.11,80.3924632753,3,2014
2014-07-07,15.17,15.45,12.63,13.35,55700,13.35,66.3021913446,3,2014
2014-07-08,13.39,13.39,11.351,11.53,76200,11.53,55.4743962898,3,2014
2014-07-09,11.51,12.34,10.34,10.96,71700,10.96,52.5783389432,3,2014
2014-07-10,10.42,10.76,10.05,10.59,64400,10.59,50.7270848583,3,2014
2014-07-11,10.54,12.7,10.501,11.55,31800,11.55,55.1404353142,3,2014
2014-07-14,11.58,13.88,11.5,12.46,98500,12.46,58.8985667677,3,2014
2014-07-15,12.44,12.88,11.48,12.14,24600,12.14,57.087432319,3,2014
2014-07-16,12.7,14.05,12.54,13.055,66200,13.055,60.7993241987,3,2014
2014-07-17,13.44,13.44,11.993,12.55,46500,12.55,57.8263472398,3,2014
2014-07-18,12.56,12.6,11.85,12.06,32100,12.06,55.0153152832,3,2014
2014-07-21,12.0,12.0,11.0,11.16,17200,11.16,50.1893650679,3,2014
2014-07-22,11.15,11.94,10.26,10.55,40800,10.55,47.1692060738,3,2014
2014-07-23,10.58,10.81,10.02,10.076,38400,10.076,44.9078271633,3,2014
2014-07-24,10.06,10.49,10.06,10.16,10900,10.16,45.4073263245,3,2014
2014-07-25,10.17,10.48,10.04,10.26,38100,10.26,46.0346122756,3,2014
2014-07-28,10.4,10.75,10.2,10.34,16600,10.34,46.5635969426,3,2014
2014-07-29,10.27,10.55,9.15,9.55,120200,9.55,42.1678651649,3,2014
2014-07-30,9.55,10.01,9.15,9.21,36000,9.21,40.4001817346,3,2014
2014-07-31,9.15,9.5,8.62,8.92,66300,8.92,38.9022189811,3,2014
2014-08-01,8.88,8.89,8.085,8.38,73600,8.38,36.2099060366,3,2014
2014-08-04,8.5,9.63,8.42,9.46,53100,9.46,44.4850539659,3,2014
2014-08-05,9.75,12.15,9.12,10.13,151700,10.13,48.9126841559,3,2014
2014-08-06,10.5,11.4,10.01,10.36,112600,10.36,50.3758456186,3,2014
2014-08-07,10.41,10.71,9.75,10.64,44700,10.64,52.1717313802,3,2014
2014-08-08,11.25,12.0,10.6,11.81,108000,11.81,58.8699237527,3,2014
2014-08-11,12.0,13.6,12.0,12.64,88200,12.64,62.8451792022,3,2014
2014-08-12,12.57,12.65,11.606,12.5,53700,12.5,61.7608689811,3,2014
2014-08-13,12.59,13.21,12.01,12.35,61500,12.35,60.5553283487,3,2014
2014-08-14,12.93,12.93,11.403,12.56,51700,12.56,61.6829748024,3,2014
2014-08-15,12.61,13.36,12.0,13.16,63200,13.16,64.7809562477,3,2014
2014-08-18,13.5,14.0,12.92,13.35,127500,13.35,65.7259723412,3,2014
2014-08-19,11.71,13.68,10.75,13.39,57800,13.39,65.9332172352,3,2014
2014-08-20,13.31,13.98,12.95,13.81,24800,13.81,68.1134375468,3,2014
2014-08-21,13.78,13.78,12.649,13.49,26000,13.49,64.7151465084,3,2014
2014-08-22,13.37,14.0,13.11,13.8,28500,13.8,66.4608719375,3,2014
2014-08-25,13.5,14.0,13.0,13.97,24500,13.97,67.4130182034,3,2014
2014-08-26,13.66,14.0,13.5,14.0,18100,14.0,67.5878885781,3,2014
2014-08-27,13.7,14.0,13.33,14.0,7300,14.0,67.5878885781,3,2014
2014-08-28,13.87,13.87,13.127,13.39,10200,13.39,59.9956505327,3,2014
2014-08-29,13.69,14.0,13.559,13.68,11200,13.68,62.1712349848,3,2014
2014-09-02,14.0,15.972,14.0,14.86,53000,14.86,69.4512309952,3,2014
2014-09-03,15.26,15.7,14.7,14.8,25400,14.8,68.7269782434,3,2014
2014-09-04,14.9,14.91,14.132,14.51,23800,14.51,65.1885301757,3,2014
2014-09-05,14.54,15.719,14.17,14.72,48100,14.72,66.5322778083,3,2014
2014-09-08,15.2,15.98,14.31,15.98,85800,15.98,73.2133933884,3,2014
2014-09-09,15.87,15.97,15.3,15.61,67900,15.61,68.8658624367,3,2014
2014-09-10,15.85,15.96,15.33,15.89,41800,15.89,70.3030232776,3,2014
2014-09-11,15.79,15.9,15.28,15.51,43600,15.51,65.8597899,3,2014
2014-09-12,15.45,15.91,15.1,15.15,52900,15.15,61.8703555516,3,2014
2014-09-15,15.153,15.153,13.16,14.03,68900,14.03,51.4321495721,3,2014
2014-09-16,14.44,15.72,14.318,14.885,70200,14.885,57.3479789667,3,2014
2014-09-17,15.25,15.7,14.33,14.52,50900,14.52,54.3068634835,3,2014
2014-09-18,14.59,15.34,14.1,14.59,71200,14.59,54.8018860153,3,2014
2014-09-19,15.15,15.32,14.11,14.64,188200,14.64,55.17543429,3,2014
2014-09-22,14.89,15.3,14.65,15.3,91700,15.3,59.888018781,3,2014
2014-09-23,15.5,19.9,15.5,17.950001,539000,17.950001,72.4240552138,3,2014
2014-09-24,17.68,19.205,17.59,19.120001,133400,19.120001,75.9916316397,3,2014
2014-09-25,18.9,19.75,17.6,19.52,135700,19.52,77.0832087511,3,2014
2014-09-26,19.030001,22.5,18.0,22.24,160500,22.24,82.8075372521,3,2014
2014-09-29,22.0,24.280001,21.34,21.42,277300,21.42,76.5959025239,3,2014
2014-09-30,21.209999,21.639999,20.02,21.0,783900,21.0,73.5525390001,3,2014
2014-10-01,21.15,21.780001,18.809999,19.139999,109400,19.139999,61.8351174624,4,2014
2014-10-02,18.26,19.860001,18.25,18.83,661800,18.83,60.1161896849,4,2014
2014-10-03,18.85,20.01,18.25,19.799999,108600,19.799999,63.5322611867,4,2014
2014-10-06,19.799999,20.370001,18.5,20.110001,107900,20.110001,64.5764996276,4,2014
2014-10-07,19.93,20.98,19.17,20.469999,80100,20.469999,65.8011785852,4,2014
2014-10-08,20.43,23.75,20.43,23.309999,143800,23.309999,73.5655181375,4,2014
2014-10-09,23.190001,24.926001,22.540001,23.110001,191700,23.110001,72.3202995556,4,2014
2014-10-10,23.389999,24.448999,20.4,20.700001,166200,20.700001,59.2955478259,4,2014
2014-10-13,20.48,20.700001,18.049999,18.120001,133900,18.120001,49.1006315725,4,2014
2014-10-14,18.129999,19.1,17.440001,17.73,119200,17.73,47.7637567247,4,2014
2014-10-15,17.51,19.219999,16.549999,18.450001,125200,18.450001,50.4462126168,4,2014
2014-10-16,17.629999,19.775999,17.629999,18.74,96200,18.74,51.5259497722,4,2014
2014-10-17,19.030001,19.35,18.059999,18.17,65100,18.17,49.254264961,4,2014
2014-10-20,18.02,19.190001,18.02,18.709999,56500,18.709999,51.4385845889,4,2014
2014-10-21,19.09,20.940001,18.790001,19.049999,36600,19.049999,52.8157445632,4,2014
2014-10-22,20.0,20.0,18.84,19.030001,22100,19.030001,52.7210403376,4,2014
