Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2014-03-07,8.53,8.95,8.25,8.3,1148600,8.3,,1,2014
2014-03-10,8.3,8.56,8.08,8.44,93400,8.44,,1,2014
2014-03-11,8.58,8.82,8.46,8.7,226000,8.7,,1,2014
2014-03-12,8.73,8.73,8.39,8.7,107700,8.7,,1,2014
2014-03-13,8.51,8.73,8.08,8.28,95500,8.28,,1,2014
2014-03-14,8.25,8.52,7.5,7.75,218100,7.75,,1,2014
2014-03-17,7.76,7.942,7.76,7.81,23800,7.81,,1,2014
2014-03-18,7.9,8.25,7.76,8.15,41200,8.15,,1,2014
2014-03-19,8.26,8.64,8.23,8.49,218100,8.49,,1,2014
2014-03-20,9.13,9.88,8.64,9.15,497800,9.15,,1,2014
2014-03-21,8.76,9.16,8.12,8.38,76900,8.38,,1,2014
2014-03-24,8.18,8.36,7.65,7.95,123500,7.95,,1,2014
2014-03-25,8.09,8.39,7.77,8.2,149700,8.2,,1,2014
2014-03-26,8.15,8.39,7.75,7.79,107800,7.79,,1,2014
2014-03-27,7.71,7.9,7.01,7.15,95800,7.15,39.0476190476,1,2014
2014-03-28,7.38,7.86,7.13,7.18,41700,7.18,39.4204164846,1,2014
2014-03-31,7.02,7.74,7.0,7.32,35600,7.32,41.226973863,1,2014
2014-04-01,7.21,7.5,6.77,6.98,43600,6.98,38.244159905,2,2014
2014-04-02,7.05,7.779,7.05,7.49,30600,7.49,44.7065655788,2,2014
2014-04-03,7.5,7.719,7.002,7.17,50900,7.17,41.7541320475,2,2014
2014-04-04,7.32,7.32,6.8,7.0,32200,7.0,40.2339853482,2,2014
2014-04-07,6.837,7.41,6.63,6.77,89700,6.77,38.2072571945,2,2014
2014-04-08,7.0,7.18,6.7,7.0,5400,7.0,41.3869242151,2,2014
2014-04-09,7.2,7.4,6.88,7.061,7200,7.061,42.2358875933,2,2014
2014-04-10,6.901,7.0,6.56,6.65,31900,6.65,38.2191610662,2,2014
2014-04-11,6.51,8.0,6.44,6.45,35200,6.45,36.4048062565,2,2014
2014-04-14,6.523,6.523,5.49,5.7,159100,5.7,30.5482382498,2,2014
2014-04-15,5.5,5.55,5.01,5.5,69300,5.5,29.199245808,2,2014
2014-04-16,5.55,5.64,5.25,5.5,16100,5.5,29.199245808,2,2014
2014-04-17,5.31,5.5,5.31,5.5,1700,5.5,29.199245808,2,2014
2014-04-21,5.6,5.6,5.26,5.26,7600,5.26,27.3866633731,2,2014
2014-04-22,5.36,5.97,5.35,5.75,24100,5.75,36.1072771218,2,2014
2014-04-23,5.87,7.42,5.87,7.15,72800,7.15,53.3469012372,2,2014
2014-04-24,6.65,7.5,6.49,6.69,33400,6.69,48.6974949706,2,2014
