Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2012-10-09,4.44,4.44,4.24,4.38,35600,4.38,,4,2012
2012-10-10,4.35,4.35,4.15,4.15,20400,4.15,,4,2012
2012-10-11,4.29,4.29,4.02,4.15,51200,4.15,,4,2012
2012-10-12,4.4,4.4,4.2,4.24,4800,4.24,,4,2012
2012-10-15,4.26,4.38,4.2,4.24,57100,4.24,,4,2012
2012-10-16,4.25,4.34,4.15,4.2,50100,4.2,,4,2012
2012-10-17,4.21,4.25,4.16,4.19,56700,4.19,,4,2012
2012-10-18,4.1,4.46,4.1,4.46,135600,4.46,,4,2012
2012-10-19,4.22,4.94,4.22,4.72,287000,4.72,,4,2012
2012-10-22,4.92,4.92,4.51,4.8,25400,4.8,,4,2012
2012-10-23,4.84,4.9,4.62,4.84,19800,4.84,,4,2012
2012-10-24,4.95,5.39,4.84,5.12,48200,5.12,,4,2012
2012-10-25,5.2,5.24,5.07,5.14,60100,5.14,,4,2012
2012-10-26,5.1,5.11,5.05,5.11,18000,5.11,,4,2012
2012-10-31,5.2,5.2,4.32,4.78,35000,4.78,61.9047619048,4,2012
2012-11-01,5.22,5.22,4.9,4.99,13700,4.99,66.4245359161,4,2012
2012-11-02,4.95,5.02,4.76,4.76,9000,4.76,58.2702467186,4,2012
2012-11-05,4.86,5.19,4.4,5.03,43400,5.03,63.8764474844,4,2012
2012-11-06,5.01,5.07,4.84,5.0,20100,5.0,62.865846376,4,2012
2012-11-07,4.9,5.0,4.7,4.97,17300,4.97,61.8126697772,4,2012
2012-11-08,4.99,5.0,4.75,4.75,10700,4.75,54.5901780356,4,2012
2012-11-09,4.85,5.0,4.61,4.91,35300,4.91,58.3974306259,4,2012
2012-11-12,4.65,5.0,4.65,4.9,29800,4.9,58.0697306541,4,2012
2012-11-13,4.7,4.7,4.7,4.7,600,4.7,51.808002727,4,2012
2012-11-14,4.8,4.89,4.64,4.87,26000,4.87,56.1375354026,4,2012
2012-11-15,4.59,4.79,4.5,4.74,10000,4.74,52.2703033644,4,2012
2012-11-16,4.5,4.82,4.39,4.69,39700,4.69,50.820214173,4,2012
2012-11-19,4.48,4.69,4.42,4.64,35400,4.64,49.3459480852,4,2012
2012-11-20,4.5,4.53,4.25,4.35,23400,4.35,41.7762063679,4,2012
2012-11-21,4.35,4.52,4.35,4.51,27600,4.51,46.6397630479,4,2012
2012-11-23,4.5,4.79,4.5,4.79,4000,4.79,53.8974923112,4,2012
2012-11-26,4.69,4.79,4.44,4.7,7100,4.7,51.4740082733,4,2012
2012-11-27,4.66,4.77,4.53,4.74,5100,4.74,52.4963607463,4,2012
2012-11-28,4.46,4.74,4.15,4.34,48000,4.34,42.7882369175,4,2012
2012-11-29,4.59,4.75,4.35,4.75,30800,4.75,52.4871995741,4,2012
2012-11-30,5.03,5.03,4.65,4.75,16800,4.75,52.4871995741,4,2012
2012-12-03,4.83,4.83,4.65,4.81,10600,4.81,53.8160252859,4,2012
2012-12-04,4.83,4.83,4.51,4.69,28200,4.69,50.7584283163,4,2012
2012-12-05,4.72,4.85,4.48,4.6,34500,4.6,48.5313428901,4,2012
2012-12-06,4.63,4.7,4.47,4.7,15700,4.7,51.0987281214,4,2012
2012-12-07,4.68,4.75,4.41,4.47,20600,4.47,45.4795030047,4,2012
2012-12-10,4.73,4.73,4.4,4.64,29600,4.64,49.8677336666,4,2012
2012-12-11,4.49,4.69,4.41,4.44,19300,4.44,45.253037283,4,2012
2012-12-12,4.42,4.64,4.24,4.6,13800,4.6,49.2954883873,4,2012
2012-12-13,4.63,4.64,4.38,4.6,17000,4.6,49.2954883873,4,2012
2012-12-14,4.52,4.77,4.33,4.33,22900,4.33,43.0712606204,4,2012
2012-12-17,4.48,4.79,4.35,4.52,38500,4.52,48.0428802183,4,2012
2012-12-18,4.55,4.98,4.55,4.95,66400,4.95,57.16099816,4,2012
2012-12-19,4.65,5.2,4.65,5.15,76300,5.15,60.6224262542,4,2012
2012-12-20,5.2,5.2,5.08,5.2,150000,5.2,61.4608107482,4,2012
2012-12-21,5.09,5.22,4.9,5.2,1282500,5.2,61.4608107482,4,2012
2012-12-24,5.52,5.95,5.1,5.15,133000,5.15,59.9797652105,4,2012
2012-12-26,5.19,5.38,4.98,5.18,46300,5.18,60.5933513805,4,2012
2012-12-27,5.21,5.97,5.21,5.72,56900,5.72,69.621832448,4,2012
2012-12-28,5.79,6.14,5.69,6.0,105700,6.0,73.0674819968,4,2012
2012-12-31,6.03,6.49,6.03,6.3,101100,6.3,76.1843593046,4,2012
2013-01-02,6.45,6.45,6.07,6.39,63300,6.39,77.042718656,1,2013
2013-01-03,6.43,6.5,6.2,6.27,41200,6.27,73.2517657334,1,2013
2013-01-04,6.36,6.5,5.75,5.96,60300,5.96,64.4315268802,1,2013
2013-01-07,5.97,6.16,5.76,5.91,45900,5.91,63.1115566565,1,2013
2013-01-08,5.9,6.18,5.67,6.06,39600,6.06,65.4015206839,1,2013
2013-01-09,6.06,6.06,5.87,5.99,24700,5.99,63.4228410302,1,2013
2013-01-10,6.01,6.02,5.6,5.68,40700,5.68,55.4255002832,1,2013
2013-01-11,5.69,5.69,5.0,5.16,132400,5.16,45.142654269,1,2013
2013-01-14,4.8,5.12,4.68,4.73,95900,4.73,38.7418586769,1,2013
2013-01-15,4.72,4.9,4.67,4.85,22300,4.85,41.2455738994,1,2013
2013-01-16,4.85,5.09,4.7,5.06,14700,5.06,45.4475906811,1,2013
2013-01-17,5.09,5.29,4.96,5.29,14500,5.29,49.6913710581,1,2013
2013-01-18,5.26,5.49,5.0,5.39,15200,5.39,51.459445494,1,2013
2013-01-22,5.41,5.65,5.14,5.57,48200,5.57,54.5554197987,1,2013
2013-01-23,5.7,5.9,5.54,5.8,25600,5.8,58.2221481312,1,2013
2013-01-24,5.79,5.93,5.3,5.87,35200,5.87,59.2985185232,1,2013
2013-01-25,5.87,5.98,5.62,5.75,37600,5.75,56.6060751961,1,2013
2013-01-28,5.74,5.93,5.6,5.74,31400,5.74,56.3763529036,1,2013
2013-01-29,5.72,5.93,5.69,5.84,16700,5.84,58.2030614224,1,2013
2013-01-30,5.82,6.23,5.82,5.98,58300,5.98,60.6851464993,1,2013
2013-01-31,5.99,6.42,5.9,6.01,99500,6.01,61.2166370618,1,2013
2013-02-01,6.11,6.38,5.85,5.99,67600,5.99,60.6281906385,1,2013
2013-02-04,5.89,6.15,5.55,5.81,39000,5.81,55.4610232525,1,2013
2013-02-05,5.79,6.09,5.79,6.01,22200,6.01,59.5828159787,1,2013
2013-02-06,5.96,6.02,5.68,6.0,12300,6.0,59.2873803545,1,2013
2013-02-07,5.99,6.06,5.54,5.62,25200,5.62,49.2865025973,1,2013
2013-02-08,5.65,5.85,5.52,5.66,29600,5.66,50.2380583805,1,2013
2013-02-11,5.68,5.91,5.51,5.63,19700,5.63,49.4880655437,1,2013
2013-02-12,5.6,5.65,5.43,5.49,36700,5.49,46.0342672681,1,2013
2013-02-13,5.43,5.7,5.43,5.65,20800,5.65,50.3030391903,1,2013
2013-02-14,5.63,5.73,5.6,5.71,8800,5.71,51.841456535,1,2013
2013-02-15,5.75,5.75,5.4,5.4,20800,5.4,44.2241870227,1,2013
2013-02-19,5.45,5.54,5.4,5.44,13000,5.44,45.340209825,1,2013
2013-02-20,5.63,5.86,5.34,5.35,24700,5.35,43.243606514,1,2013
