Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2013-11-15,12.59,12.68,11.55,12.07,2653500,12.07,,4,2013
2013-11-18,11.95,12.2,11.95,12.15,223300,12.15,,4,2013
2013-11-19,12.0,12.16,11.91,12.01,90200,12.01,,4,2013
2013-11-20,12.0,12.2,11.9,12.0,82800,12.0,,4,2013
2013-11-21,12.0,12.97,11.9,12.64,112600,12.64,,4,2013
2013-11-22,13.15,13.3,12.7,13.3,115100,13.3,,4,2013
2013-11-25,13.42,14.4,13.0,14.3,307900,14.3,,4,2013
2013-11-26,14.36,16.25,13.38,15.45,320500,15.45,,4,2013
2013-11-27,15.51,17.4,15.51,16.879999,154000,16.879999,,4,2013
2013-11-29,16.860001,17.469999,16.51,17.190001,121800,17.190001,,4,2013
2013-12-02,17.190001,17.75,16.610001,17.5,138100,17.5,,4,2013
2013-12-03,17.639999,18.879999,16.790001,18.66,131400,18.66,,4,2013
2013-12-04,18.49,19.0,18.120001,18.59,59900,18.59,,4,2013
2013-12-05,18.629999,20.0,18.0,19.6,65700,19.6,,4,2013
2013-12-06,19.860001,21.34,19.82,20.23,111800,20.23,97.4418604651,4,2013
2013-12-09,20.08,21.4,19.25,19.99,62900,19.99,94.5988190344,4,2013
2013-12-10,22.0,23.379999,20.709999,23.299999,508300,23.299999,96.2317783532,4,2013
2013-12-11,23.0,24.700001,22.120001,23.290001,189000,23.290001,96.1372312558,4,2013
2013-12-12,25.0,25.0,23.0,24.57,384300,24.57,96.5980580932,4,2013
2013-12-13,24.35,26.77,24.24,25.92,790200,25.92,97.0040212368,4,2013
2013-12-16,26.0,30.450001,26.0,28.99,314700,28.99,97.6815729398,4,2013
2013-12-17,29.450001,29.639999,27.440001,28.540001,220900,28.540001,94.3145934995,4,2013
2013-12-18,29.379999,29.379999,24.24,28.030001,461200,28.030001,90.506977082,4,2013
2013-12-19,26.969999,27.870001,26.0,26.030001,164800,26.030001,77.3234913971,4,2013
2013-12-20,26.17,26.99,23.77,24.809999,1288700,24.809999,70.5706359442,4,2013
2013-12-23,25.41,25.77,23.709999,25.610001,71400,25.610001,72.2801848945,4,2013
2013-12-24,25.82,25.82,24.700001,24.84,19100,24.84,68.1751962523,4,2013
2013-12-26,24.860001,25.219999,24.65,24.66,40100,24.66,67.2142044848,4,2013
2013-12-27,24.76,25.49,24.51,25.34,55900,25.34,68.9924116319,4,2013
2013-12-30,25.26,25.9,24.950001,25.0,45800,25.0,67.0346900918,4,2013
2013-12-31,25.110001,26.0,24.75,25.0,89200,25.0,67.0346900918,4,2013
2014-01-02,25.17,25.48,22.42,23.139999,89800,23.139999,56.8074487209,1,2014
2014-01-03,23.290001,25.219999,22.110001,25.16,82100,25.16,63.347556723,1,2014
2014-01-06,25.4,26.950001,24.01,26.940001,122400,26.940001,67.952493317,1,2014
2014-01-07,26.950001,26.950001,25.51,26.07,134700,26.07,63.7374722539,1,2014
2014-01-08,26.110001,26.9,25.5,25.719999,87000,25.719999,62.0694326972,1,2014
2014-01-09,25.15,29.0,25.15,27.309999,154000,27.309999,66.3746128142,1,2014
2014-01-10,26.0,28.18,26.0,27.299999,66600,27.299999,66.323626008,1,2014
2014-01-13,27.51,28.030001,26.639999,27.469999,118400,27.469999,66.7906612367,1,2014
2014-01-14,27.719999,30.98,27.5,29.940001,494500,29.940001,72.7121028715,1,2014
2014-01-15,29.93,31.190001,29.93,30.42,118300,30.42,73.693746684,1,2014
2014-01-16,30.459999,32.18,30.459999,31.5,147100,31.5,75.8029318946,1,2014
2014-01-17,31.549999,34.400002,31.549999,33.630001,151800,33.630001,79.323920698,1,2014
2014-01-21,34.049999,35.869999,33.029999,35.099998,353600,35.099998,81.3417906918,1,2014
2014-01-22,35.290001,35.360001,33.700001,34.790001,298100,34.790001,79.5780131406,1,2014
2014-01-23,34.52,37.139999,34.34,36.509998,255300,36.509998,81.9204723809,1,2014
2014-01-24,36.490002,38.810001,35.939999,38.029999,223600,38.029999,83.6998440718,1,2014
2014-01-27,38.509998,38.509998,35.330002,36.93,403200,36.93,77.7371654962,1,2014
2014-01-28,36.830002,36.889999,34.740002,35.849998,323600,35.849998,72.2918500688,1,2014
2014-01-29,35.869999,35.869999,31.77,32.720001,240700,32.720001,59.3225093631,1,2014
2014-01-30,32.32,34.5,31.9,33.759998,266100,33.759998,61.7762820954,1,2014
2014-01-31,33.34,33.34,31.82,33.060001,119300,33.060001,59.1882796925,1,2014
2014-02-03,33.34,35.02,29.709999,31.5,137600,31.5,53.7809284067,1,2014
2014-02-04,31.52,33.970001,31.459999,32.369999,76700,32.369999,56.1850149353,1,2014
2014-02-05,30.08,32.779999,30.08,31.889999,64800,31.889999,54.500644226,1,2014
2014-02-06,32.080002,32.400002,31.559999,32.119999,55000,32.119999,55.1937932883,1,2014
2014-02-07,32.299999,33.34,31.950001,32.459999,55000,32.459999,56.254727092,1,2014
2014-02-10,32.75,33.279999,31.5,32.400002,36200,32.400002,56.0027305316,1,2014
2014-02-11,35.09,39.889999,33.549999,38.52,303600,38.52,70.512935765,1,2014
2014-02-12,38.529999,44.0,38.529999,41.139999,137500,41.139999,74.4046693618,1,2014
2014-02-13,39.0,41.98,38.52,41.580002,62000,41.580002,75.0013840493,1,2014
2014-02-14,41.259998,41.740002,36.5,37.950001,127700,37.950001,62.1320160463,1,2014
2014-02-18,38.419998,42.16,38.009998,41.0,139600,41.0,67.2213062933,1,2014
2014-02-19,41.139999,41.369999,38.389999,39.369999,55600,39.369999,62.3950742528,1,2014
2014-02-20,39.290001,41.59,39.18,39.32,142200,39.32,62.2474421207,1,2014
