Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2012-01-03,4.88,4.96,4.64,4.75,65400,4.75,,1,2012
2012-01-04,4.74,4.74,4.2,4.33,161400,4.33,,1,2012
2012-01-05,4.37,4.37,4.09,4.23,73200,4.23,,1,2012
2012-01-06,4.24,4.65,4.21,4.61,131100,4.61,,1,2012
2012-01-09,4.64,4.69,4.37,4.46,62200,4.46,,1,2012
2012-01-10,4.59,4.59,4.35,4.36,59100,4.36,,1,2012
2012-01-11,4.35,4.48,4.28,4.44,63200,4.44,,1,2012
2012-01-12,4.45,4.65,4.45,4.58,57400,4.58,,1,2012
2012-01-13,4.57,4.91,4.44,4.86,174400,4.86,,1,2012
2012-01-17,4.92,5.13,4.88,5.06,122200,5.06,,1,2012
2012-01-18,5.1,5.14,4.97,5.08,77600,5.08,,1,2012
2012-01-19,5.06,5.14,5.0,5.08,64200,5.08,,1,2012
2012-01-20,5.03,5.13,4.96,4.99,124700,4.99,,1,2012
2012-01-23,4.98,5.05,4.92,4.97,30000,4.97,,1,2012
2012-01-24,4.96,5.06,4.95,5.06,43100,5.06,57.4879227053,1,2012
2012-01-25,5.04,5.25,4.97,5.24,117100,5.24,61.1281005776,1,2012
2012-01-26,5.27,5.36,5.01,5.11,389400,5.11,57.3112456196,1,2012
2012-01-27,4.98,4.98,4.67,4.81,483600,4.81,49.6125232739,1,2012
2012-01-30,4.77,4.86,4.68,4.75,147600,4.75,48.2174477882,1,2012
2012-01-31,4.77,4.79,4.66,4.7,71800,4.7,47.030612465,1,2012
2012-02-01,4.73,4.74,4.62,4.67,101600,4.67,46.2943207817,1,2012
2012-02-02,4.68,4.68,4.52,4.56,114800,4.56,43.5990500155,1,2012
2012-02-03,4.65,4.69,4.43,4.57,105200,4.57,43.9187073676,1,2012
2012-02-06,4.54,4.65,4.54,4.6,53200,4.6,44.9271284995,1,2012
2012-02-07,4.62,4.68,4.5,4.55,54300,4.55,43.522469565,1,2012
2012-02-08,4.54,4.61,4.5,4.52,55600,4.52,42.6606319549,1,2012
2012-02-09,4.56,4.57,4.41,4.46,68300,4.46,40.9155532484,1,2012
2012-02-10,4.41,4.46,4.38,4.43,22000,4.43,40.0337559583,1,2012
2012-02-13,4.43,4.6,4.37,4.57,56000,4.57,45.8940185352,1,2012
2012-02-14,4.52,4.61,4.48,4.55,65800,4.55,45.2142328151,1,2012
2012-02-15,4.51,4.59,4.47,4.56,53300,4.56,45.6477320238,1,2012
2012-02-16,4.55,4.57,4.5,4.55,28600,4.55,45.2620411348,1,2012
2012-02-17,4.53,4.59,4.5,4.55,74400,4.55,45.2620411348,1,2012
2012-02-21,4.55,4.58,4.5,4.54,52100,4.54,44.8228145031,1,2012
2012-02-22,4.58,4.58,4.5,4.53,17300,4.53,44.3592360188,1,2012
2012-02-23,4.51,4.56,4.5,4.54,33300,4.54,44.972138622,1,2012
