Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2012-01-03,6.37,6.44,6.3,6.4,300200,6.4,,1,2012
2012-01-04,6.37,6.42,6.19,6.2,399400,6.2,,1,2012
2012-01-05,6.19,6.39,6.1,6.2,280900,6.2,,1,2012
2012-01-06,6.2,6.25,6.12,6.2,284300,6.2,,1,2012
2012-01-09,6.21,6.3,6.05,6.08,864900,6.08,,1,2012
2012-01-10,6.15,6.26,5.95,6.26,442700,6.26,,1,2012
2012-01-11,6.3,6.43,6.23,6.36,284200,6.36,,1,2012
2012-01-12,6.33,6.43,6.22,6.25,213200,6.25,,1,2012
2012-01-13,6.16,6.34,6.08,6.27,245800,6.27,,1,2012
2012-01-17,6.28,6.35,6.17,6.24,249500,6.24,,1,2012
2012-01-18,6.2,6.35,6.2,6.33,213500,6.33,,1,2012
2012-01-19,6.35,6.35,6.15,6.33,204300,6.33,,1,2012
2012-01-20,6.33,6.38,6.23,6.37,111100,6.37,,1,2012
2012-01-23,6.35,6.4,6.3,6.33,168800,6.33,,1,2012
2012-01-24,6.32,6.5,6.3,6.49,313600,6.49,54.128440367,1,2012
2012-01-25,6.5,6.5,6.32,6.35,275700,6.35,47.5511469312,1,2012
2012-01-26,6.39,6.47,6.32,6.45,192900,6.45,52.0345414104,1,2012
2012-01-27,6.41,7.03,6.41,7.0,1657100,7.0,68.1570255481,1,2012
2012-01-30,6.59,6.99,6.55,6.97,535500,6.97,66.8373539975,1,2012
2012-01-31,7.0,7.2,6.91,7.16,955400,7.16,70.705936581,1,2012
2012-02-01,7.2,7.28,7.07,7.23,523600,7.23,72.0018077025,1,2012
2012-02-02,7.25,7.3,7.12,7.25,345400,7.25,72.3777813383,1,2012
2012-02-03,7.37,7.45,7.21,7.39,393600,7.39,74.9169442555,1,2012
2012-02-06,7.38,7.59,7.32,7.52,256000,7.52,77.0285837647,1,2012
2012-02-07,7.53,7.65,7.43,7.62,416200,7.62,78.526164642,1,2012
2012-02-08,7.63,7.89,7.54,7.85,677900,7.85,81.511639599,1,2012
2012-02-09,7.83,7.9,7.58,7.76,548700,7.76,77.0003974703,1,2012
2012-02-10,7.7,7.81,7.66,7.79,196300,7.79,77.4484372544,1,2012
2012-02-13,7.79,7.85,7.71,7.8,283900,7.8,77.6050437945,1,2012
2012-02-14,7.74,7.81,7.56,7.75,246000,7.75,74.8077720366,1,2012
2012-02-15,7.74,7.78,7.31,7.52,574200,7.52,63.473809088,1,2012
2012-02-16,7.48,7.58,7.41,7.55,286000,7.55,64.2349619102,1,2012
2012-02-17,7.55,7.59,7.45,7.53,150200,7.53,63.2881079201,1,2012
2012-02-21,7.55,7.65,7.3,7.41,766300,7.41,57.7843686817,1,2012
2012-02-22,7.38,7.7,7.36,7.43,344800,7.43,58.4331764014,1,2012
2012-02-23,7.47,7.54,7.33,7.35,171400,7.35,54.804849691,1,2012
2012-02-24,7.36,7.46,7.21,7.32,455200,7.32,53.4641680713,1,2012
2012-02-27,7.25,7.44,7.07,7.31,536200,7.31,52.9987579912,1,2012
