Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2012-01-03,4.54,4.55,4.1,4.13,588900,4.13,,1,2012
2012-01-04,4.1,4.34,4.1,4.25,278500,4.25,,1,2012
2012-01-05,4.25,4.47,4.2,4.47,321700,4.47,,1,2012
2012-01-06,4.48,4.53,4.35,4.41,237700,4.41,,1,2012
2012-01-09,4.41,4.43,4.22,4.25,286200,4.25,,1,2012
2012-01-10,4.07,4.4,4.05,4.35,361100,4.35,,1,2012
2012-01-11,4.35,4.35,4.23,4.24,144000,4.24,,1,2012
2012-01-12,4.23,4.25,4.16,4.2,271900,4.2,,1,2012
2012-01-13,4.16,4.23,4.1,4.19,164000,4.19,,1,2012
2012-01-17,4.21,4.33,4.19,4.22,274000,4.22,,1,2012
2012-01-18,4.2,4.31,4.15,4.28,273700,4.28,,1,2012
2012-01-19,4.28,4.28,4.16,4.23,205300,4.23,,1,2012
2012-01-20,4.21,4.22,4.11,4.18,113800,4.18,,1,2012
2012-01-23,4.19,4.19,3.98,4.03,183500,4.03,,1,2012
2012-01-24,4.02,4.03,3.77,3.78,584400,3.78,37.5886524823,1,2012
2012-01-25,3.8,3.95,3.75,3.93,300000,3.93,44.0039158101,1,2012
2012-01-26,3.95,4.09,3.86,4.08,343300,4.08,49.5847316858,1,2012
2012-01-27,4.05,4.05,3.95,4.0,140400,4.0,46.9000268844,1,2012
2012-01-30,3.97,4.0,3.86,3.99,221300,3.99,46.5606654809,1,2012
2012-01-31,3.93,3.93,3.29,3.45,1438500,3.45,32.7709159275,1,2012
2012-02-01,3.48,3.7,3.45,3.68,1149700,3.68,40.8115928426,1,2012
2012-02-02,3.72,3.8,3.58,3.79,657900,3.79,44.2460685341,1,2012
2012-02-03,3.87,4.07,3.82,4.04,511900,4.04,51.179636958,1,2012
2012-02-06,4.02,4.02,3.85,3.85,309200,3.85,46.451605934,1,2012
2012-02-07,3.84,4.05,3.81,4.0,578600,4.0,50.3511568211,1,2012
2012-02-08,4.0,4.1,3.99,4.09,119700,4.09,52.5823839945,1,2012
2012-02-09,4.11,4.11,3.96,4.02,208100,4.02,50.6748709274,1,2012
2012-02-10,3.98,4.06,3.93,4.01,203600,4.01,50.3936229069,1,2012
2012-02-13,4.08,4.18,4.03,4.08,143600,4.08,52.3857475901,1,2012
2012-02-14,4.07,4.07,3.9,3.95,234200,3.95,48.4910761627,1,2012
2012-02-15,3.97,4.03,3.86,3.87,404600,3.87,46.2140749556,1,2012
2012-02-16,3.88,4.1,3.86,4.05,110200,4.05,51.708694039,1,2012
2012-02-17,4.07,4.07,3.92,4.06,117400,4.06,52.0020559737,1,2012
2012-02-21,4.04,4.04,3.94,3.95,161000,3.95,48.511033037,1,2012
2012-02-22,3.94,3.97,3.85,3.85,132600,3.85,45.5193198856,1,2012
2012-02-23,3.85,3.89,3.77,3.83,198700,3.83,44.9226156209,1,2012
2012-02-24,3.82,3.84,3.78,3.82,136100,3.82,44.6077477402,1,2012
2012-02-27,3.8,3.82,3.75,3.79,162100,3.79,43.6199802495,1,2012
2012-02-28,3.77,3.81,3.75,3.76,91700,3.76,42.6040131918,1,2012
2012-02-29,3.76,3.79,3.64,3.7,267300,3.7,40.5688397438,1,2012
2012-03-01,3.71,3.84,3.71,3.8,284200,3.8,45.2620785451,1,2012
2012-03-02,3.8,3.82,3.76,3.8,221600,3.8,45.2620785451,1,2012
2012-03-05,3.79,3.86,3.75,3.8,148500,3.8,45.2620785451,1,2012
2012-03-06,3.75,3.8,3.69,3.71,153700,3.71,41.571841487,1,2012
2012-03-07,3.72,3.73,3.68,3.72,145900,3.72,42.1363464926,1,2012
2012-03-08,3.75,3.84,3.7,3.8,258600,3.8,46.5826831121,1,2012
2012-03-09,3.8,3.85,3.7,3.73,220300,3.73,43.4374452283,1,2012
2012-03-12,3.74,3.79,3.7,3.73,169600,3.73,43.4374452283,1,2012
2012-03-13,3.75,3.84,3.7,3.82,284400,3.82,48.611259213,1,2012
2012-03-14,3.82,3.82,3.7,3.71,84900,3.71,43.3875200869,1,2012
2012-03-15,3.72,3.73,3.63,3.71,250400,3.71,43.3875200869,1,2012
2012-03-16,3.71,3.73,3.66,3.72,356500,3.72,44.0217411722,1,2012
2012-03-19,3.71,3.86,3.68,3.77,106400,3.77,47.2064107122,1,2012
2012-03-20,3.73,3.76,3.66,3.7,89100,3.7,43.4771814051,1,2012
2012-03-21,3.72,3.75,3.66,3.69,128700,3.69,42.9551222564,1,2012
2012-03-22,3.67,3.75,3.59,3.63,149400,3.63,39.8622890655,1,2012
2012-03-23,3.64,3.71,3.61,3.71,79400,3.71,45.4971613835,1,2012
2012-03-26,3.75,3.82,3.68,3.76,160800,3.76,48.7305684942,1,2012
2012-03-27,3.76,3.76,3.64,3.69,116500,3.69,44.7297364024,1,2012
2012-03-28,3.68,3.73,3.62,3.71,163300,3.71,46.0915642676,1,2012
2012-03-29,3.68,3.74,3.65,3.73,105500,3.73,47.4850368526,1,2012
2012-03-30,3.76,3.78,3.69,3.7,188000,3.7,45.5817315383,1,2012
2012-04-02,3.68,3.74,3.65,3.69,208400,3.69,44.9351822809,2,2012
2012-04-03,3.68,3.77,3.66,3.69,168000,3.69,44.9351822809,2,2012
2012-04-04,3.68,3.68,3.56,3.58,152500,3.58,38.0498379795,2,2012
2012-04-05,3.56,3.57,3.51,3.52,241500,3.52,34.9078434637,2,2012
2012-04-09,3.49,3.51,3.44,3.5,269800,3.5,33.9028746983,2,2012
2012-04-10,3.51,3.59,3.46,3.5,248800,3.5,33.9028746983,2,2012
2012-04-11,3.54,3.54,3.49,3.5,127300,3.5,33.9028746983,2,2012
2012-04-12,3.51,3.71,3.5,3.69,200900,3.69,50.732305838,2,2012
2012-04-13,3.67,3.67,3.62,3.65,194800,3.65,47.9635222798,2,2012
