Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2012-01-03,1.18,1.18,1.07,1.09,16500,1.09,,1,2012
2012-01-04,1.09,1.09,1.09,1.09,0,1.09,,1,2012
2012-01-05,1.1,1.18,1.0,1.18,16100,1.18,,1,2012
2012-01-06,1.16,1.17,1.05,1.12,1700,1.12,,1,2012
2012-01-09,1.14,1.27,1.14,1.18,1400,1.18,,1,2012
2012-01-10,1.19,1.19,1.12,1.14,1000,1.14,,1,2012
2012-01-11,1.16,1.22,1.16,1.16,6500,1.16,,1,2012
2012-01-12,1.16,1.29,1.13,1.29,2200,1.29,,1,2012
2012-01-13,1.23,1.23,1.23,1.23,1000,1.23,,1,2012
2012-01-17,1.45,1.45,1.1,1.23,6500,1.23,,1,2012
2012-01-18,1.2,1.2,1.2,1.2,100,1.2,,1,2012
2012-01-19,1.18,1.27,1.18,1.27,2200,1.27,,1,2012
2012-01-20,1.28,1.29,1.28,1.28,1500,1.28,,1,2012
2012-01-23,1.33,1.46,1.3,1.46,3500,1.46,,1,2012
2012-01-24,1.37,1.44,1.34,1.37,1800,1.37,66.6666666667,1,2012
2012-01-25,1.32,1.36,1.3,1.31,6100,1.31,61.9047619048,1,2012
2012-01-26,1.35,1.4,1.3,1.32,3600,1.32,62.3869801085,1,2012
2012-01-27,1.32,1.32,1.32,1.32,0,1.32,62.3869801085,1,2012
2012-01-30,1.38,1.62,1.38,1.62,6200,1.62,73.8873990655,1,2012
2012-01-31,1.59,1.65,1.56,1.65,7600,1.65,74.7198150079,1,2012
2012-02-01,1.56,1.56,1.4,1.45,6300,1.45,60.8038126404,1,2012
2012-02-02,1.44,1.52,1.37,1.52,1500,1.52,63.3748635988,1,2012
2012-02-03,1.62,1.62,1.39,1.4,12100,1.4,56.5293119939,1,2012
2012-02-06,1.46,1.64,1.43,1.64,2100,1.64,64.7340034059,1,2012
2012-02-07,1.58,1.64,1.39,1.6,7500,1.6,62.6128945747,1,2012
2012-02-08,1.56,1.59,1.56,1.59,200,1.59,62.0653688627,1,2012
2012-02-09,1.57,1.59,1.57,1.59,300,1.59,62.0653688627,1,2012
2012-02-10,1.46,1.49,1.34,1.48,2200,1.48,55.8363478854,1,2012
2012-02-13,1.41,1.41,1.41,1.41,400,1.41,52.2430825713,1,2012
2012-02-14,1.35,1.36,1.26,1.29,3300,1.29,46.6953695541,1,2012
2012-02-15,1.29,1.33,1.27,1.33,1700,1.33,48.6527090379,1,2012
2012-02-16,1.26,1.29,1.23,1.29,800,1.29,46.8019501113,1,2012
2012-02-17,1.24,1.24,1.23,1.23,300,1.23,44.0924862895,1,2012
2012-02-21,1.2,1.35,1.19,1.35,3900,1.35,50.2907658252,1,2012
2012-02-22,1.38,1.38,1.17,1.23,2300,1.23,44.9267432102,1,2012
2012-02-23,1.24,1.32,1.1,1.28,16500,1.28,47.4421784939,1,2012
2012-02-24,1.28,1.28,1.28,1.28,0,1.28,47.4421784939,1,2012
2012-02-27,1.17,1.26,1.16,1.26,1400,1.26,46.4578038397,1,2012
2012-02-28,1.27,1.27,1.27,1.27,300,1.27,47.0493946471,1,2012
2012-02-29,1.25,1.31,1.2,1.2,2100,1.2,43.4318316347,1,2012
2012-03-01,1.2,1.2,1.2,1.2,500,1.2,43.4318316347,1,2012
