Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2014-09-12,12.0,30.0,11.5,25.6,12778600,25.6,,3,2014
2014-09-15,31.76,43.706001,30.17,37.150002,11256100,37.150002,,3,2014
2014-09-16,41.470001,43.487999,32.0,36.950001,8222800,36.950001,,3,2014
2014-09-17,37.389999,37.974998,33.200001,33.700001,3879700,33.700001,,3,2014
2014-09-18,31.92,32.790001,27.530001,28.25,2612200,28.25,,3,2014
2014-09-19,27.51,30.24,27.5,27.780001,1297000,27.780001,,3,2014
2014-09-22,27.5,31.98,26.16,31.719999,1706900,31.719999,,3,2014
2014-09-23,35.0,35.0,30.52,31.1,2904600,31.1,,3,2014
2014-09-24,32.060001,32.200001,29.049999,30.15,678500,30.15,,3,2014
2014-09-25,29.639999,31.889999,27.549999,30.49,733600,30.49,,3,2014
2014-09-26,30.74,31.41,29.57,31.0,239200,31.0,,3,2014
2014-09-29,30.700001,33.099998,29.75,33.099998,991500,33.099998,,3,2014
2014-09-30,34.0,35.549999,32.393002,34.150002,1534000,34.150002,,3,2014
2014-10-01,34.290001,34.290001,32.150002,32.700001,526900,32.700001,,4,2014
2014-10-02,33.18,33.599998,29.780001,31.65,709600,31.65,59.1861513287,4,2014
2014-10-03,32.310001,32.950001,30.565001,30.93,396600,30.93,57.8245877014,4,2014
2014-10-06,31.01,31.4,28.51,29.200001,367500,29.200001,54.5758377151,4,2014
2014-10-07,28.700001,30.299999,27.65,28.9,429400,28.9,54.0091644315,4,2014
2014-10-08,28.98,29.99,28.01,29.85,278400,29.85,55.5819775847,4,2014
2014-10-09,29.620001,31.48,28.58,30.27,589000,30.27,56.2936187315,4,2014
2014-10-10,29.110001,30.406,28.1,29.0,352300,29.0,53.5022757603,4,2014
2014-10-13,28.01,28.809999,25.5,25.610001,553200,25.610001,46.8275153497,4,2014
2014-10-14,25.75,26.440001,24.500999,25.48,248600,25.48,46.5874859126,4,2014
2014-10-15,25.0,25.219999,23.502001,24.9,221200,24.9,45.4677066385,4,2014
2014-10-16,24.24,29.0,23.790001,27.98,388300,27.98,52.0577592961,4,2014
2014-10-17,28.530001,30.0,28.049999,28.77,229100,28.77,53.6064123688,4,2014
2014-10-20,28.9,29.5,27.73,28.889999,138500,28.889999,53.8502721467,4,2014
2014-10-21,29.0,29.049999,27.799999,28.1,168800,28.1,51.9155728903,4,2014
2014-10-22,28.15,28.18,26.6,26.870001,168200,26.870001,48.9658465287,4,2014
2014-10-23,27.700001,28.0,26.110001,26.41,160000,26.41,47.8704033231,4,2014
2014-10-24,26.32,26.65,25.6,25.92,121500,25.92,46.6726132626,4,2014
2014-10-27,25.74,29.34,25.1,29.1,506900,29.1,54.6101864149,4,2014
2014-10-28,29.41,32.41,28.66,29.25,1073300,29.25,54.9508088575,4,2014
2014-10-29,29.42,29.738001,27.799999,28.85,242300,28.85,53.7915450062,4,2014
2014-10-30,29.82,31.969999,29.18,30.440001,535200,30.440001,57.6189304943,4,2014
2014-10-31,31.440001,31.879999,30.305,30.65,400200,30.65,58.1124117109,4,2014
2014-11-03,31.299999,33.25,29.65,30.18,676700,30.18,56.5260128754,4,2014
2014-11-04,30.25,30.99,29.389999,30.32,244300,30.32,56.9034122961,4,2014
2014-11-05,30.610001,31.5,29.450001,30.0,285000,30.0,55.7128992951,4,2014
2014-11-06,29.799999,30.49,28.91,29.98,322100,29.98,55.634555401,4,2014
2014-11-07,29.870001,31.1,29.0,30.02,345200,30.02,55.7685216905,4,2014
2014-11-10,29.950001,31.5,29.6,30.15,441200,30.15,56.2310990538,4,2014
2014-11-11,30.0,30.799999,29.5,29.59,295600,29.59,53.6292391104,4,2014
2014-11-12,29.5,30.32,28.700001,29.219999,312800,29.219999,51.9198523116,4,2014
2014-11-13,29.780001,32.900002,28.0,28.1,1723000,28.1,47.0328817791,4,2014
2014-11-14,28.639999,29.440001,27.07,27.9,552900,27.9,46.1966743373,4,2014
2014-11-17,27.639999,28.190001,26.959999,27.15,244100,27.15,43.1019278052,4,2014
2014-11-18,27.27,27.9,27.0,27.360001,139300,27.360001,44.2285316634,4,2014
2014-11-19,27.5,27.940001,26.6,26.98,264800,26.98,42.5853631754,4,2014
2014-11-20,26.65,27.254,26.280001,26.709999,156600,26.709999,41.4082142926,4,2014
2014-11-21,27.040001,27.879999,26.799,27.370001,186000,27.370001,45.3825710949,4,2014
2014-11-24,27.07,27.889999,26.83,27.5,181700,27.5,46.1572764936,4,2014
2014-11-25,27.5,27.75,26.530001,26.700001,272800,26.700001,42.1911980141,4,2014
2014-11-26,26.559999,27.469999,26.299999,26.629999,203200,26.629999,41.8523177092,4,2014
2014-11-28,26.549999,26.593,26.200001,26.379999,129200,26.379999,40.5981798484,4,2014
2014-12-01,26.17,26.17,25.33,25.42,279500,25.42,36.1219497341,4,2014
2014-12-02,25.299999,25.750999,24.700001,25.059999,191700,25.059999,34.582111978,4,2014
2014-12-03,24.879999,24.879999,24.0,24.129999,234000,24.129999,30.9156582924,4,2014
2014-12-04,24.0,24.0,22.1,22.23,253800,22.23,25.0681365033,4,2014
2014-12-05,22.17,23.92,22.018999,23.67,187700,23.67,35.0890061354,4,2014
2014-12-08,23.5,23.5,22.530001,23.0,146600,23.0,32.8853760867,4,2014
2014-12-09,22.799999,23.0,21.389999,22.82,128100,22.82,32.2985186554,4,2014
2014-12-10,22.91,23.49,21.41,21.43,176400,21.43,28.1246071346,4,2014
2014-12-11,22.0,22.440001,21.5,21.5,151900,21.5,28.6248439241,4,2014
2014-12-12,21.139999,21.780001,20.73,21.219999,191100,21.219999,27.7916316338,4,2014
2014-12-15,21.200001,21.65,20.309999,20.77,93400,20.77,26.4586713152,4,2014
2014-12-16,20.66,20.66,19.049999,19.18,268500,19.18,22.3751137109,4,2014
2014-12-17,18.889999,18.91,18.01,18.75,164300,18.75,21.4126230137,4,2014
2014-12-18,19.01,20.459999,18.299999,20.0,173300,20.0,30.7396306728,4,2014
2014-12-19,20.02,21.799999,19.82,21.620001,148600,21.620001,40.5819584849,4,2014
2014-12-22,22.629999,23.309999,21.299999,23.25,136200,23.25,48.5104229772,4,2014
2014-12-23,23.26,23.5,21.35,21.549999,174200,21.549999,42.1877130428,4,2014
2014-12-24,21.450001,22.469999,21.450001,21.66,51200,21.66,42.7080610043,4,2014
2014-12-26,21.469999,21.746,20.5,20.790001,144000,20.790001,39.6670992759,4,2014
2014-12-29,20.98,22.25,20.219999,20.5,92900,20.5,38.678464795,4,2014
2014-12-30,20.370001,20.959999,19.690001,19.99,107100,19.99,36.9350552196,4,2014
2014-12-31,20.219999,20.219999,18.879999,18.879999,182400,18.879999,33.4057493789,4,2014
2015-01-02,19.0,19.75,18.76,19.610001,86900,19.610001,37.626921719,1,2015
2015-01-05,19.5,20.469999,19.1,19.809999,99000,19.809999,38.7719936064,1,2015
2015-01-06,19.809999,21.0,19.33,20.299999,92200,20.299999,41.6007649479,1,2015
2015-01-07,20.51,22.25,20.0,20.4,145500,20.4,42.1877948261,1,2015
2015-01-08,22.0,22.0,20.42,21.26,105900,21.26,47.1115108834,1,2015
2015-01-09,21.370001,21.52,20.67,20.969999,106800,20.969999,45.6981350256,1,2015
2015-01-12,21.200001,22.25,20.52,22.17,134100,22.17,52.1016442235,1,2015
2015-01-13,22.33,22.74,20.320999,20.74,124300,20.74,45.2532030543,1,2015
2015-01-14,20.5,21.0,20.41,20.67,94600,20.67,44.9417896166,1,2015
2015-01-15,20.709999,20.9,19.9,20.59,175600,20.59,44.5643459076,1,2015
2015-01-16,20.48,20.73,20.177,20.27,30200,20.27,43.0083816914,1,2015
2015-01-20,20.389999,20.450001,18.5,18.6,177700,18.6,35.9533005933,1,2015
2015-01-21,18.6,18.969999,17.209999,17.34,115900,17.34,31.7247985965,1,2015
2015-01-22,17.43,17.5,17.1,17.27,75000,17.27,31.5031251919,1,2015
2015-01-23,17.1,18.57,17.1,18.16,71000,18.16,37.484224217,1,2015
2015-01-26,18.059999,18.879999,17.76,18.5,76800,18.5,39.6521558846,1,2015
2015-01-27,18.290001,18.700001,17.700001,18.25,39900,18.25,38.5924054859,1,2015
2015-01-28,18.41,18.459999,17.35,18.02,40100,18.02,37.596860531,1,2015
2015-01-29,17.969999,18.200001,17.01,17.709999,49800,17.709999,36.2399037841,1,2015
2015-01-30,17.450001,17.804001,17.01,17.440001,56000,17.440001,35.0532478305,1,2015
2015-02-02,17.6,18.719999,17.02,18.530001,64800,18.530001,43.1468679362,1,2015
