Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2014-01-29,20.0,20.0,20.0,20.0,100,20.0,,1,2014
2014-01-30,20.0,20.0,20.0,20.0,0,20.0,,1,2014
2014-01-31,20.0,20.0,20.0,20.0,0,20.0,,1,2014
2014-02-03,20.0,20.0,20.0,20.0,0,20.0,,1,2014
2014-02-04,20.0,20.0,20.0,20.0,0,20.0,,1,2014
2014-02-05,20.0,20.0,20.0,20.0,0,20.0,,1,2014
2014-02-06,20.0,20.0,20.0,20.0,0,20.0,,1,2014
2014-02-07,20.0,20.0,20.0,20.0,0,20.0,,1,2014
2014-02-10,20.0,20.0,20.0,20.0,0,20.0,,1,2014
2014-02-11,20.0,20.0,20.0,20.0,0,20.0,,1,2014
2014-02-12,12.5,12.5,12.5,12.5,3000,12.5,,1,2014
2014-02-13,12.5,12.5,12.5,12.5,0,12.5,,1,2014
2014-02-14,12.5,12.5,11.5,11.5,600,11.5,,1,2014
2014-02-18,10.0,10.0,8.0,9.2,46400,9.2,,1,2014
2014-02-19,9.3,9.49,8.25,8.75,29300,8.75,0.0,1,2014
2014-02-20,9.0,9.1,8.75,9.0,9700,9.0,2.33722871452,1,2014
2014-02-21,9.3,9.3,8.5,8.5,23100,8.5,2.22521090598,1,2014
2014-02-24,9.05,9.2,8.8,8.8,18100,8.8,5.1622060978,1,2014
2014-02-25,9.05,9.1,8.9,8.9,9800,8.9,6.17393297723,1,2014
2014-02-26,9.1,9.1,8.95,8.95,13500,8.95,6.70981904802,1,2014
2014-02-27,9.1,9.45,9.0,9.2,39400,9.2,9.49327587947,1,2014
2014-02-28,9.45,9.45,8.75,8.95,135600,8.95,9.19773726176,1,2014
2014-03-03,9.0,9.3,9.0,9.0,43500,9.0,9.80253083395,1,2014
2014-03-04,9.15,9.15,9.0,9.1,16700,9.1,11.0781865686,1,2014
2014-03-05,9.0,9.05,9.0,9.05,10100,9.05,10.9944591519,1,2014
2014-03-06,9.15,9.15,9.0,9.1,15000,9.1,11.7130475908,1,2014
2014-03-07,9.11,9.11,8.8,8.9,112200,8.9,11.3193792692,1,2014
2014-03-10,9.0,9.1,8.75,9.088,52100,9.088,14.2372873508,1,2014
2014-03-11,9.05,9.3,9.0,9.25,42900,9.25,16.778382253,1,2014
2014-03-12,9.3,9.95,9.3,9.5,123300,9.5,20.6840267576,1,2014
2014-03-13,9.64,10.0,9.45,9.95,277300,9.95,27.297967478,1,2014
2014-03-14,10.0,10.38,9.38,10.2,1408600,10.2,30.7527017809,1,2014
2014-03-17,10.28,10.64,9.51,10.19,227700,10.19,30.689880329,1,2014
2014-03-18,9.84,10.19,9.57,10.0,101900,10.0,29.4585506355,1,2014
2014-03-19,10.19,10.19,9.75,10.02,35900,10.02,29.7779351324,1,2014
2014-03-20,10.09,10.1,9.85,10.03,58000,10.03,29.9487164021,1,2014
2014-03-21,10.0,10.0,9.8,9.96,36100,9.96,29.4095318059,1,2014
2014-03-24,10.0,10.0,9.33,9.58,45300,9.58,26.6088976202,1,2014
2014-03-25,9.89,9.89,8.5,8.95,156900,8.95,22.7421834522,1,2014
2014-03-26,9.19,9.95,7.2,8.63,121600,8.63,21.0675372465,1,2014
