Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2012-01-03,4.36,4.39,4.31,4.33,81800,4.33,,1,2012
2012-01-04,4.3,4.35,4.23,4.25,65700,4.25,,1,2012
2012-01-05,4.21,4.32,4.2,4.3,82000,4.3,,1,2012
2012-01-06,4.3,4.33,4.23,4.23,62500,4.23,,1,2012
2012-01-09,4.26,4.31,4.21,4.25,181900,4.25,,1,2012
2012-01-10,4.29,4.34,4.21,4.25,253200,4.25,,1,2012
2012-01-11,4.24,4.35,4.23,4.29,225700,4.29,,1,2012
2012-01-12,4.31,4.32,4.15,4.2,350800,4.2,,1,2012
2012-01-13,4.18,4.26,4.16,4.23,88900,4.23,,1,2012
2012-01-17,4.27,4.33,4.18,4.3,221600,4.3,,1,2012
2012-01-18,4.28,4.34,4.16,4.33,458700,4.33,,1,2012
2012-01-19,4.31,4.45,4.3,4.41,191400,4.41,,1,2012
2012-01-20,4.4,4.55,4.39,4.55,128100,4.55,,1,2012
2012-01-23,4.54,4.57,4.43,4.46,99800,4.46,,1,2012
2012-01-24,4.43,4.55,4.43,4.55,66100,4.55,62.5,1,2012
2012-01-25,4.55,4.66,4.51,4.56,150000,4.56,62.9533678756,1,2012
2012-01-26,4.59,4.66,4.5,4.65,78400,4.65,66.8391009633,1,2012
2012-01-27,4.64,4.75,4.64,4.75,130800,4.75,70.5369116607,1,2012
2012-01-30,4.73,4.82,4.73,4.73,86600,4.73,68.8825060428,1,2012
2012-01-31,4.76,4.8,4.73,4.79,134600,4.79,71.0743734003,1,2012
2012-02-01,4.82,5.0,4.81,4.98,238100,4.98,76.6768899751,1,2012
2012-02-02,5.0,5.12,4.98,5.05,126600,5.05,78.3413055512,1,2012
2012-02-03,5.15,5.15,4.95,4.99,255500,4.99,73.4996020352,1,2012
2012-02-06,4.96,5.17,4.96,5.07,136900,5.07,75.6596236448,1,2012
2012-02-07,5.09,5.15,5.01,5.1,191500,5.1,76.4353052103,1,2012
2012-02-08,5.11,5.25,5.1,5.14,223000,5.14,77.4664263124,1,2012
2012-02-09,5.18,5.2,5.07,5.1,123200,5.1,73.9802577731,1,2012
2012-02-10,5.06,5.15,5.06,5.1,94500,5.1,73.9802577731,1,2012
2012-02-13,5.15,5.16,5.05,5.11,280900,5.11,74.3153907743,1,2012
2012-02-14,5.1,5.2,5.05,5.1,249300,5.1,73.2986855019,1,2012
2012-02-15,5.1,5.13,4.8,4.82,283100,4.82,51.8916508541,1,2012
2012-02-16,4.82,4.96,4.8,4.87,117800,4.87,54.4499194035,1,2012
2012-02-17,4.89,4.96,4.8,4.96,135700,4.96,58.7065328748,1,2012
2012-02-21,4.98,5.04,4.8,4.8,133000,4.8,49.7972528937,1,2012
2012-02-22,4.82,4.89,4.76,4.8,154900,4.8,49.7972528937,1,2012
2012-02-23,4.79,4.86,4.77,4.84,99600,4.84,51.9131375613,1,2012
2012-02-24,4.84,4.84,4.77,4.8,68800,4.8,49.6591650976,1,2012
2012-02-27,4.76,4.83,4.7,4.81,85700,4.81,50.2408250865,1,2012
2012-02-28,4.82,4.82,4.69,4.77,99900,4.77,47.8587533665,1,2012
2012-02-29,4.77,4.85,4.69,4.69,166700,4.69,43.4242491983,1,2012
2012-03-01,4.72,4.75,4.52,4.52,250600,4.52,35.8272688054,1,2012
2012-03-02,4.37,4.59,4.37,4.5,471400,4.5,35.0503654531,1,2012
2012-03-05,4.5,4.62,4.5,4.58,147700,4.58,40.5990654661,1,2012
2012-03-06,4.55,4.9,4.55,4.88,352800,4.88,55.8360335072,1,2012
2012-03-07,4.89,5.11,4.86,5.11,317600,5.11,63.5546383526,1,2012
2012-03-08,5.12,5.28,5.06,5.22,165500,5.22,66.5643827432,1,2012
2012-03-09,5.23,5.35,5.22,5.29,175200,5.29,68.355311121,1,2012
2012-03-12,5.29,5.3,5.1,5.14,123600,5.14,60.8355473894,1,2012
2012-03-13,5.19,5.27,5.14,5.24,147300,5.24,63.7023871525,1,2012
2012-03-14,6.2,6.97,6.2,6.34,3659600,6.34,80.5597694961,1,2012
2012-03-15,6.34,6.35,5.95,6.22,995300,6.22,76.3917314831,1,2012
2012-03-16,6.0,6.19,5.91,6.19,437000,6.19,75.3422453439,1,2012
2012-03-19,6.2,6.55,6.2,6.45,398300,6.45,78.1446159693,1,2012
2012-03-20,6.42,6.43,6.3,6.37,161600,6.37,75.3085416651,1,2012
2012-03-21,6.39,6.48,6.3,6.35,241400,6.35,74.5798152055,1,2012
2012-03-22,6.28,6.34,6.15,6.21,191400,6.21,69.5093669208,1,2012
2012-03-23,6.23,6.34,6.22,6.25,206300,6.25,70.134132124,1,2012
2012-03-26,6.33,6.55,6.33,6.43,457200,6.43,72.831912865,1,2012
2012-03-27,6.44,6.52,6.38,6.39,299400,6.39,71.2907905436,1,2012
2012-03-28,6.4,6.48,6.31,6.38,510100,6.38,70.8869532739,1,2012
2012-03-29,6.32,6.5,6.32,6.44,349200,6.44,71.9149325773,1,2012
2012-03-30,6.43,6.58,6.29,6.31,770800,6.31,66.440881043,1,2012
2012-04-02,6.31,6.34,6.1,6.27,302500,6.27,64.8062930415,2,2012
2012-04-03,6.27,6.45,6.27,6.29,130800,6.29,65.2664194574,2,2012
2012-04-04,6.25,6.27,5.95,6.06,209700,6.06,56.1712865801,2,2012
2012-04-05,6.03,6.22,5.96,6.12,131100,6.12,57.8225182314,2,2012
2012-04-09,6.46,6.66,6.43,6.46,1113600,6.46,65.7069108247,2,2012
2012-04-10,6.54,6.72,6.37,6.45,607900,6.45,65.3201517201,2,2012
2012-04-11,6.54,6.6,6.45,6.53,369000,6.53,66.9939302033,2,2012
2012-04-12,6.55,6.63,6.5,6.52,241100,6.52,66.5614776726,2,2012
2012-04-13,6.5,6.61,6.45,6.49,316100,6.49,65.2017001903,2,2012
2012-04-16,6.56,6.69,6.45,6.49,583200,6.49,65.2017001903,2,2012
2012-04-17,6.56,6.59,6.33,6.34,467200,6.34,58.295782504,2,2012
2012-04-18,6.34,6.45,6.3,6.35,276900,6.35,58.6105181201,2,2012
2012-04-19,6.39,6.53,6.39,6.4,247200,6.4,60.2267786571,2,2012
2012-04-20,6.48,6.48,6.26,6.35,239000,6.35,57.7962232663,2,2012
2012-04-23,6.35,6.44,6.17,6.4,293900,6.4,59.5540482428,2,2012
2012-04-24,6.44,6.46,6.34,6.37,182000,6.37,57.9932817484,2,2012
2012-04-25,6.45,6.45,6.22,6.26,268300,6.26,52.5546017312,2,2012
2012-04-26,6.24,6.25,6.08,6.13,220300,6.13,46.9506684868,2,2012
2012-04-27,6.16,6.19,5.98,6.07,290200,6.07,44.5875350298,2,2012
2012-04-30,6.15,6.21,5.92,5.99,434500,5.99,41.5823002991,2,2012
2012-05-01,5.99,6.31,5.98,6.07,265000,6.07,45.5356220921,2,2012
2012-05-02,6.12,6.17,5.97,6.17,169000,6.17,50.082998464,2,2012
2012-05-03,6.17,6.2,6.01,6.03,297400,6.03,44.4833752525,2,2012
2012-05-04,6.0,6.07,5.81,5.82,355800,5.82,37.6782629311,2,2012
2012-05-07,5.8,5.82,5.68,5.71,537500,5.71,34.6850477726,2,2012
2012-05-08,5.66,5.82,5.64,5.8,397800,5.8,38.9578371414,2,2012
2012-05-09,5.76,5.97,5.75,5.91,444400,5.91,43.7972358618,2,2012
2012-05-10,5.95,6.04,5.35,5.9,680000,5.9,43.4599156462,2,2012
2012-05-11,5.84,5.92,5.68,5.9,314100,5.9,43.4599156462,2,2012
2012-05-14,5.86,5.87,5.75,5.81,409500,5.81,40.2260985226,2,2012
2012-05-15,5.85,5.95,5.78,5.92,350500,5.92,45.558149748,2,2012
2012-05-16,5.87,5.97,5.85,5.87,319000,5.87,43.6520343047,2,2012
2012-05-17,5.86,5.9,5.5,5.77,380300,5.77,40.0435076758,2,2012
2012-05-18,5.75,5.82,5.66,5.8,507400,5.8,41.6031352181,2,2012
2012-05-21,5.8,6.05,5.79,5.97,463100,5.97,49.6033031184,2,2012
