Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2012-01-03,8.68,8.82,8.51,8.71,227300,6.986757,,1,2012
2012-01-04,8.64,8.8,8.48,8.7,831000,6.978735,,1,2012
2012-01-05,8.62,8.8,8.53,8.72,277900,6.994778,,1,2012
2012-01-06,8.73,8.8,8.53,8.75,407500,7.018843,,1,2012
2012-01-09,8.76,8.79,8.48,8.59,215900,6.890498,,1,2012
2012-01-10,8.68,8.68,8.18,8.21,308200,6.58568,,1,2012
2012-01-11,8.21,8.34,8.17,8.17,279900,6.553594,,1,2012
2012-01-12,8.19,8.27,7.93,8.12,2383700,6.513486,,1,2012
2012-01-13,7.99,8.14,7.89,8.11,239500,6.505464,,1,2012
2012-01-17,8.19,8.19,7.97,8.03,265100,6.441292,,1,2012
2012-01-18,8.04,8.15,7.96,8.08,283300,6.4814,,1,2012
2012-01-19,8.11,8.16,8.01,8.12,182500,6.513486,,1,2012
2012-01-20,8.14,8.24,8.1,8.14,255400,6.52953,,1,2012
2012-01-23,8.15,8.21,8.01,8.09,236700,6.489422,,1,2012
2012-01-24,8.06,8.2,8.03,8.16,282800,6.545572,22.7723077797,1,2012
2012-01-25,8.17,8.31,8.06,8.23,224100,6.601723,28.1361126978,1,2012
2012-01-26,8.26,8.34,8.18,8.27,323500,6.63381,31.0818227861,1,2012
2012-01-27,8.25,8.44,8.23,8.28,287800,6.641831,31.8340188766,1,2012
2012-01-30,8.18,8.33,8.13,8.25,245800,6.617766,30.7496440782,1,2012
2012-01-31,8.31,8.37,8.19,8.29,181800,6.649852,33.9787768971,1,2012
2012-02-01,8.35,8.66,8.28,8.36,332700,6.706003,39.3120403167,1,2012
2012-02-02,8.4,8.45,8.28,8.45,240700,6.778197,45.4171563207,1,2012
2012-02-03,8.59,8.69,8.44,8.6,260600,6.89852,53.7653283699,1,2012
2012-02-06,8.6,8.6,8.4,8.52,174000,6.834348,49.4237050731,1,2012
2012-02-07,8.5,8.58,8.39,8.48,167000,6.802261,47.3641754617,1,2012
2012-02-08,8.53,8.6,8.39,8.54,165800,6.850391,50.683834454,1,2012
2012-02-09,8.57,8.57,8.43,8.48,144700,6.802261,47.4603355221,1,2012
2012-02-10,8.38,8.48,8.29,8.4,132600,6.738089,43.4888717592,1,2012
2012-02-13,8.5,8.53,8.28,8.42,197300,6.754132,44.7339675917,1,2012
2012-02-14,8.4,8.4,8.27,8.33,179400,6.681938,40.4183084116,1,2012
2012-02-15,8.35,8.36,7.93,7.96,398300,6.385142,28.3215626154,1,2012
2012-02-16,7.71,8.01,7.45,8.0,430400,6.417228,30.7350560784,1,2012
2012-02-17,8.0,8.0,7.74,7.89,234500,6.328991,27.9481023333,1,2012
2012-02-21,7.87,7.97,7.74,7.82,226800,6.27284,26.3129552551,1,2012
2012-02-22,7.82,8.05,7.8,7.97,239200,6.393163,35.0783216853,1,2012
2012-02-23,7.97,8.19,7.92,8.15,276700,6.53755,43.7286121056,1,2012
2012-02-24,8.31,8.87,8.31,8.39,584300,6.730068,52.7656626067,1,2012
2012-02-27,8.37,8.47,8.16,8.4,290700,6.738089,53.103587791,1,2012
2012-02-28,8.41,8.54,8.37,8.43,291900,6.762154,54.1631334728,1,2012
2012-02-29,8.48,8.62,8.36,8.42,420000,6.754132,53.7273637285,1,2012
2012-03-01,8.44,8.52,8.29,8.4,245000,6.738089,52.8122489616,1,2012
2012-03-02,8.4,8.44,8.28,8.31,309600,6.665896,48.7854106968,1,2012
2012-03-05,8.29,8.37,8.18,8.35,116000,6.697982,50.5886822602,1,2012
2012-03-06,8.23,8.27,8.1,8.11,212900,6.505464,41.2123099671,1,2012
2012-03-07,8.18,8.24,8.08,8.15,292700,6.53755,43.1050211049,1,2012
2012-03-08,8.19,8.51,8.15,8.48,243400,6.802261,55.7598352354,1,2012
2012-03-09,8.47,8.88,8.46,8.79,353300,7.050929,63.8860671485,1,2012
2012-03-12,8.77,8.77,8.5,8.64,248800,6.930606,58.3052995064,1,2012
2012-03-13,8.69,8.72,8.48,8.56,205600,6.866434,55.5197132673,1,2012
2012-03-14,8.56,8.58,8.35,8.36,273700,6.706003,49.1922108675,1,2012
2012-03-15,8.43,8.46,8.28,8.36,202900,6.706003,49.1922108675,1,2012
2012-03-16,8.37,8.41,8.21,8.27,471300,6.63381,46.4305814997,1,2012
2012-03-19,8.27,8.43,8.2,8.37,217300,6.714024,49.8026006761,1,2012
