Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2012-01-03,2.9,2.97,2.89,2.96,232100,2.96,,1,2012
2012-01-04,2.93,2.97,2.81,2.95,149900,2.95,,1,2012
2012-01-05,2.92,2.99,2.9,2.99,155000,2.99,,1,2012
2012-01-06,2.99,3.05,2.94,3.03,245300,3.03,,1,2012
2012-01-09,3.04,3.22,3.01,3.02,418400,3.02,,1,2012
2012-01-10,3.07,3.29,3.06,3.15,614300,3.15,,1,2012
2012-01-11,3.16,3.32,3.1,3.3,392300,3.3,,1,2012
2012-01-12,3.3,3.34,3.18,3.3,210800,3.3,,1,2012
2012-01-13,3.25,3.35,3.2,3.27,223600,3.27,,1,2012
2012-01-17,3.32,3.37,3.19,3.22,253200,3.22,,1,2012
2012-01-18,3.22,3.36,3.19,3.31,161500,3.31,,1,2012
2012-01-19,3.32,3.32,3.18,3.22,224100,3.22,,1,2012
2012-01-20,3.22,3.25,3.13,3.2,87400,3.2,,1,2012
2012-01-23,3.18,3.18,3.04,3.14,219300,3.14,,1,2012
2012-01-24,3.1,3.19,3.0,3.07,194100,3.07,56.9620253165,1,2012
2012-01-25,3.07,3.15,3.0,3.12,174600,3.12,59.708295351,1,2012
2012-01-26,3.15,3.26,3.13,3.25,241400,3.25,65.8159319412,1,2012
2012-01-27,3.25,3.36,3.2,3.3,274400,3.3,67.8354439646,1,2012
2012-01-30,3.28,3.36,3.2,3.3,121200,3.3,67.8354439646,1,2012
2012-01-31,3.33,3.54,3.23,3.45,337200,3.45,73.3195565682,1,2012
2012-02-01,3.65,4.5,3.57,4.19,1624700,4.19,86.0007283734,1,2012
2012-02-02,4.23,4.58,4.11,4.44,802000,4.44,88.0646551567,1,2012
2012-02-03,4.5,4.82,4.46,4.55,685500,4.55,88.8440084638,1,2012
2012-02-06,4.55,4.62,4.45,4.54,495000,4.54,88.2796539131,1,2012
2012-02-07,4.52,4.55,4.33,4.5,644700,4.5,85.9283696718,1,2012
2012-02-08,4.47,4.81,4.28,4.78,1047200,4.78,88.2812891869,1,2012
2012-02-09,4.83,4.83,4.31,4.32,482700,4.32,68.1270387729,1,2012
2012-02-10,4.27,4.36,4.18,4.24,343800,4.24,65.3335244067,1,2012
2012-02-13,4.32,4.45,4.29,4.42,350900,4.42,68.4665903197,1,2012
2012-02-14,4.36,4.4,4.23,4.27,231500,4.27,63.330023662,1,2012
2012-02-15,4.28,4.35,4.18,4.2,282900,4.2,61.0289956008,1,2012
2012-02-16,4.21,4.28,4.11,4.2,225400,4.2,61.0289956008,1,2012
2012-02-17,4.23,5.36,4.21,5.33,1260600,5.33,76.8062841228,1,2012
2012-02-21,5.35,5.54,5.03,5.46,1029500,5.46,77.9140705538,1,2012
2012-02-22,5.49,5.89,5.32,5.67,1017900,5.67,79.6083992046,1,2012
2012-02-23,5.65,5.65,5.41,5.59,1137000,5.59,77.1793383186,1,2012
2012-02-24,5.62,5.7,5.51,5.52,310400,5.52,75.022277017,1,2012
2012-02-27,5.45,5.63,5.38,5.51,411400,5.51,74.7010774538,1,2012
2012-02-28,5.51,5.83,5.5,5.53,388400,5.53,74.932238651,1,2012
2012-02-29,5.55,5.67,5.27,5.27,464100,5.27,66.433957939,1,2012
2012-03-01,5.3,5.45,5.24,5.26,454400,5.26,66.1233386126,1,2012
2012-03-02,5.26,5.39,5.07,5.12,485100,5.12,61.7690052719,1,2012
2012-03-05,5.11,5.15,4.93,5.03,369000,5.03,59.0757631548,1,2012
2012-03-06,4.97,4.98,4.76,4.8,395100,4.8,52.7463009855,1,2012
2012-03-07,4.81,4.99,4.8,4.96,271500,4.96,56.2573686742,1,2012
2012-03-08,5.0,5.24,4.92,5.0,466900,5.0,57.115257266,1,2012
2012-03-09,5.04,5.04,4.87,4.95,520500,4.95,55.6461424197,1,2012
2012-03-12,4.94,4.99,4.72,4.8,228300,4.8,51.3766583115,1,2012
2012-03-13,4.87,4.87,4.63,4.81,294200,4.81,51.6430329155,1,2012
2012-03-14,4.8,4.82,4.64,4.73,376100,4.73,49.3154473171,1,2012
2012-03-15,4.73,4.75,4.61,4.73,248700,4.73,49.3154473171,1,2012
2012-03-16,4.72,4.74,4.58,4.6,313800,4.6,45.4545027625,1,2012
2012-03-19,4.59,4.92,4.55,4.72,446900,4.72,49.393111175,1,2012
2012-03-20,4.69,4.77,4.59,4.63,123500,4.63,46.6711711909,1,2012
2012-03-21,4.66,4.8,4.64,4.72,171200,4.72,49.6587595524,1,2012
2012-03-22,4.7,4.73,4.5,4.57,339600,4.57,45.1216703841,1,2012
2012-03-23,4.59,4.76,4.51,4.74,207600,4.74,50.6273419683,1,2012
2012-03-26,4.82,5.14,4.8,5.01,515200,5.01,57.8586574875,1,2012
2012-03-27,5.04,5.4,5.01,5.25,460900,5.25,63.0405506609,1,2012
2012-03-28,5.25,5.38,4.83,4.9,305200,4.9,52.8368345755,1,2012
2012-03-29,4.86,4.98,4.75,4.95,175600,4.95,53.982732256,1,2012
2012-03-30,5.01,5.01,4.8,4.9,263500,4.9,52.6062675892,1,2012
2012-04-02,4.9,5.19,4.82,5.13,384500,5.13,57.9213990725,2,2012
2012-04-03,5.12,5.15,4.94,4.99,175100,4.99,53.954887084,2,2012
2012-04-04,4.92,4.96,4.55,4.64,279200,4.64,45.5557018098,2,2012
2012-04-05,4.63,4.71,4.55,4.64,101500,4.64,45.5557018098,2,2012
2012-04-09,4.56,4.61,4.48,4.5,196700,4.5,42.4874144266,2,2012
2012-04-10,4.51,4.51,4.14,4.19,403100,4.19,36.6078417894,2,2012
2012-04-11,4.25,4.3,4.11,4.3,243900,4.3,39.7917263069,2,2012
2012-04-12,4.3,4.52,4.3,4.51,201000,4.51,45.4269515112,2,2012
2012-04-13,4.47,4.47,4.25,4.31,180100,4.31,41.4481218915,2,2012
2012-04-16,4.34,4.39,4.13,4.3,137100,4.3,41.2535599602,2,2012
2012-04-17,4.32,4.54,4.3,4.51,268800,4.51,46.8915067204,2,2012
2012-04-18,4.46,4.49,4.37,4.4,170800,4.4,44.4832961907,2,2012
2012-04-19,4.42,4.61,4.33,4.5,245500,4.5,47.1410269504,2,2012
2012-04-20,4.57,4.57,4.41,4.53,214500,4.53,47.946120506,2,2012
2012-04-23,4.42,4.49,4.32,4.42,146200,4.42,45.2260958448,2,2012
2012-04-24,4.42,4.48,4.34,4.48,107200,4.48,46.9925388184,2,2012
2012-04-25,4.55,4.73,4.53,4.67,181300,4.67,52.2446617593,2,2012
2012-04-26,4.68,4.9,4.59,4.82,199600,4.82,55.9550262613,2,2012
2012-04-27,4.8,4.87,4.71,4.82,120500,4.82,55.9550262613,2,2012
2012-04-30,4.83,4.83,4.61,4.65,200000,4.65,50.7702395808,2,2012
2012-05-01,4.63,4.79,4.56,4.56,217000,4.56,48.2226964177,2,2012
2012-05-02,4.52,4.58,4.36,4.46,258600,4.46,45.4913111278,2,2012
2012-05-03,4.4,4.47,4.28,4.35,260900,4.35,42.63086984,2,2012
2012-05-04,4.3,4.33,4.12,4.13,234100,4.13,37.5459680506,2,2012
2012-05-07,4.09,4.32,4.01,4.22,151000,4.22,40.66400404,2,2012
2012-05-08,4.16,4.35,4.05,4.34,223800,4.34,44.6331227835,2,2012
2012-05-09,4.25,4.28,4.13,4.2,153000,4.2,41.1727917768,2,2012
2012-05-10,4.25,4.37,4.21,4.36,205000,4.36,46.297094564,2,2012
2012-05-11,4.31,4.52,4.28,4.41,184300,4.41,47.826563612,2,2012
2012-05-14,4.32,4.37,4.2,4.35,169400,4.35,46.1287857655,2,2012
2012-05-15,4.3,4.41,4.25,4.39,257000,4.39,47.4676361656,2,2012
2012-05-16,4.41,4.52,4.34,4.48,258000,4.48,50.4514611214,2,2012
2012-05-17,4.49,4.56,4.36,4.5,637000,4.5,51.1159470279,2,2012
2012-05-18,4.49,4.5,4.3,4.35,501200,4.35,46.1202870585,2,2012
2012-05-21,4.35,4.66,4.28,4.65,242200,4.65,55.4896871546,2,2012
2012-05-22,4.65,4.73,4.35,4.43,173000,4.43,48.7893364796,2,2012
2012-05-23,4.36,4.53,4.31,4.51,178000,4.51,51.101572382,2,2012
2012-05-24,4.5,4.53,4.31,4.52,172200,4.52,51.3969854077,2,2012
2012-05-25,4.5,4.62,4.39,4.61,147200,4.61,54.085496496,2,2012
2012-05-29,4.66,4.66,4.44,4.6,168800,4.6,53.7298598494,2,2012
2012-05-30,4.5,4.55,4.41,4.43,190400,4.43,47.9567593401,2,2012
2012-05-31,4.43,4.5,4.25,4.44,404400,4.44,48.3086011595,2,2012
2012-06-01,4.31,4.37,4.04,4.24,482800,4.24,42.1683712607,2,2012
2012-06-04,4.09,4.27,4.09,4.19,299000,4.19,40.7731001695,2,2012
2012-06-05,4.15,4.39,4.14,4.37,167600,4.37,47.5069133575,2,2012
2012-06-06,4.4,4.46,4.34,4.44,141700,4.44,49.8928136911,2,2012
2012-06-07,4.53,4.54,4.31,4.35,235500,4.35,46.9388075574,2,2012
2012-06-08,4.33,4.55,4.25,4.49,190400,4.49,51.726762272,2,2012
2012-06-11,4.5,4.52,4.33,4.41,195900,4.41,49.0055350999,2,2012
2012-06-12,4.42,4.55,4.3,4.54,101000,4.54,53.3044880609,2,2012
2012-06-13,4.51,4.75,4.5,4.59,216900,4.59,54.8799943282,2,2012
2012-06-14,4.58,4.74,4.45,4.73,162700,4.73,59.0465588224,2,2012
2012-06-15,4.75,5.1,4.74,5.07,509600,5.07,67.0133397536,2,2012
2012-06-18,5.06,5.47,4.91,5.46,415500,5.46,73.4043967921,2,2012
2012-06-19,5.47,5.78,5.4,5.58,431600,5.58,75.0088321352,2,2012
2012-06-20,5.54,5.54,5.12,5.3,315200,5.3,65.1349502101,2,2012
2012-06-21,5.26,5.29,4.98,5.03,304700,5.03,57.3018356736,2,2012
2012-06-22,5.07,5.35,5.06,5.29,420600,5.29,62.036419637,2,2012
2012-06-25,5.18,5.25,5.07,5.12,131900,5.12,57.5434952181,2,2012
2012-06-26,5.12,5.23,5.08,5.12,151100,5.12,57.5434952181,2,2012
2012-06-27,5.15,5.48,5.15,5.46,232900,5.46,63.6499213161,2,2012
2012-06-28,5.38,5.45,5.17,5.28,240500,5.28,58.8261001709,2,2012
2012-06-29,5.45,5.6,5.41,5.52,281800,5.52,62.8669890797,2,2012
2012-07-02,5.2,5.48,5.18,5.48,378100,5.48,61.7787422695,3,2012
2012-07-03,5.46,5.62,5.32,5.6,115000,5.6,63.8030770344,3,2012
2012-07-05,5.58,5.6,5.46,5.54,196300,5.54,62.0339402421,3,2012
2012-07-06,5.45,5.56,5.37,5.5,200500,5.5,60.8231138872,3,2012
2012-07-09,5.46,5.7,5.43,5.68,168100,5.68,64.2086523079,3,2012
2012-07-10,5.74,5.88,5.32,5.37,359300,5.37,55.3390630854,3,2012
2012-07-11,5.36,5.37,5.1,5.28,396900,5.28,53.0479624854,3,2012
2012-07-12,5.21,5.26,5.01,5.14,329200,5.14,49.6074030926,3,2012
2012-07-13,5.16,5.29,5.14,5.17,235000,5.17,50.3505129459,3,2012
2012-07-16,5.12,5.28,5.07,5.12,167100,5.12,49.0522034483,3,2012
2012-07-17,5.17,5.22,5.0,5.13,138400,5.13,49.3335937434,3,2012
2012-07-18,5.12,5.3,5.06,5.25,138200,5.25,52.7090151254,3,2012
2012-07-19,5.3,5.3,5.04,5.12,145200,5.12,48.9077158243,3,2012
2012-07-20,5.06,5.06,4.84,4.98,238800,4.98,45.1327876728,3,2012
2012-07-23,4.81,5.0,4.77,4.9,263200,4.9,43.0862639543,3,2012
2012-07-24,4.94,4.96,4.85,4.92,257500,4.92,43.7726944785,3,2012
2012-07-25,4.98,4.99,4.91,4.95,160500,4.95,44.8472348227,3,2012
2012-07-26,4.99,5.43,4.99,5.4,322400,5.4,57.8571690815,3,2012
2012-07-27,5.41,5.87,5.34,5.85,529500,5.85,66.3941980889,3,2012
2012-07-30,5.83,5.89,5.36,5.37,273900,5.37,53.8607900729,3,2012
2012-07-31,5.35,5.57,5.23,5.26,278400,5.26,51.4632156407,3,2012
2012-08-01,5.28,5.35,4.94,4.94,320000,4.94,45.1646710674,3,2012
2012-08-02,4.9,5.1,4.85,5.08,173900,5.08,48.1543096539,3,2012
2012-08-03,5.18,5.43,5.16,5.21,199300,5.21,50.8348105352,3,2012
2012-08-06,5.2,5.32,5.03,5.04,124300,5.04,47.3847098395,3,2012
2012-08-07,5.12,5.14,4.99,5.06,231200,5.06,47.8332794572,3,2012
2012-08-08,5.03,5.08,5.0,5.05,99500,5.05,47.6146978547,3,2012
2012-08-09,5.05,5.15,5.0,5.14,102400,5.14,49.8364661478,3,2012
2012-08-10,5.12,5.18,5.0,5.06,134200,5.06,47.8920685844,3,2012
2012-08-13,5.03,5.13,4.9,5.12,112700,5.12,49.4839586968,3,2012
2012-08-14,5.15,5.21,5.05,5.16,163200,5.16,50.5681588475,3,2012
2012-08-15,5.12,5.44,5.0,5.43,166800,5.43,57.2394765451,3,2012
2012-08-16,5.4,5.48,5.29,5.47,133000,5.47,58.1407918696,3,2012
2012-08-17,5.45,5.5,5.32,5.49,142700,5.49,58.6105540425,3,2012
2012-08-20,5.44,5.44,5.22,5.25,168100,5.25,51.1869885611,3,2012
2012-08-21,5.28,5.42,5.23,5.28,207600,5.28,52.0053112504,3,2012
2012-08-22,5.28,5.35,5.2,5.32,149200,5.32,53.1334826701,3,2012
2012-08-23,5.29,5.29,5.13,5.15,229500,5.15,47.9723339291,3,2012
2012-08-24,5.12,5.29,5.09,5.27,56900,5.27,51.5499162252,3,2012
2012-08-27,5.29,5.3,5.1,5.24,235000,5.24,50.6129125159,3,2012
2012-08-28,5.2,5.31,5.2,5.3,298000,5.3,52.4735567415,3,2012
2012-08-29,5.3,5.42,5.28,5.4,94800,5.4,55.4837990244,3,2012
2012-08-30,5.36,5.37,5.25,5.27,171600,5.27,50.9645873332,3,2012
2012-08-31,5.34,5.43,5.26,5.37,147200,5.37,54.0640775397,3,2012
2012-09-04,5.36,5.58,5.2,5.52,305900,5.52,58.3199144606,3,2012
2012-09-05,5.49,5.64,5.33,5.56,240700,5.56,59.4001304215,3,2012
2012-09-06,5.62,5.82,5.57,5.8,257300,5.8,65.2238381432,3,2012
2012-09-07,5.8,5.88,5.73,5.84,251100,5.84,66.0967094484,3,2012
2012-09-10,5.85,6.43,5.75,6.21,701600,6.21,72.8780542545,3,2012
2012-09-11,6.23,6.25,5.72,5.84,379300,5.84,59.9618798923,3,2012
2012-09-12,5.85,6.2,5.79,6.11,287600,6.11,64.8565976892,3,2012
2012-09-13,6.12,6.4,6.07,6.24,383600,6.24,66.9515282514,3,2012
2012-09-14,6.29,6.56,6.2,6.46,463000,6.46,70.1900787206,3,2012
2012-09-17,6.45,6.55,6.24,6.4,290800,6.4,68.2264238946,3,2012
2012-09-18,6.4,6.49,6.38,6.49,172600,6.49,69.6002609251,3,2012
2012-09-19,6.5,6.6,6.34,6.49,194100,6.49,69.6002609251,3,2012
2012-09-20,6.43,6.5,6.25,6.45,179900,6.45,68.0828825018,3,2012
2012-09-21,6.54,6.8,6.36,6.37,480600,6.37,65.0293192313,3,2012
2012-09-24,6.35,6.63,6.34,6.43,324300,6.43,66.2518638754,3,2012
2012-09-25,6.46,6.48,6.1,6.15,271700,6.15,56.3513753424,3,2012
2012-09-26,6.18,6.25,6.05,6.08,170300,6.08,54.1718743132,3,2012
2012-09-27,6.09,6.12,5.9,6.0,308900,6.0,51.7103362785,3,2012
2012-09-28,5.96,6.14,5.91,6.08,197400,6.08,53.9631385728,3,2012
2012-10-01,6.15,6.28,6.12,6.17,164400,6.17,56.4259654148,4,2012
2012-10-02,6.21,6.29,6.06,6.14,129600,6.14,55.3627788503,4,2012
2012-10-03,6.17,6.17,6.06,6.09,98500,6.09,53.5517007356,4,2012
2012-10-04,6.14,6.15,6.01,6.11,153200,6.11,54.1971417466,4,2012
2012-10-05,6.17,6.53,6.14,6.35,369800,6.35,61.1701255422,4,2012
2012-10-08,6.28,6.38,6.23,6.26,164800,6.26,57.6271422059,4,2012
2012-10-09,6.25,6.26,5.92,5.94,312800,5.94,47.1665553402,4,2012
2012-10-10,5.97,5.99,5.76,5.78,171200,5.78,42.9668645333,4,2012
2012-10-11,5.83,5.93,5.73,5.83,115200,5.83,44.6261554647,4,2012
2012-10-12,5.84,5.93,5.63,5.63,140000,5.63,39.6562145894,4,2012
2012-10-15,5.64,5.89,5.6,5.86,142000,5.86,46.9703505358,4,2012
2012-10-16,5.9,5.96,5.76,5.86,119300,5.86,46.9703505358,4,2012
2012-10-17,6.0,6.21,5.85,6.11,262400,6.11,53.9991039669,4,2012
2012-10-18,6.11,6.11,5.91,5.99,129600,5.99,50.5365909463,4,2012
2012-10-19,5.91,5.97,5.76,5.77,686300,5.77,44.8576483126,4,2012
2012-10-22,5.76,5.87,5.7,5.77,216500,5.77,44.8576483126,4,2012
2012-10-23,5.66,5.7,5.5,5.68,189100,5.68,42.5871096542,4,2012
2012-10-24,5.71,5.74,5.55,5.68,124100,5.68,42.5871096542,4,2012
2012-10-25,5.8,6.09,5.7,5.93,146100,5.93,50.6365353953,4,2012
2012-10-26,5.91,5.96,5.55,5.61,172000,5.61,42.4353294436,4,2012
2012-10-31,5.6,5.66,5.3,5.56,295000,5.56,41.3095106484,4,2012
2012-11-01,5.51,5.58,5.39,5.49,245100,5.49,39.7207056727,4,2012
2012-11-02,5.54,5.54,5.19,5.3,198400,5.3,35.706429814,4,2012
2012-11-05,5.29,5.46,5.18,5.35,127300,5.35,37.4966026737,4,2012
2012-11-06,5.41,5.5,5.18,5.3,113100,5.3,36.404979125,4,2012
2012-11-07,5.21,5.37,5.03,5.26,217300,5.26,35.51422471,4,2012
2012-11-08,5.26,5.33,5.12,5.24,191000,5.24,35.0524078951,4,2012
2012-11-09,5.19,5.34,5.08,5.1,200800,5.1,31.9230547901,4,2012
2012-11-12,5.14,5.23,5.04,5.15,90700,5.15,34.1830177995,4,2012
2012-11-13,5.12,5.2,5.07,5.15,108600,5.15,34.1830177995,4,2012
2012-11-14,5.17,5.2,5.0,5.05,214500,5.05,31.7390548201,4,2012
2012-11-15,5.05,5.15,4.92,5.08,148000,5.08,33.2802046597,4,2012
2012-11-16,5.06,5.19,5.0,5.12,642100,5.12,35.3752567178,4,2012
2012-11-19,5.13,5.24,5.08,5.23,264900,5.23,40.8736819718,4,2012
2012-11-20,5.2,5.28,5.11,5.22,107500,5.22,40.5360273666,4,2012
2012-11-21,5.23,5.3,5.12,5.23,54900,5.23,41.0603769811,4,2012
2012-11-23,5.26,5.37,5.19,5.36,74000,5.36,47.536994306,4,2012
2012-11-26,5.35,5.49,5.31,5.47,123000,5.47,52.312101089,4,2012
2012-11-27,5.42,5.72,5.42,5.63,300900,5.63,58.2627668306,4,2012
2012-11-28,5.61,5.7,5.46,5.7,122900,5.7,60.580337622,4,2012
2012-11-29,5.76,5.85,5.69,5.74,197400,5.74,61.8828341946,4,2012
2012-11-30,5.77,5.82,5.62,5.73,293200,5.73,61.3371866151,4,2012
2012-12-03,5.71,5.72,5.4,5.46,237300,5.46,48.8204236385,4,2012
2012-12-04,5.47,5.61,5.32,5.41,85000,5.41,46.9112893853,4,2012
2012-12-05,5.46,5.53,5.29,5.42,138700,5.42,47.3547031635,4,2012
2012-12-06,5.45,5.62,5.38,5.41,110900,5.41,46.9325540529,4,2012
2012-12-07,5.48,5.99,5.48,5.93,551100,5.93,64.603264148,4,2012
2012-12-10,6.0,6.06,5.89,6.06,314700,6.06,67.5155009242,4,2012
2012-12-11,6.08,6.24,5.98,6.08,269700,6.08,67.9523495647,4,2012
2012-12-12,6.08,6.12,5.92,5.94,226100,5.94,61.6976538386,4,2012
2012-12-13,5.93,6.08,5.74,5.91,211400,5.91,60.4143782807,4,2012
2012-12-14,5.88,6.03,5.82,5.98,330200,5.98,62.3805660841,4,2012
2012-12-17,6.01,6.11,5.93,6.09,164900,6.09,65.2975063742,4,2012
2012-12-18,6.09,6.12,5.99,6.11,199100,6.11,65.8164903244,4,2012
2012-12-19,6.08,6.32,6.0,6.26,328900,6.26,69.5005843787,4,2012
2012-12-20,6.14,6.23,6.06,6.16,218300,6.16,64.5091133386,4,2012
2012-12-21,6.1,6.1,5.76,5.89,524700,5.89,53.3650097553,4,2012
2012-12-24,5.91,6.03,5.77,6.01,107300,6.01,56.9265351154,4,2012
2012-12-26,6.01,6.01,5.83,5.85,162800,5.85,51.3008883832,4,2012
2012-12-27,5.85,6.05,5.62,6.04,295400,6.04,56.7649096208,4,2012
2012-12-28,5.97,6.08,5.95,5.96,242900,5.96,54.0167565886,4,2012
2012-12-31,5.93,6.05,5.82,6.01,312700,6.01,55.4678628009,4,2012
2013-01-02,6.05,6.23,6.03,6.15,358900,6.15,59.3372245451,1,2013
2013-01-03,6.15,6.39,6.06,6.33,219300,6.33,63.7039358614,1,2013
2013-01-04,6.66,6.93,6.52,6.65,982700,6.65,69.893734335,1,2013
2013-01-07,6.62,6.81,6.35,6.47,248500,6.47,63.3493834247,1,2013
2013-01-08,6.47,6.65,6.45,6.65,160000,6.65,66.7065424657,1,2013
2013-01-09,6.71,6.84,6.57,6.82,552100,6.82,69.543971453,1,2013
2013-01-10,6.76,7.05,6.75,6.9,874700,6.9,70.8049315648,1,2013
2013-01-11,6.9,7.02,6.85,6.98,501800,6.98,72.0511020173,1,2013
2013-01-14,6.98,8.25,6.95,8.2,1861600,8.2,83.5692065442,1,2013
2013-01-15,8.15,8.82,8.05,8.77,1355500,8.77,86.3910916358,1,2013
2013-01-16,8.69,8.8,8.3,8.6,960500,8.6,81.8747230122,1,2013
2013-01-17,8.68,9.13,8.6,9.03,930800,9.03,84.1341029554,1,2013
2013-01-18,9.0,9.1,8.83,9.02,826700,9.02,83.8722610241,1,2013
2013-01-22,9.05,9.65,9.0,9.56,1460000,9.56,86.3438384312,1,2013
2013-01-23,9.54,10.05,9.5,9.81,1036200,9.81,87.3131957674,1,2013
2013-01-24,9.86,10.0,9.14,9.56,1292800,9.56,81.1126684191,1,2013
2013-01-25,9.6,10.05,9.54,9.79,607800,9.79,82.3542129141,1,2013
2013-01-28,9.85,9.9,9.52,9.74,550900,9.74,81.1060485506,1,2013
2013-01-29,9.71,9.74,9.4,9.56,742300,9.56,76.6048378783,1,2013
2013-01-30,9.55,9.6,9.31,9.54,654000,9.54,76.0994789375,1,2013
2013-01-31,9.55,9.65,9.4,9.57,411900,9.57,76.3514922252,1,2013
2013-02-01,9.62,9.79,9.46,9.55,315300,9.55,75.7778360219,1,2013
2013-02-04,9.46,9.48,9.21,9.24,370900,9.24,67.3332195984,1,2013
2013-02-05,9.29,9.51,9.13,9.37,384600,9.37,68.898476865,1,2013
2013-02-06,9.3,9.45,9.24,9.42,284400,9.42,69.5037305567,1,2013
2013-02-07,9.07,9.16,7.92,8.66,1698700,8.66,52.7120557779,1,2013
2013-02-08,8.56,9.01,8.4,8.81,574800,8.81,55.0217313588,1,2013
2013-02-11,8.82,9.16,8.82,9.05,395700,9.05,58.5132519573,1,2013
2013-02-12,9.04,9.22,9.03,9.04,400000,9.04,58.3101428387,1,2013
2013-02-13,9.05,9.1,8.6,8.7,614900,8.7,51.7347575628,1,2013
2013-02-14,8.7,8.87,8.65,8.82,452000,8.82,53.7184397933,1,2013
2013-02-15,8.88,8.88,8.47,8.56,573200,8.56,49.0176889966,1,2013
2013-02-19,8.74,9.12,8.56,8.99,525100,8.99,55.8921618476,1,2013
2013-02-20,9.0,9.12,8.88,9.05,488200,9.05,56.7681360613,1,2013
2013-02-21,9.0,9.0,8.6,8.82,440900,8.82,52.4666350422,1,2013
2013-02-22,8.88,9.0,8.7,9.0,509400,9.0,55.3200036371,1,2013
2013-02-25,9.0,9.35,8.62,8.65,580400,8.65,49.1427049958,1,2013
2013-02-26,8.67,8.82,8.58,8.77,339500,8.77,51.1565258319,1,2013
2013-02-27,8.73,9.64,8.7,9.31,1264500,9.31,59.020338158,1,2013
2013-02-28,9.67,10.6,9.6,10.19,1953200,10.19,68.0483720277,1,2013
2013-03-01,10.0,10.34,9.7,10.33,875800,10.33,69.2105091227,1,2013
2013-03-04,10.32,11.09,10.28,10.8,1598500,10.8,72.7887339682,1,2013
2013-03-05,10.9,11.24,10.47,10.59,1068600,10.59,68.9339133488,1,2013
