Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2014-06-18,9.25,9.99,8.54,9.09,521500,9.09,,2,2014
2014-06-19,8.78,8.83,8.17,8.45,55300,8.45,,2,2014
2014-06-20,8.41,8.41,7.55,8.36,56900,8.36,,2,2014
2014-06-23,8.2,8.2,7.76,7.84,6500,7.84,,2,2014
2014-06-24,7.85,8.05,7.72,7.9,4500,7.9,,2,2014
2014-06-25,7.8,7.8,7.45,7.45,6300,7.45,,2,2014
2014-06-26,7.37,7.46,7.1,7.3,10700,7.3,,2,2014
2014-06-27,7.21,7.5,7.1,7.171,4700,7.171,,2,2014
2014-06-30,7.21,7.6,7.05,7.05,12500,7.05,,2,2014
2014-07-01,7.03,7.42,6.6,6.618,7500,6.618,,3,2014
2014-07-02,6.65,7.35,6.65,7.01,11700,7.01,,3,2014
2014-07-03,7.405,7.405,7.39,7.39,1500,7.39,,3,2014
2014-07-07,7.35,7.35,6.94,6.94,3100,6.94,,3,2014
2014-07-08,7.08,7.1,6.02,6.3,25800,6.3,,3,2014
2014-07-09,6.23,6.23,6.02,6.04,4900,6.04,17.6495545185,3,2014
2014-07-10,6.2,6.2,5.64,5.901,6300,5.901,17.1063452901,3,2014
2014-07-11,6.69,6.69,5.75,5.92,12400,5.92,17.4802104427,3,2014
2014-07-14,5.92,5.92,5.09,5.32,28600,5.32,15.1556047231,3,2014
2014-07-15,5.28,5.85,5.17,5.72,22200,5.72,22.5502304815,3,2014
2014-07-16,5.74,5.756,5.15,5.59,12900,5.59,21.8827135883,3,2014
2014-07-17,5.55,5.628,5.55,5.6,6600,5.6,22.0738027655,3,2014
2014-07-18,5.6,5.6,5.6,5.6,900,5.6,22.0738027655,3,2014
2014-07-21,5.63,5.63,5.58,5.6,6100,5.6,22.0738027655,3,2014
2014-07-22,5.622,5.65,5.55,5.6,5500,5.6,22.0738027655,3,2014
2014-07-23,5.6,6.74,5.49,6.43,152000,6.43,38.7897176331,3,2014
2014-07-24,6.6,9.05,6.27,6.37,715600,6.37,38.1525869803,3,2014
2014-07-25,6.06,6.35,5.85,6.02,31900,6.02,34.584057391,3,2014
2014-07-28,6.38,6.38,5.61,6.13,10200,6.13,36.5914058083,3,2014
2014-07-29,5.781,6.44,5.781,6.298,10700,6.298,39.6379295305,3,2014
2014-07-30,6.01,6.095,5.99,5.99,3500,5.99,36.2036552439,3,2014
2014-07-31,5.91,6.3,5.62,5.92,4000,5.92,35.4518676694,3,2014
2014-08-01,5.62,5.72,5.501,5.51,3000,5.51,31.3460802138,3,2014
2014-08-04,5.56,5.6,5.013,5.09,13700,5.09,27.7949009816,3,2014
2014-08-05,5.04,5.04,4.7,4.76,6100,4.76,25.3635445484,3,2014
2014-08-06,4.58,4.97,4.58,4.63,13300,4.63,24.4559696378,3,2014
2014-08-07,4.64,4.64,4.231,4.35,6400,4.35,22.5817141004,3,2014
2014-08-08,4.43,4.58,4.43,4.5,2200,4.5,25.8597656699,3,2014
2014-08-11,4.5,4.5,4.21,4.21,2600,4.21,23.7647073238,3,2014
2014-08-12,4.49,4.83,4.3,4.75,15300,4.75,34.419113841,3,2014
2014-08-13,4.99,4.99,4.61,4.75,6100,4.75,34.419113841,3,2014
