Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2012-01-03,0.75,0.75,0.75,0.75,0,0.75,,1,2012
2012-01-04,0.75,0.75,0.75,0.75,7400,0.75,,1,2012
2012-01-05,0.7,0.7,0.7,0.7,2000,0.7,,1,2012
2012-01-06,0.7,0.7,0.7,0.7,0,0.7,,1,2012
2012-01-09,0.7,0.7,0.7,0.7,0,0.7,,1,2012
2012-01-10,0.7,0.7,0.7,0.7,0,0.7,,1,2012
2012-01-11,0.85,0.98,0.83,0.9,10900,0.9,,1,2012
2012-01-12,0.98,1.02,0.98,1.02,9300,1.02,,1,2012
2012-01-13,1.04,1.05,1.0,1.04,25500,1.04,,1,2012
2012-01-17,1.06,1.2,1.06,1.11,22100,1.11,,1,2012
2012-01-18,1.15,1.15,1.07,1.09,19900,1.09,,1,2012
2012-01-19,1.18,1.2,1.18,1.2,4500,1.2,,1,2012
2012-01-20,1.2,1.2,1.2,1.2,20900,1.2,,1,2012
2012-01-23,1.15,1.15,1.15,1.15,2500,1.15,,1,2012
2012-01-24,1.1,1.1,1.0,1.0,3000,1.0,65.8227848101,1,2012
2012-01-25,1.1,1.17,1.1,1.17,400,1.17,72.2529644269,1,2012
2012-01-26,1.17,1.17,1.17,1.17,0,1.17,72.2529644269,1,2012
2012-01-27,1.18,1.19,1.15,1.19,29700,1.19,72.9474217072,1,2012
2012-01-30,1.19,1.19,1.19,1.19,0,1.19,72.9474217072,1,2012
2012-01-31,1.15,1.2,1.15,1.2,28500,1.2,73.3344290476,1,2012
2012-02-01,1.13,1.2,1.12,1.12,11300,1.12,65.2877461615,1,2012
2012-02-02,1.2,1.2,1.13,1.2,4200,1.2,68.9560902609,1,2012
2012-02-03,1.2,1.2,1.2,1.2,1200,1.2,68.9560902609,1,2012
2012-02-06,1.3,1.37,1.25,1.28,18700,1.28,72.3454885859,1,2012
2012-02-07,1.5,1.5,1.5,1.5,700,1.5,79.1025382931,1,2012
2012-02-08,1.33,1.35,1.22,1.28,6600,1.28,62.6240623135,1,2012
2012-02-09,1.35,1.65,1.35,1.55,15600,1.55,70.6931077057,1,2012
2012-02-10,1.34,1.41,1.34,1.41,800,1.41,63.0876810808,1,2012
2012-02-13,1.42,1.65,1.42,1.64,3100,1.64,68.9901151437,1,2012
2012-02-14,1.55,1.55,1.55,1.55,1900,1.55,64.6347436696,1,2012
2012-02-15,1.6,1.64,1.57,1.6,15200,1.6,65.9218845407,1,2012
