Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2012-01-03,44.75,45.040001,44.07,44.310001,438600,44.310001,,1,2012
2012-01-04,44.200001,44.200001,43.470001,43.470001,163500,43.470001,,1,2012
2012-01-05,43.439999,43.549999,42.73,43.439999,397100,43.439999,,1,2012
2012-01-06,43.5,44.279999,43.130001,43.450001,447400,43.450001,,1,2012
2012-01-09,43.66,43.73,42.279999,43.150002,246100,43.150002,,1,2012
2012-01-10,43.560001,43.830002,43.240002,43.48,224900,43.48,,1,2012
2012-01-11,43.59,45.790001,43.439999,45.419998,857600,45.419998,,1,2012
2012-01-12,45.549999,45.959999,44.5,45.52,356500,45.52,,1,2012
2012-01-13,45.32,45.450001,44.790001,45.18,92800,45.18,,1,2012
2012-01-17,45.57,46.419998,45.32,45.900002,340500,45.900002,,1,2012
2012-01-18,44.599998,46.48,44.0,46.009998,721600,46.009998,,1,2012
2012-01-19,46.049999,46.919998,45.68,46.419998,687400,46.419998,,1,2012
2012-01-20,46.290001,46.790001,45.5,46.099998,322400,46.099998,,1,2012
2012-01-23,46.209999,46.529999,45.5,45.84,297000,45.84,,1,2012
2012-01-24,45.59,46.880001,44.529999,46.77,376700,46.77,68.5240972247,1,2012
2012-01-25,46.700001,48.41,46.200001,48.27,486200,48.27,74.6831933716,1,2012
2012-01-26,48.66,48.880001,48.18,48.400002,318100,48.400002,75.1372719625,1,2012
2012-01-27,48.400002,48.849998,48.07,48.560001,175700,48.560001,75.7145956259,1,2012
2012-01-30,48.330002,48.57,47.990002,48.57,523800,48.57,75.7524888651,1,2012
2012-01-31,48.619999,49.080002,48.200001,48.349998,841300,48.349998,73.0516350663,1,2012
2012-02-01,48.66,48.91,47.970001,48.130001,605300,48.130001,70.3505007784,1,2012
2012-02-02,48.099998,49.060001,47.73,48.720001,430700,48.720001,73.2113025659,1,2012
2012-02-03,48.790001,50.73,47.009998,47.939999,1437000,47.939999,64.3688176824,1,2012
2012-02-06,47.950001,48.970001,47.360001,48.369999,610200,48.369999,66.752828996,1,2012
2012-02-07,48.169998,48.48,47.419998,47.619999,417200,47.619999,59.3001660646,1,2012
2012-02-08,47.48,47.860001,46.400002,46.959999,772600,46.959999,53.6262065145,1,2012
2012-02-09,46.990002,47.099998,45.650002,45.740002,572200,45.740002,45.0461937023,1,2012
2012-02-10,45.349998,46.119999,45.040001,45.91,365600,45.91,46.3346640986,1,2012
2012-02-13,46.139999,46.509998,45.810001,46.130001,382900,46.130001,48.0327964643,1,2012
2012-02-14,46.16,46.16,45.540001,45.720001,348600,45.720001,45.1645326537,1,2012
2012-02-15,45.73,46.400002,45.700001,46.119999,714400,46.119999,48.4017709119,1,2012
2012-02-16,46.18,47.0,46.18,46.98,775200,46.98,54.6066229318,1,2012
2012-02-17,47.209999,47.220001,46.790001,47.029999,625100,47.029999,54.9458406809,1,2012
2012-02-21,47.419998,47.669998,47.139999,47.360001,665300,47.360001,57.2182400397,1,2012
2012-02-22,47.400002,47.450001,47.0,47.240002,404600,47.240002,56.1099951507,1,2012
2012-02-23,47.389999,47.490002,47.009998,47.240002,565300,47.240002,56.1099951507,1,2012
2012-02-24,47.25,49.189999,47.150002,49.09,932600,49.09,67.3997627336,1,2012
2012-02-27,48.790001,49.150002,48.369999,49.110001,445300,49.110001,67.4971061393,1,2012
2012-02-28,49.119999,50.150002,49.029999,50.09,692200,50.09,71.9211876169,1,2012
2012-02-29,50.259998,50.68,49.860001,49.900002,837300,49.900002,69.9337389717,1,2012
2012-03-01,50.009998,50.34,49.630001,50.310001,413200,50.310001,71.7480272529,1,2012
2012-03-02,50.43,50.43,49.189999,49.23,448700,49.23,61.2613175002,1,2012
2012-03-05,49.16,49.240002,48.470001,48.880001,294700,48.880001,58.2880359596,1,2012
2012-03-06,48.369999,48.490002,47.93,47.939999,421500,47.939999,51.1129471288,1,2012
2012-03-07,48.25,48.369999,48.0,48.09,228400,48.09,52.125692862,1,2012
2012-03-08,48.23,49.57,48.23,49.02,350700,49.02,57.9429569247,1,2012
2012-03-09,48.810001,49.98,48.810001,49.66,321000,49.66,61.4174313761,1,2012
2012-03-12,49.41,49.619999,47.990002,48.130001,616100,48.130001,50.6456323572,1,2012
2012-03-13,48.509998,49.240002,48.349998,49.220001,433100,49.220001,56.4991195669,1,2012
2012-03-14,49.189999,49.860001,49.060001,49.779999,351100,49.779999,59.177853506,1,2012
2012-03-15,49.889999,50.950001,49.59,50.700001,344500,50.700001,63.1883970932,1,2012
2012-03-16,50.68,51.240002,50.68,51.119999,289000,51.119999,64.8844895544,1,2012
2012-03-19,51.139999,51.779999,50.93,51.619999,342500,51.619999,66.8430919678,1,2012
2012-03-20,51.279999,51.580002,50.830002,51.57,298500,51.57,66.4439944468,1,2012
2012-03-21,51.490002,51.84,51.220001,51.48,276100,51.48,65.6837620153,1,2012
2012-03-22,51.27,51.360001,50.459999,50.790001,345100,50.790001,60.0143693038,1,2012
2012-03-23,50.939999,51.279999,50.5,51.18,167800,51.18,62.0102940803,1,2012
2012-03-26,51.5,52.43,51.310001,52.380001,228300,52.380001,67.4020828335,1,2012
2012-03-27,52.470001,52.52,51.700001,51.810001,283300,51.810001,62.8398249092,1,2012
2012-03-28,51.75,51.790001,50.599998,51.200001,299400,51.200001,58.2924720733,1,2012
2012-03-29,50.790001,51.299999,50.639999,51.220001,175600,51.220001,58.3987675363,1,2012
2012-03-30,51.52,51.849998,51.25,51.540001,265700,51.540001,60.1488009379,1,2012
2012-04-02,51.439999,51.970001,51.25,51.84,238700,51.84,61.7723745175,2,2012
2012-04-03,51.91,52.279999,51.619999,52.02,208400,52.02,62.7529033959,2,2012
2012-04-04,51.25,51.599998,50.689999,50.799999,403600,50.799999,52.8569521218,2,2012
