Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2012-01-03,3.6,3.86,3.48,3.82,123700,3.82,,1,2012
2012-01-04,3.78,3.81,3.66,3.72,42900,3.72,,1,2012
2012-01-05,3.67,3.74,3.55,3.62,53700,3.62,,1,2012
2012-01-06,3.59,3.64,3.54,3.55,78400,3.55,,1,2012
2012-01-09,3.56,3.71,3.52,3.61,69000,3.61,,1,2012
2012-01-10,3.69,3.9,3.61,3.81,124000,3.81,,1,2012
2012-01-11,3.79,3.94,3.75,3.82,79700,3.82,,1,2012
2012-01-12,3.85,3.88,3.71,3.79,229000,3.79,,1,2012
2012-01-13,3.71,3.81,3.63,3.72,129600,3.72,,1,2012
2012-01-17,3.73,3.78,3.57,3.64,161800,3.64,,1,2012
2012-01-18,3.63,3.71,3.6,3.66,137600,3.66,,1,2012
2012-01-19,3.66,3.76,3.6,3.64,129200,3.64,,1,2012
2012-01-20,3.63,3.75,3.6,3.65,79400,3.65,,1,2012
2012-01-23,3.62,3.7,3.54,3.55,79600,3.55,,1,2012
2012-01-24,3.52,3.61,3.5,3.56,95900,3.56,35.2272727273,1,2012
2012-01-25,3.56,3.64,3.51,3.56,211800,3.56,35.2272727273,1,2012
2012-01-26,3.6,3.62,3.25,3.49,209500,3.49,32.2519083969,1,2012
2012-01-27,3.46,3.46,3.13,3.26,369500,3.26,24.830832276,1,2012
2012-01-30,3.25,3.3,3.11,3.12,282300,3.12,21.5763993609,1,2012
2012-01-31,3.12,3.12,2.82,2.93,536900,2.93,18.1077608202,1,2012
2012-02-01,2.97,3.26,2.92,3.2,343000,3.2,34.2770810866,1,2012
2012-02-02,3.19,3.27,3.12,3.18,136300,3.18,33.7455647317,1,2012
2012-02-03,3.27,3.35,3.23,3.3,199700,3.3,39.7794045877,1,2012
2012-02-06,3.28,3.47,3.28,3.42,95900,3.42,45.158089254,1,2012
2012-02-07,3.45,3.45,3.29,3.37,154300,3.37,43.4179893305,1,2012
2012-02-08,3.39,3.42,3.25,3.41,127300,3.41,45.2360487611,1,2012
2012-02-09,3.42,3.44,3.35,3.4,73000,3.4,44.8480786815,1,2012
2012-02-10,3.34,3.37,3.24,3.29,115100,3.29,40.7117874495,1,2012
2012-02-13,3.35,3.41,3.31,3.38,60500,3.38,45.1677149823,1,2012
2012-02-14,3.35,3.35,3.27,3.3,43300,3.3,42.1362158188,1,2012
2012-02-15,3.34,3.36,3.1,3.12,125300,3.12,36.2422024579,1,2012
2012-02-16,3.12,3.32,3.03,3.31,76800,3.31,44.9893793681,1,2012
2012-02-17,3.33,3.36,3.25,3.25,70800,3.25,42.9838799017,1,2012
2012-02-21,3.24,3.32,3.23,3.25,127500,3.25,42.9838799017,1,2012
2012-02-22,3.26,3.33,3.2,3.24,92300,3.24,42.6166735264,1,2012
2012-02-23,3.27,3.35,3.2,3.34,81600,3.34,47.45118106,1,2012
