Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2012-01-03,1.18,1.25,1.18,1.25,62800,1.25,,1,2012
2012-01-04,1.25,1.3,1.17,1.24,88400,1.24,,1,2012
2012-01-05,1.23,1.27,1.23,1.27,34300,1.27,,1,2012
2012-01-06,1.26,1.29,1.22,1.23,85500,1.23,,1,2012
2012-01-09,1.23,1.27,1.2,1.22,98400,1.22,,1,2012
2012-01-10,1.24,1.28,1.2,1.24,70600,1.24,,1,2012
2012-01-11,1.23,1.27,1.21,1.27,88100,1.27,,1,2012
2012-01-12,1.28,1.35,1.24,1.35,152600,1.35,,1,2012
2012-01-13,1.34,1.34,1.27,1.29,81500,1.29,,1,2012
2012-01-17,1.3,1.32,1.23,1.25,103400,1.25,,1,2012
2012-01-18,1.25,1.34,1.23,1.34,133900,1.34,,1,2012
2012-01-19,1.32,1.41,1.32,1.37,286900,1.37,,1,2012
2012-01-20,1.36,1.38,1.33,1.34,53900,1.34,,1,2012
2012-01-23,1.33,1.39,1.33,1.38,110300,1.38,,1,2012
2012-01-24,1.37,1.38,1.33,1.36,84600,1.36,60.3773584906,1,2012
2012-01-25,1.35,1.39,1.35,1.38,46000,1.38,61.9246861925,1,2012
2012-01-26,1.39,1.45,1.33,1.37,277900,1.37,60.6493642955,1,2012
2012-01-27,1.35,1.44,1.29,1.32,141400,1.32,54.5950626087,1,2012
2012-01-30,1.34,1.38,1.3,1.36,150100,1.36,58.1907723007,1,2012
2012-01-31,1.37,1.38,1.36,1.37,67200,1.37,59.0635751253,1,2012
2012-02-01,1.38,1.42,1.36,1.41,134300,1.41,62.4411212685,1,2012
2012-02-02,1.44,1.44,1.38,1.41,122000,1.41,62.4411212685,1,2012
2012-02-03,1.43,1.59,1.39,1.51,426300,1.51,69.6915606921,1,2012
2012-02-06,1.55,1.55,1.47,1.52,138700,1.52,70.3088147141,1,2012
2012-02-07,1.54,1.59,1.53,1.56,140200,1.56,72.7035179889,1,2012
2012-02-08,1.57,1.65,1.56,1.61,154900,1.61,75.3769032026,1,2012
2012-02-09,1.61,1.65,1.61,1.61,141600,1.61,75.3769032026,1,2012
2012-02-10,1.65,1.69,1.65,1.66,229100,1.66,77.8884611264,1,2012
2012-02-13,1.68,1.75,1.68,1.73,190700,1.73,80.835646296,1,2012
2012-02-14,1.73,1.97,1.73,1.89,680700,1.89,85.5700058318,1,2012
2012-02-15,1.98,1.98,1.76,1.83,355200,1.83,77.8074588611,1,2012
2012-02-16,1.85,1.85,1.76,1.81,101700,1.81,75.3535970787,1,2012
2012-02-17,1.84,1.88,1.8,1.82,181500,1.82,75.7651483227,1,2012
2012-02-21,1.81,1.82,1.57,1.69,219500,1.69,61.4092009711,1,2012
2012-02-22,1.68,1.75,1.63,1.68,168400,1.68,60.46018573,1,2012
2012-02-23,1.68,1.75,1.67,1.75,163200,1.75,64.5858959676,1,2012
2012-02-24,1.75,1.79,1.71,1.71,84800,1.71,60.688983963,1,2012
2012-02-27,1.7,1.71,1.66,1.69,158500,1.69,58.779297841,1,2012
2012-02-28,1.7,1.7,1.66,1.7,92800,1.7,59.4660899745,1,2012
2012-02-29,1.71,1.77,1.71,1.74,231100,1.74,62.1804704555,1,2012
2012-03-01,1.76,1.78,1.68,1.76,116900,1.76,63.4967216617,1,2012
2012-03-02,1.75,1.77,1.7,1.73,223600,1.73,60.1168897219,1,2012
2012-03-05,1.71,2.07,1.7,2.04,557700,2.04,74.9530984294,1,2012
2012-03-06,2.12,2.7,2.04,2.26,2175900,2.26,80.4976510351,1,2012
2012-03-07,2.29,2.6,2.2,2.42,1659800,2.42,83.3793153814,1,2012
2012-03-08,2.41,2.55,2.17,2.28,767700,2.28,73.1888477003,1,2012
2012-03-09,2.26,2.39,2.23,2.29,491400,2.29,73.4385623472,1,2012
2012-03-12,2.29,2.34,2.22,2.27,325900,2.27,71.9943155172,1,2012
2012-03-13,2.26,2.63,2.26,2.63,1128000,2.63,79.7239350649,1,2012
2012-03-14,2.71,2.73,2.27,2.46,841500,2.46,69.9112056662,1,2012
2012-03-15,2.45,2.47,2.34,2.43,200300,2.43,68.31325599,1,2012
2012-03-16,2.44,2.55,2.4,2.51,444100,2.51,70.2650624562,1,2012
2012-03-19,2.51,2.65,2.48,2.6,578800,2.6,72.3299937244,1,2012
2012-03-20,2.56,2.68,2.5,2.56,473500,2.56,70.0031961396,1,2012
2012-03-21,2.54,2.6,2.43,2.45,315300,2.45,63.9140820679,1,2012
2012-03-22,2.43,2.49,2.28,2.4,409100,2.4,61.3038103804,1,2012
2012-03-23,2.44,2.5,2.41,2.5,173700,2.5,64.432464871,1,2012
2012-03-26,2.5,2.59,2.5,2.58,326200,2.58,66.7486504297,1,2012
2012-03-27,2.6,2.6,2.5,2.53,196000,2.53,63.9458223615,1,2012
