Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2012-01-03,4.77,4.9,4.75,4.89,109200,4.89,,1,2012
2012-01-04,4.84,4.91,4.78,4.83,51400,4.83,,1,2012
2012-01-05,4.94,5.15,4.94,5.14,198600,5.14,,1,2012
2012-01-06,4.4,4.46,4.26,4.39,3495600,4.39,,1,2012
2012-01-09,4.41,4.5,4.3,4.35,403600,4.35,,1,2012
2012-01-10,4.38,4.39,4.18,4.29,572000,4.29,,1,2012
2012-01-11,4.31,4.6,4.27,4.54,770400,4.54,,1,2012
2012-01-12,4.57,4.62,4.45,4.5,260000,4.5,,1,2012
2012-01-13,4.43,4.68,4.42,4.61,599600,4.61,,1,2012
2012-01-17,4.7,4.7,4.58,4.62,412000,4.62,,1,2012
2012-01-18,4.61,4.69,4.52,4.66,197700,4.66,,1,2012
2012-01-19,4.68,4.79,4.62,4.78,391300,4.78,,1,2012
2012-01-20,4.76,4.84,4.74,4.79,211500,4.79,,1,2012
2012-01-23,4.77,4.79,4.61,4.7,394000,4.7,,1,2012
2012-01-24,4.67,4.79,4.64,4.66,181500,4.66,44.0414507772,1,2012
2012-01-25,4.68,4.75,4.65,4.71,467600,4.71,45.5602946879,1,2012
2012-01-26,4.73,4.81,4.66,4.76,289800,4.76,47.1063842119,1,2012
2012-01-27,4.73,4.83,4.67,4.75,423900,4.75,46.8199895864,1,2012
2012-01-30,4.71,4.73,4.64,4.7,308500,4.7,45.3358275153,1,2012
2012-01-31,4.73,4.76,4.59,4.61,339000,4.61,42.7113064655,1,2012
2012-02-01,4.65,4.91,4.59,4.85,657100,4.85,50.8778663502,1,2012
2012-02-02,4.9,5.08,4.83,4.89,961100,4.89,52.103353531,1,2012
2012-02-03,4.89,5.0,4.82,4.98,420200,4.98,54.8336733576,1,2012
2012-02-06,4.96,5.2,4.96,5.12,526900,5.12,58.7708343328,1,2012
2012-02-07,5.12,5.32,5.04,5.28,398900,5.28,62.7655840702,1,2012
2012-02-08,5.28,5.39,5.27,5.38,216400,5.38,65.0451747199,1,2012
2012-02-09,5.38,5.44,5.2,5.21,266700,5.21,58.4894126102,1,2012
2012-02-10,5.16,5.23,5.04,5.06,234500,5.06,53.3773933246,1,2012
2012-02-13,5.12,5.31,5.0,5.3,259900,5.3,59.4796818307,1,2012
2012-02-14,5.28,5.68,5.23,5.66,524000,5.66,66.5517377665,1,2012
2012-02-15,5.71,5.74,5.38,5.42,268800,5.42,59.1410988308,1,2012
2012-02-16,5.41,5.64,5.35,5.56,190400,5.56,61.8123841439,1,2012
2012-02-17,5.62,5.65,5.42,5.46,216300,5.46,58.8526268901,1,2012
2012-02-21,5.41,5.41,5.18,5.2,263800,5.2,51.8949574684,1,2012
2012-02-22,5.05,5.25,4.93,4.96,280800,4.96,46.4375113977,1,2012
2012-02-23,4.96,5.21,4.91,5.21,292300,5.21,52.0895834499,1,2012
2012-02-24,5.23,5.25,5.08,5.18,126400,5.18,51.3888039609,1,2012
2012-02-27,5.12,5.12,4.85,4.86,325400,4.86,44.5101568579,1,2012
2012-02-28,4.88,5.09,4.88,5.02,195000,5.02,48.2407443454,1,2012
2012-02-29,5.19,5.23,4.75,4.78,360200,4.78,43.5149171663,1,2012
2012-03-01,4.79,4.83,4.57,4.57,201700,4.57,39.8374554317,1,2012
2012-03-02,4.58,4.65,4.45,4.45,182100,4.45,37.8680739387,1,2012
2012-03-05,4.43,4.48,4.35,4.39,204000,4.39,36.8861975043,1,2012
2012-03-06,4.34,4.39,4.03,4.22,427200,4.22,34.1818555294,1,2012
2012-03-07,4.24,4.41,4.2,4.3,150200,4.3,36.5397546346,1,2012
2012-03-08,4.34,4.41,4.27,4.33,214200,4.33,37.4447765869,1,2012
2012-03-09,4.34,4.51,4.34,4.48,175200,4.48,41.9058985171,1,2012
2012-03-12,4.5,4.61,4.41,4.58,257200,4.58,44.7354684458,1,2012
2012-03-13,4.62,4.62,4.46,4.5,147100,4.5,42.933849691,1,2012
2012-03-14,4.49,4.64,4.45,4.64,160400,4.64,46.9595447954,1,2012
2012-03-15,4.65,4.78,4.57,4.78,249000,4.78,50.7045611942,1,2012
2012-03-16,4.79,4.94,4.77,4.78,466400,4.78,50.7045611942,1,2012
2012-03-19,4.79,4.86,4.65,4.68,229300,4.68,47.9026927549,1,2012
2012-03-20,4.62,4.69,4.56,4.6,153800,4.6,45.725801629,1,2012
2012-03-21,4.6,4.67,4.5,4.51,192000,4.51,43.3396429708,1,2012
2012-03-22,4.5,4.53,4.4,4.5,114200,4.5,43.0706988336,1,2012
2012-03-23,4.51,4.54,4.34,4.39,154600,4.39,40.1213277536,1,2012
2012-03-26,4.47,4.66,4.46,4.53,252400,4.53,45.2591499443,1,2012
2012-03-27,4.54,4.65,4.48,4.49,115000,4.49,44.0949896248,1,2012
2012-03-28,4.5,4.57,4.36,4.39,243500,4.39,41.2391070634,1,2012
2012-03-29,4.37,4.52,4.37,4.48,201700,4.48,44.7098771634,1,2012
2012-03-30,4.53,4.54,4.34,4.39,232100,4.39,42.0359879868,1,2012
2012-04-02,4.33,4.4,4.27,4.36,207100,4.36,41.1525021304,2,2012
2012-04-03,4.36,4.41,4.25,4.3,166500,4.3,39.3702812073,2,2012
2012-04-04,4.26,4.28,4.11,4.15,167500,4.15,35.2591458901,2,2012
2012-04-05,4.12,4.16,4.0,4.06,264600,4.06,33.030484291,2,2012
2012-04-09,4.02,4.11,3.94,4.0,281000,4.0,31.5966252288,2,2012
2012-04-10,4.0,4.04,3.73,3.77,324700,3.77,26.7948284678,2,2012
2012-04-11,3.85,3.97,3.81,3.96,292700,3.96,35.5133587652,2,2012
2012-04-12,3.95,4.1,3.89,4.0,251800,4.0,37.2088328195,2,2012
2012-04-13,3.98,4.04,3.9,4.0,175600,4.0,37.2088328195,2,2012
2012-04-16,4.03,4.06,3.87,3.93,131800,3.93,35.3238935039,2,2012
2012-04-17,3.98,4.07,3.88,4.03,101100,4.03,40.0000482064,2,2012
2012-04-18,4.03,4.12,3.99,4.01,161400,4.01,39.3866969716,2,2012
2012-04-19,4.05,4.12,3.9,3.9,253200,3.9,36.107319901,2,2012
2012-04-20,3.96,4.14,3.88,4.09,175000,4.09,44.6757785335,2,2012
2012-04-23,4.01,4.1,4.0,4.06,272200,4.06,43.6797224198,2,2012
2012-04-24,4.05,4.27,4.05,4.27,417500,4.27,51.7835410372,2,2012
2012-04-25,4.34,4.57,4.31,4.56,866000,4.56,60.2825722798,2,2012
2012-04-26,4.56,4.65,4.37,4.4,514300,4.4,54.5675820587,2,2012
2012-04-27,4.44,4.44,4.33,4.39,261000,4.39,54.2215943264,2,2012
2012-04-30,4.41,4.48,4.32,4.35,225500,4.35,52.7800097382,2,2012
2012-05-01,4.35,4.55,4.29,4.29,334100,4.29,50.6065551763,2,2012
2012-05-02,4.26,4.3,4.12,4.18,209000,4.18,46.8014511306,2,2012
2012-05-03,4.2,4.25,3.9,4.02,313800,4.02,41.8700003156,2,2012
2012-05-04,4.01,4.01,3.71,3.71,641500,3.71,34.3236744413,2,2012
2012-05-07,3.66,3.8,3.57,3.72,274000,3.72,34.7323265206,2,2012
2012-05-08,3.68,3.85,3.59,3.74,235200,3.74,35.5954562058,2,2012
2012-05-09,3.69,3.83,3.65,3.81,255600,3.81,38.6533439855,2,2012
2012-05-10,3.84,3.91,3.76,3.82,207000,3.82,39.09820238,2,2012
2012-05-11,3.81,4.11,3.81,4.01,283800,4.01,46.967110437,2,2012
2012-05-14,4.0,4.05,3.92,4.0,208000,4.0,46.6256500398,2,2012
2012-05-15,4.01,4.2,4.0,4.16,311800,4.16,52.5675668683,2,2012
2012-05-16,4.18,4.2,4.08,4.12,177000,4.12,51.0378500781,2,2012
2012-05-17,4.14,4.18,4.0,4.0,1406600,4.0,46.6518561727,2,2012
2012-05-18,4.03,4.05,3.71,3.8,626000,3.8,40.4176626486,2,2012
2012-05-21,3.83,4.1,3.77,4.1,266100,4.1,50.9960282942,2,2012
2012-05-22,4.17,4.33,3.93,3.98,371900,3.98,47.3729622152,2,2012
2012-05-23,3.96,4.02,3.79,3.9,208000,3.9,45.0738610204,2,2012
2012-05-24,3.92,4.15,3.82,4.14,242900,4.14,52.5187114901,2,2012
2012-05-25,4.16,4.29,4.1,4.24,228200,4.24,55.2409797587,2,2012
2012-05-29,4.26,4.33,4.22,4.27,136200,4.27,56.0549790723,2,2012
2012-05-30,4.2,4.21,4.1,4.16,168400,4.16,52.2992436579,2,2012
2012-05-31,4.2,5.1,4.19,4.81,2150900,4.81,66.5579250591,2,2012
2012-06-01,4.58,5.23,4.58,5.1,1389400,5.1,70.7577755533,2,2012
2012-06-04,5.38,5.51,5.2,5.43,2040300,5.43,74.6579418375,2,2012
2012-06-05,5.45,5.79,5.34,5.77,1205700,5.77,77.9247786772,2,2012
2012-06-06,5.76,5.92,5.58,5.7,673200,5.7,75.7594385948,2,2012
2012-06-07,5.78,5.8,5.53,5.58,582400,5.58,72.0626172879,2,2012
2012-06-08,5.58,5.7,5.38,5.65,343900,5.65,72.8935499546,2,2012
2012-06-11,5.7,5.72,5.59,5.65,410300,5.65,72.8935499546,2,2012
2012-06-12,5.6,5.88,5.53,5.87,346000,5.87,75.5447705514,2,2012
2012-06-13,5.81,5.99,5.58,5.64,501500,5.64,68.0510438475,2,2012
2012-06-14,5.61,5.83,5.57,5.7,413600,5.7,68.9172494429,2,2012
2012-06-15,5.75,5.88,5.7,5.76,802800,5.76,69.7990484815,2,2012
2012-06-18,5.69,6.04,5.63,5.98,776200,5.98,72.8414269535,2,2012
2012-06-19,6.02,6.48,5.98,6.4,1582400,6.4,77.5011866341,2,2012
2012-06-20,6.4,6.48,6.28,6.38,438300,6.38,76.8252192082,2,2012
2012-06-21,6.34,6.57,6.33,6.41,417700,6.41,77.1472020569,2,2012
2012-06-22,6.48,7.24,6.36,7.24,3678900,7.24,83.8377364638,2,2012
2012-06-25,7.3,8.5,7.13,7.79,3924400,7.79,86.6308814712,2,2012
2012-06-26,7.78,8.1,7.15,7.33,1830500,7.33,74.9623938138,2,2012
2012-06-27,7.38,7.65,7.2,7.25,1257500,7.25,73.1178785283,2,2012
2012-06-28,5.5,5.95,4.4,4.82,4840800,4.82,40.5108535726,2,2012
2012-06-29,5.0,5.66,4.96,5.47,3723100,5.47,47.2830512374,2,2012
2012-07-02,5.65,5.87,5.35,5.77,1109900,5.77,50.1061833147,3,2012
2012-07-03,5.89,6.46,5.76,6.32,1365900,6.32,54.8771220584,3,2012
2012-07-05,6.32,6.47,6.02,6.38,916500,6.38,55.3783964641,3,2012
2012-07-06,6.26,6.65,6.21,6.53,901800,6.53,56.674231467,3,2012
2012-07-09,6.55,7.0,6.4,6.79,1184900,6.79,58.9021067036,3,2012
2012-07-10,6.82,6.94,6.48,6.56,703000,6.56,56.1513996049,3,2012
2012-07-11,6.53,6.66,6.1,6.34,1207500,6.34,53.5741961113,3,2012
