Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2012-01-03,14.91,14.98,14.32,14.71,1700700,14.513692,,1,2012
2012-01-04,14.69,14.81,14.45,14.48,1524400,14.286761,,1,2012
2012-01-05,14.46,14.66,14.3,14.62,1266100,14.424893,,1,2012
2012-01-06,14.25,14.79,14.25,14.61,1068000,14.415027,,1,2012
2012-01-09,14.72,15.53,14.69,15.5,3433100,15.29315,,1,2012
2012-01-10,15.74,15.95,15.52,15.87,2368900,15.658212,,1,2012
2012-01-11,15.84,15.99,15.72,15.87,1259700,15.658212,,1,2012
2012-01-12,15.95,16.0,15.65,15.67,1305800,15.460881,,1,2012
2012-01-13,15.58,15.89,15.06,15.17,2073000,14.967554,,1,2012
2012-01-17,15.39,15.67,15.34,15.53,1002100,15.322749,,1,2012
2012-01-18,15.46,15.62,15.41,15.49,1014900,15.283283,,1,2012
2012-01-19,15.56,15.8,15.27,15.35,1297600,15.145152,,1,2012
2012-01-20,15.37,15.37,15.07,15.23,1146600,15.026752,,1,2012
2012-01-23,15.83,15.98,15.33,15.36,1775300,15.155018,,1,2012
2012-01-24,15.32,15.46,15.09,15.33,883600,15.125418,59.8101243493,1,2012
2012-01-25,15.38,15.65,14.97,14.99,1624800,14.789955,53.5994698183,1,2012
2012-01-26,15.31,15.5,13.5,14.05,4110000,13.8625,40.9416054161,1,2012
2012-01-27,14.33,14.62,13.77,14.0,2232100,13.813167,40.3951452846,1,2012
2012-01-30,13.93,14.36,13.85,14.3,1763500,14.109164,45.1275555522,1,2012
2012-01-31,14.39,14.52,14.03,14.07,1478700,13.882233,42.3513044346,1,2012
2012-02-01,14.14,14.23,13.9,14.0,1669000,13.813167,41.5142205409,1,2012
2012-02-02,14.02,14.31,13.87,14.2,1733500,14.010498,44.8671785065,1,2012
2012-02-03,14.37,14.45,14.16,14.35,1499200,14.158497,47.3071119337,1,2012
2012-02-06,14.27,14.49,14.15,14.21,1452100,14.020365,45.2923985081,1,2012
2012-02-07,14.25,14.4,13.93,14.04,1173900,13.852634,42.9030540025,1,2012
2012-02-08,14.04,14.21,13.79,13.93,1207900,13.744102,41.3818329424,1,2012
2012-02-09,13.91,13.98,13.47,13.48,1306400,13.300106,35.7909179044,1,2012
2012-02-10,13.52,14.2,13.52,14.1,1894100,13.911833,46.5131142712,1,2012
2012-02-13,14.25,14.4,13.82,14.29,1307900,14.099297,49.3068266192,1,2012
2012-02-14,14.26,14.39,14.12,14.19,665600,14.000631,47.8890591537,1,2012
2012-02-15,14.23,14.27,13.75,13.82,1234500,13.635569,42.9662886906,1,2012
2012-02-16,13.87,13.99,13.7,13.91,579100,13.724368,44.4618050617,1,2012
2012-02-17,13.94,13.98,13.5,13.6,1128400,13.418506,40.5205296469,1,2012
2012-02-21,13.67,13.72,12.92,12.93,1790600,12.757447,33.5900971788,1,2012
2012-02-22,13.28,13.66,12.9,13.55,1426600,13.369173,43.2610243756,1,2012
2012-02-23,13.56,13.91,13.3,13.71,1035700,13.527038,45.4680134628,1,2012
2012-02-24,13.8,14.26,13.72,14.25,1399400,14.059831,52.2225969596,1,2012
2012-02-27,14.74,14.77,14.4,14.67,2304000,14.474226,56.7135630377,1,2012
2012-02-28,14.82,14.85,13.9,14.13,2547600,13.941433,50.1823091875,1,2012
2012-02-29,14.25,14.57,14.11,14.19,2387600,14.000631,50.8594559384,1,2012
2012-03-01,13.73,14.1,12.25,13.93,4815800,13.744102,47.8257392872,1,2012
2012-03-02,13.99,14.04,13.08,13.12,2693100,12.944911,39.8506200034,1,2012
2012-03-05,13.2,13.27,12.53,12.97,3143900,12.796913,38.568015576,1,2012
2012-03-06,12.77,12.91,12.45,12.76,2651900,12.589716,36.7830976466,1,2012
2012-03-07,12.81,12.95,12.54,12.65,2139800,12.481183,35.8472401754,1,2012
2012-03-08,12.68,12.92,12.61,12.83,1648800,12.658781,38.600135941,1,2012
2012-03-09,12.8,12.85,12.56,12.76,2636400,12.589716,37.9186885074,1,2012
2012-03-12,12.76,13.24,12.67,13.19,2110200,13.013977,44.410903859,1,2012
2012-03-13,13.24,13.39,13.02,13.1,1441600,12.925178,43.3881691247,1,2012
2012-03-14,13.08,13.13,12.69,12.86,1069000,12.688381,40.6967233066,1,2012
2012-03-15,12.83,12.9,12.62,12.85,1137400,12.678515,40.5837654988,1,2012
2012-03-16,12.83,13.11,12.78,13.05,3143500,12.875846,43.9356022775,1,2012
2012-03-19,13.01,13.39,12.85,13.25,1425000,13.073176,47.1465522709,1,2012
2012-03-20,13.26,13.3,12.96,13.12,1382100,12.944911,45.3292601461,1,2012
2012-03-21,13.19,13.3,13.01,13.25,1456900,13.073176,47.5082275152,1,2012
2012-03-22,13.19,13.29,12.89,13.11,1026100,12.935044,45.4092355138,1,2012
2012-03-23,13.1,13.46,13.03,13.33,1128300,13.152109,49.2069835438,1,2012
2012-03-26,13.34,13.45,13.2,13.24,1575200,13.06331,47.7437081374,1,2012
2012-03-27,13.26,13.31,12.95,12.95,767700,12.77718,43.2778491824,1,2012
2012-03-28,13.0,13.09,12.54,12.94,2010000,12.767313,43.1280343071,1,2012
2012-03-29,12.8,12.89,12.52,12.71,929700,12.540383,39.7222685148,1,2012
2012-03-30,12.78,12.87,12.57,12.63,912500,12.46145,38.5810200656,1,2012
2012-04-02,12.62,12.76,12.47,12.6,1154500,12.431851,38.1385202349,2,2012
