Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2012-02-16,12.0,12.0,12.0,12.0,1700,12.0,,1,2012
2012-02-17,12.0,15.0,11.75,15.0,2700,15.0,,1,2012
2012-02-21,15.5,15.5,15.0,15.5,3000,15.5,,1,2012
2012-02-22,14.02,14.5,14.02,14.5,300,14.5,,1,2012
2012-02-23,14.1,15.0,14.0,14.0,1000,14.0,,1,2012
2012-02-24,13.6,14.42,13.6,14.03,1500,14.03,,1,2012
2012-02-27,15.5,15.5,15.5,15.5,300,15.5,,1,2012
2012-02-28,15.0,17.0,15.0,15.0,2100,15.0,,1,2012
2012-02-29,15.0,15.5,15.0,15.13,600,15.13,,1,2012
2012-03-01,14.75,22.9,14.25,19.48,1800,19.48,,1,2012
2012-03-02,19.0,19.0,15.0,15.0,4600,15.0,,1,2012
2012-03-05,14.79,14.79,13.8,14.0,1700,14.0,,1,2012
2012-03-06,13.77,14.45,10.5,10.5,5600,10.5,,1,2012
2012-03-07,10.76,12.0,10.5,11.98,4200,11.98,,1,2012
2012-03-08,10.71,11.49,10.51,11.0,4500,11.0,47.8184991274,1,2012
2012-03-09,11.49,13.0,11.2,12.75,14600,12.75,51.7831669044,1,2012
2012-03-12,14.0,14.0,11.02,11.78,8600,11.78,49.5365235846,1,2012
2012-03-13,11.58,12.0,10.89,11.0,3400,11.0,47.7427783423,1,2012
2012-03-14,11.03,11.03,10.51,10.54,4500,10.54,46.6694905019,1,2012
2012-03-15,10.55,11.03,10.0,10.02,12300,10.02,45.4262766032,1,2012
2012-03-16,12.0,12.0,10.05,10.9,13800,10.9,47.9530821703,1,2012
2012-03-19,11.9,11.9,10.3,10.48,3900,10.48,46.838423721,1,2012
2012-03-20,10.31,10.39,9.1,9.27,9900,9.27,43.6877344578,1,2012
2012-03-21,9.89,9.89,8.85,8.85,3600,8.85,42.6161506938,1,2012
2012-03-22,8.89,9.5,8.75,8.75,2600,8.75,42.3498002894,1,2012
2012-03-23,8.51,9.5,8.51,9.0,7800,9.0,43.3038206139,1,2012
2012-03-26,8.52,8.76,8.5,8.75,1800,8.75,42.5455990403,1,2012
2012-03-27,9.0,9.93,9.0,9.15,8900,9.15,44.228230528,1,2012
2012-03-28,9.15,9.15,8.75,8.75,2000,8.75,42.8759579824,1,2012
2012-03-29,9.0,9.0,9.0,9.0,600,9.0,44.0278229403,1,2012
2012-03-30,8.75,8.85,8.75,8.85,600,8.85,43.4615526104,1,2012
2012-04-02,8.85,8.85,8.85,8.85,0,8.85,43.4615526104,2,2012
2012-04-03,8.85,8.85,8.0,8.33,7400,8.33,41.3246382967,2,2012
2012-04-04,8.32,8.5,8.25,8.5,1500,8.5,42.3230607471,2,2012
2012-04-05,8.5,8.5,8.5,8.5,0,8.5,42.3230607471,2,2012
2012-04-09,8.05,8.05,8.05,8.05,600,8.05,40.221923796,2,2012
2012-04-10,7.8,8.0,7.5,7.5,2200,7.5,37.7548352806,2,2012
2012-04-11,7.25,7.25,6.5,7.25,1000,7.25,36.6542880538,2,2012
2012-04-12,7.25,7.25,7.25,7.25,0,7.25,36.6542880538,2,2012
2012-04-13,7.25,7.25,7.25,7.25,0,7.25,36.6542880538,2,2012
2012-04-16,7.25,7.25,7.25,7.25,0,7.25,36.6542880538,2,2012
2012-04-17,7.25,7.25,7.25,7.25,0,7.25,36.6542880538,2,2012
2012-04-18,7.25,7.25,7.25,7.25,0,7.25,36.6542880538,2,2012
2012-04-19,7.25,7.25,7.25,7.25,0,7.25,36.6542880538,2,2012
2012-04-20,7.28,7.5,6.3,7.5,400,7.5,39.6115044001,2,2012
2012-04-23,7.5,7.5,7.5,7.5,0,7.5,39.6115044001,2,2012
2012-04-24,7.5,7.5,7.5,7.5,0,7.5,39.6115044001,2,2012
2012-04-25,7.5,7.5,7.5,7.5,0,7.5,39.6115044001,2,2012
2012-04-26,7.5,7.5,7.5,7.5,0,7.5,39.6115044001,2,2012
2012-04-27,6.88,6.88,6.88,6.88,100,6.88,33.92258351,2,2012
2012-04-30,7.89,7.89,7.35,7.35,1400,7.35,40.856897636,2,2012
2012-05-01,6.9,7.86,6.9,7.86,200,7.86,47.3175108961,2,2012
