Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2014-12-05,6.42,7.75,6.42,7.74,36900,7.74,,4,2014
2014-12-08,7.74,7.79,7.0,7.36,106400,7.36,,4,2014
2014-12-09,7.31,7.5,7.21,7.38,188500,7.38,,4,2014
2014-12-10,7.62,7.62,7.27,7.4,355100,7.4,,4,2014
2014-12-11,7.46,8.19,7.335,7.96,124000,7.96,,4,2014
2014-12-12,7.82,7.89,7.45,7.55,159400,7.55,,4,2014
2014-12-15,7.56,7.56,7.3,7.4,106700,7.4,,4,2014
2014-12-16,7.32,7.59,7.3,7.35,75600,7.35,,4,2014
2014-12-17,7.15,7.33,7.05,7.3,225900,7.3,,4,2014
2014-12-18,7.3,7.62,7.2,7.62,92500,7.62,,4,2014
2014-12-19,7.59,7.65,7.3,7.5,260100,7.5,,4,2014
2014-12-22,7.5,7.59,7.31,7.51,313400,7.51,,4,2014
2014-12-23,7.5,7.9,7.35,7.67,366000,7.67,,4,2014
2014-12-24,7.66,7.9,7.53,7.825,51400,7.825,,4,2014
2014-12-26,7.94,7.94,7.6,7.82,47400,7.82,51.6597510373,4,2014
2014-12-29,7.8,7.94,7.68,7.81,87100,7.81,51.4299332698,4,2014
2014-12-30,7.76,8.0,7.46,7.81,96400,7.81,51.4299332698,4,2014
2014-12-31,7.81,8.007,7.56,7.79,48700,7.79,50.9046565339,4,2014
2015-01-02,7.79,8.13,7.7,7.81,34300,7.81,51.4387858629,1,2015
2015-01-05,7.81,7.99,7.75,7.81,43400,7.81,51.4387858629,1,2015
2015-01-06,7.86,7.966,7.67,7.7,58100,7.7,48.1007569783,1,2015
2015-01-07,7.69,8.17,7.66,7.87,70500,7.87,53.1597019003,1,2015
2015-01-08,7.9,8.1,7.75,7.77,63900,7.77,50.0680179668,1,2015
2015-01-09,7.74,7.77,7.42,7.58,259300,7.58,44.7434946002,1,2015
2015-01-12,7.52,7.73,7.44,7.65,89800,7.65,46.9805892395,1,2015
2015-01-13,7.73,8.0,7.21,7.96,80100,7.96,55.5610907107,1,2015
2015-01-14,7.96,8.0,7.7,7.89,81600,7.89,53.4572846685,1,2015
2015-01-15,7.89,7.99,7.35,7.49,76800,7.49,43.3549781454,1,2015
2015-01-16,7.45,8.05,7.24,7.6,97500,7.6,46.3571979069,1,2015
2015-01-20,7.55,7.94,7.25,7.35,54900,7.35,41.0341738212,1,2015
2015-01-21,7.25,7.58,7.21,7.21,63300,7.21,38.3766279094,1,2015
2015-01-22,7.23,7.8,7.15,7.77,106200,7.77,51.8185076241,1,2015
2015-01-23,7.74,7.82,7.37,7.74,12300,7.74,51.1745072409,1,2015
2015-01-26,7.71,7.85,7.36,7.81,51400,7.81,52.653118711,1,2015
2015-01-27,7.67,7.75,7.5,7.63,17300,7.63,48.5791603277,1,2015
2015-01-28,7.48,7.59,7.31,7.35,31700,7.35,43.0049750742,1,2015
2015-01-29,7.32,7.53,7.17,7.45,28500,7.45,45.4139894994,1,2015
2015-01-30,7.36,7.44,7.2,7.2,18600,7.2,40.7740626806,1,2015
