Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2012-01-03,10.75,10.92,10.4,10.57,193900,10.57,,1,2012
2012-01-04,10.5,10.86,10.5,10.67,141700,10.67,,1,2012
2012-01-05,10.57,10.64,10.1,10.29,283300,10.29,,1,2012
2012-01-06,10.24,10.5,10.1,10.32,215200,10.32,,1,2012
2012-01-09,10.35,10.44,10.14,10.19,195300,10.19,,1,2012
2012-01-10,10.35,10.5,10.3,10.45,111100,10.45,,1,2012
2012-01-11,10.4,10.49,10.32,10.4,126100,10.4,,1,2012
2012-01-12,10.39,10.68,10.21,10.6,203200,10.6,,1,2012
2012-01-13,10.53,10.67,10.29,10.64,146800,10.64,,1,2012
2012-01-17,10.7,11.4,10.62,11.36,494300,11.36,,1,2012
2012-01-18,11.43,11.72,11.26,11.33,289400,11.33,,1,2012
2012-01-19,11.33,11.34,10.85,10.9,187500,10.9,,1,2012
2012-01-20,10.93,11.09,10.82,10.96,100100,10.96,,1,2012
2012-01-23,10.96,10.98,10.49,10.6,128500,10.6,,1,2012
2012-01-24,10.55,10.83,10.52,10.78,105300,10.78,53.5353535354,1,2012
2012-01-25,10.72,11.17,10.5,11.1,204300,11.1,58.3662102576,1,2012
2012-01-26,11.21,11.3,10.99,11.12,139500,11.12,58.6555336914,1,2012
2012-01-27,11.01,11.33,11.01,11.28,119100,11.28,60.9910179987,1,2012
2012-01-30,11.08,11.24,10.92,11.03,109100,11.03,55.6968813044,1,2012
2012-01-31,11.03,11.11,10.72,10.89,103800,10.89,52.926284156,1,2012
2012-02-01,10.97,11.39,10.74,11.37,226000,11.37,60.2307404539,1,2012
2012-02-02,11.44,11.5,11.14,11.22,137300,11.22,57.241537459,1,2012
2012-02-03,11.38,11.44,11.23,11.36,134800,11.36,59.2731437731,1,2012
2012-02-06,11.29,11.37,11.05,11.08,86700,11.08,53.7704445033,1,2012
2012-02-07,11.09,11.25,10.94,11.06,161800,11.06,53.3891788306,1,2012
2012-02-08,11.05,11.21,10.8,10.97,113700,10.97,51.6155535717,1,2012
2012-02-09,10.93,11.0,10.84,10.9,132600,10.9,50.2181885094,1,2012
2012-02-10,10.8,10.88,10.4,10.46,277100,10.46,42.440521844,1,2012
2012-02-13,10.54,11.15,10.54,11.05,141600,11.05,52.960899111,1,2012
2012-02-14,10.99,11.04,10.29,10.4,171100,10.4,43.5229287902,1,2012
2012-02-15,10.61,10.77,10.2,10.27,135400,10.27,41.9141419084,1,2012
2012-02-16,10.24,10.57,10.2,10.51,116600,10.51,45.8906791948,1,2012
2012-02-17,10.59,10.59,10.37,10.38,88100,10.38,44.1284198585,1,2012
2012-02-21,10.37,10.51,9.83,9.99,227800,9.99,39.2578698819,1,2012
2012-02-22,9.94,10.17,9.6,9.65,215200,9.65,35.5717930925,1,2012
2012-02-23,9.62,10.44,9.62,10.42,174300,10.42,47.5766932041,1,2012
2012-02-24,10.42,10.43,10.07,10.41,188200,10.41,47.4530300233,1,2012
2012-02-27,10.37,10.79,10.31,10.56,143600,10.56,49.5704508834,1,2012
2012-02-28,10.55,10.67,10.28,10.38,254000,10.38,47.116861991,1,2012
2012-02-29,10.44,10.61,10.41,10.43,174200,10.43,47.8884668622,1,2012
2012-03-01,10.64,11.16,10.64,11.0,309800,11.0,55.8050832029,1,2012
2012-03-02,11.16,11.2,10.92,11.0,302200,11.0,55.8050832029,1,2012
2012-03-05,10.89,11.04,10.7,11.0,231900,11.0,55.8050832029,1,2012
2012-03-06,10.85,10.89,10.55,10.65,219500,10.65,49.9818364178,1,2012
2012-03-07,10.5,10.53,9.78,10.22,613600,10.22,43.9183483248,1,2012
2012-03-08,10.35,10.59,10.12,10.4,186800,10.4,46.8263555451,1,2012
2012-03-09,10.5,10.61,10.09,10.14,209900,10.14,43.3312415585,1,2012
2012-03-12,10.1,10.25,10.01,10.04,128400,10.04,42.0317896739,1,2012
2012-03-13,10.13,10.33,10.05,10.28,173600,10.28,46.201671773,1,2012
2012-03-14,10.29,10.34,10.17,10.23,64100,10.23,45.4678647087,1,2012
2012-03-15,10.24,10.32,10.13,10.27,101300,10.27,46.2039853092,1,2012
2012-03-16,10.32,10.32,10.02,10.06,208500,10.06,42.9277255067,1,2012
2012-03-19,10.08,10.61,10.08,10.51,152800,10.51,50.9534661257,1,2012
2012-03-20,10.48,10.62,10.33,10.57,172200,10.57,51.9242212394,1,2012
2012-03-21,10.55,10.7,10.55,10.64,95000,10.64,53.0907391954,1,2012
2012-03-22,10.48,10.67,10.43,10.58,87900,10.58,51.9276797523,1,2012
2012-03-23,10.63,10.85,10.48,10.83,87600,10.83,56.2302741526,1,2012
2012-03-26,10.94,11.38,10.85,11.36,561300,11.36,63.6567053646,1,2012
2012-03-27,11.41,11.42,11.21,11.36,254400,11.36,63.6567053646,1,2012
2012-03-28,11.36,11.36,11.02,11.24,109800,11.24,60.9415506587,1,2012
2012-03-29,11.13,11.19,10.84,11.1,92700,11.1,57.8418207685,1,2012
2012-03-30,11.18,11.18,10.83,10.83,108200,10.83,52.3152116525,1,2012
2012-04-02,10.74,11.05,10.66,11.02,178000,11.02,55.534877542,2,2012
2012-04-03,11.0,11.26,10.86,11.21,152300,11.21,58.548933685,2,2012
2012-04-04,11.08,11.17,10.88,10.97,207500,10.97,53.6059709557,2,2012
2012-04-05,10.92,11.12,10.92,10.95,120000,10.95,53.2028764335,2,2012
2012-04-09,10.77,10.96,10.66,10.8,102500,10.8,50.1566102183,2,2012
2012-04-10,10.8,11.0,10.69,10.79,213400,10.79,49.9512706215,2,2012
2012-04-11,10.86,11.0,10.76,10.94,104300,10.94,53.0558445107,2,2012
2012-04-12,10.92,11.19,10.86,11.01,116000,11.01,54.47506459,2,2012
2012-04-13,10.79,11.2,10.77,11.16,154500,11.16,57.4440394256,2,2012
2012-04-16,11.22,11.22,10.81,10.96,87500,10.96,52.5253484264,2,2012
2012-04-17,11.06,11.33,11.06,11.15,212200,11.15,56.349232694,2,2012
2012-04-18,11.12,11.21,10.8,10.86,130400,10.86,49.7611044457,2,2012
2012-04-19,10.85,10.96,10.6,10.72,110700,10.72,46.9097458477,2,2012
2012-04-20,11.04,11.2,10.73,11.0,109100,11.0,52.7421841463,2,2012
2012-04-23,10.79,10.98,10.61,10.8,151600,10.8,48.6324114627,2,2012
2012-04-24,10.84,10.97,10.73,10.84,99200,10.84,49.4802930269,2,2012
2012-04-25,10.98,11.25,10.92,11.07,133200,11.07,54.1651306231,2,2012
2012-04-26,11.04,11.06,10.85,10.87,91600,10.87,49.8372558908,2,2012
2012-04-27,10.87,11.23,10.83,11.18,158100,11.18,55.7403444464,2,2012
2012-04-30,11.21,11.21,10.95,10.97,104000,10.97,51.333374294,2,2012
2012-05-01,11.02,11.2,10.88,10.96,161000,10.96,51.1260842798,2,2012
2012-05-02,10.85,11.17,10.8,11.17,138200,11.17,55.2159229335,2,2012
2012-05-03,11.0,11.0,10.45,10.52,376000,10.52,43.1732578895,2,2012
2012-05-04,10.45,10.46,9.94,10.04,444300,10.04,36.7917754151,2,2012
2012-05-07,10.0,10.38,10.0,10.26,129000,10.26,41.089749154,2,2012
2012-05-08,10.15,10.4,10.0,10.39,147700,10.39,43.5331195955,2,2012
2012-05-09,10.29,10.49,10.25,10.35,81000,10.35,42.9429301473,2,2012
2012-05-10,10.39,10.7,10.37,10.68,208000,10.68,49.0766917515,2,2012
2012-05-11,10.61,10.83,10.4,10.54,77000,10.54,46.7791241771,2,2012
2012-05-14,10.42,10.42,10.16,10.31,120300,10.31,43.200879102,2,2012
2012-05-15,10.3,10.45,10.12,10.26,98000,10.26,42.4408522372,2,2012
2012-05-16,10.25,10.42,10.11,10.26,94200,10.26,42.4408522372,2,2012
2012-05-17,10.26,10.35,10.16,10.17,95600,10.17,40.9373704417,2,2012
2012-05-18,10.16,10.26,9.66,9.7,223400,9.7,34.1363877111,2,2012
2012-05-21,9.7,9.87,9.52,9.74,246400,9.74,35.1242153414,2,2012
2012-05-22,9.75,9.97,9.5,9.57,96000,9.57,32.8679904355,2,2012
2012-05-23,9.46,9.53,8.6,8.94,458000,8.94,26.1612615328,2,2012
2012-05-24,8.98,9.34,8.75,8.8,219200,8.8,24.9432194932,2,2012
2012-05-25,8.82,8.9,8.76,8.86,100300,8.86,26.5221675029,2,2012
2012-05-29,8.9,9.01,8.55,8.74,119200,8.74,25.3725415746,2,2012
2012-05-30,8.66,8.7,8.55,8.55,185500,8.55,23.6263151059,2,2012
2012-05-31,8.56,8.63,8.22,8.49,196300,8.49,23.0859750678,2,2012
2012-06-01,8.23,8.49,8.15,8.15,211700,8.15,20.2585456537,2,2012
2012-06-04,8.17,8.4,8.12,8.27,240500,8.27,23.8054889706,2,2012
2012-06-05,8.19,8.38,8.12,8.27,152700,8.27,23.8054889706,2,2012
2012-06-06,8.35,8.62,8.31,8.56,233500,8.56,32.2515735671,2,2012
2012-06-07,8.63,8.63,8.33,8.35,145800,8.35,29.6854293746,2,2012
2012-06-08,8.3,8.35,8.19,8.21,96700,8.21,28.0812951471,2,2012
2012-06-11,8.29,8.29,7.85,7.85,150500,7.85,24.4260994052,2,2012
2012-06-12,7.87,8.12,7.64,8.1,208800,8.1,31.1302562102,2,2012
2012-06-13,8.1,8.18,7.97,7.99,130800,7.99,29.8744861363,2,2012
2012-06-14,7.99,8.13,7.88,8.05,115400,8.05,31.497700339,2,2012
2012-06-15,8.03,8.07,7.9,8.02,160100,8.02,31.1099485961,2,2012
2012-06-18,7.99,8.05,7.86,7.89,95500,7.89,29.419812809,2,2012
2012-06-19,7.92,8.0,7.66,7.82,507100,7.82,28.5212865229,2,2012
2012-06-20,7.8,8.07,7.72,7.94,141700,7.94,32.3364533155,2,2012
2012-06-21,7.9,8.07,7.79,7.86,110500,7.86,31.1430390714,2,2012
2012-06-22,7.92,8.09,7.82,8.01,449200,8.01,35.9185221135,2,2012
2012-06-25,7.86,7.98,7.7,7.74,92000,7.74,31.6619127788,2,2012
2012-06-26,7.76,7.76,7.38,7.58,169900,7.58,29.4357289147,2,2012
2012-06-27,7.39,7.6,7.37,7.44,192900,7.44,27.6066583551,2,2012
2012-06-28,7.39,7.55,7.07,7.38,313800,7.38,26.8370007912,2,2012
2012-06-29,7.54,7.88,7.26,7.77,142600,7.77,38.783720452,2,2012
2012-07-02,7.76,8.24,7.76,8.22,185900,8.22,49.1095717792,3,2012
2012-07-03,8.26,8.45,8.11,8.43,82500,8.43,53.0865040758,3,2012
2012-07-05,8.37,8.5,8.17,8.19,90700,8.19,48.4285990549,3,2012
