Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2012-05-01,6.5,7.01,5.2,5.37,676900,5.37,,2,2012
2012-05-02,5.5,5.9,5.4,5.74,55000,5.74,,2,2012
2012-05-03,6.33,6.33,5.56,6.06,99600,6.06,,2,2012
2012-05-04,6.08,6.1,5.71,5.97,26500,5.97,,2,2012
2012-05-07,5.9,6.35,5.9,6.35,51300,6.35,,2,2012
2012-05-08,6.3,6.69,5.92,6.69,37700,6.69,,2,2012
2012-05-09,6.69,6.74,6.3,6.71,65700,6.71,,2,2012
2012-05-10,6.68,6.7,6.3,6.7,8500,6.7,,2,2012
2012-05-11,6.3,6.69,6.3,6.5,7000,6.5,,2,2012
2012-05-14,6.48,6.62,6.34,6.54,13000,6.54,,2,2012
2012-05-15,6.52,6.52,6.2,6.31,15600,6.31,,2,2012
2012-05-16,6.33,6.38,6.08,6.11,27000,6.11,,2,2012
2012-05-17,6.04,6.04,5.5,5.8,20000,5.8,,2,2012
2012-05-18,5.8,6.5,5.16,6.3,77000,6.3,,2,2012
2012-05-21,6.0,6.23,5.2,5.54,9600,5.54,52.2546419098,2,2012
2012-05-22,5.64,5.97,5.5,5.5,5500,5.5,51.6643130926,2,2012
2012-05-23,5.66,6.0,5.62,5.99,11500,5.99,57.9336889729,2,2012
2012-05-24,5.99,5.99,5.5,5.98,35500,5.98,57.7690093222,2,2012
2012-05-25,5.95,5.98,5.73,5.94,6000,5.94,57.07019343,2,2012
2012-05-29,6.0,6.1,5.64,6.05,162700,6.05,58.5549587217,2,2012
2012-05-30,6.05,6.05,5.68,5.69,53600,5.69,52.1928069115,2,2012
2012-05-31,5.75,5.88,5.32,5.49,41700,5.49,49.0070606506,2,2012
2012-06-01,5.35,5.47,5.26,5.43,23000,5.43,48.0593316007,2,2012
2012-06-04,5.44,5.44,5.0,5.0,17800,5.0,41.8178320903,2,2012
2012-06-05,5.0,5.19,4.3,4.65,34600,4.65,37.5438359112,2,2012
2012-06-06,4.66,5.0,4.66,4.8,8600,4.8,40.3572779304,2,2012
2012-06-07,4.87,5.39,4.8,5.24,18600,5.24,47.7872222839,2,2012
2012-06-08,5.23,5.25,4.91,5.07,49400,5.07,45.4323145518,2,2012
2012-06-11,5.11,5.22,4.63,4.93,37500,4.93,43.5298646755,2,2012
2012-06-12,4.65,5.19,4.38,4.93,51100,4.93,43.5298646755,2,2012
2012-06-13,4.94,5.27,4.66,5.0,25900,5.0,44.8685760141,2,2012
2012-06-14,5.14,5.28,5.01,5.09,23200,5.09,46.6207207241,2,2012
2012-06-15,5.06,5.14,4.81,5.01,51200,5.01,45.2442520385,2,2012
2012-06-18,5.02,5.45,5.02,5.14,51800,5.14,47.9344006562,2,2012
2012-06-19,5.21,5.43,5.0,5.1,46100,5.1,47.1665408993,2,2012
2012-06-20,5.2,5.28,4.95,5.05,45300,5.05,46.1709114144,2,2012
2012-06-21,5.0,5.2,4.97,5.07,61800,5.07,46.6559700259,2,2012
2012-06-22,5.12,5.35,5.11,5.15,496200,5.15,48.6492515678,2,2012
2012-06-25,5.17,5.75,5.15,5.71,80800,5.71,59.9350066533,2,2012
2012-06-26,8.25,15.09,8.15,12.23,3501000,12.23,89.332147585,2,2012
2012-06-27,13.2,15.2,10.98,11.48,1506800,11.48,81.8888851901,2,2012
2012-06-28,10.45,10.94,9.66,10.3,443900,10.3,71.758328815,2,2012
2012-06-29,11.08,11.08,9.25,9.36,269500,9.36,64.8733129463,2,2012
2012-07-02,9.44,10.34,8.7,9.9,208800,9.9,66.8415501582,3,2012
2012-07-03,9.97,10.0,9.55,9.77,75500,9.77,65.8844498708,3,2012
2012-07-05,9.69,9.9,9.1,9.66,123400,9.66,65.0358600124,3,2012
2012-07-06,9.61,12.43,9.35,12.05,725800,12.05,73.1328902589,3,2012
2012-07-09,11.96,13.35,10.75,11.51,415300,11.51,69.2317738256,3,2012
2012-07-10,11.61,12.48,11.15,12.01,145300,12.01,70.7857074936,3,2012
2012-07-11,12.2,12.86,11.5,11.79,190100,11.79,69.1313014433,3,2012
2012-07-12,11.8,12.06,10.8,11.1,133900,11.1,64.0732377253,3,2012
2012-07-13,11.02,11.02,9.94,10.3,156000,10.3,58.7097716955,3,2012
2012-07-16,10.2,10.35,9.76,9.88,121400,9.88,56.0567502071,3,2012
2012-07-17,9.89,10.75,9.89,10.69,77700,10.69,59.8271184768,3,2012
2012-07-18,11.45,14.79,11.17,14.64,621100,14.64,72.3059680431,3,2012
2012-07-19,14.5,16.68,14.04,14.86,517100,14.86,72.8125163258,3,2012
2012-07-20,14.61,14.65,13.11,13.26,233600,13.26,63.6886541692,3,2012
2012-07-23,12.59,12.6,11.3,11.67,148400,11.67,56.1577946745,3,2012
2012-07-24,11.6,12.6,11.22,12.5,113000,12.5,58.890485345,3,2012
2012-07-25,12.5,14.15,12.4,12.67,127200,12.67,59.4480121379,3,2012
2012-07-26,12.79,13.33,12.11,12.89,65800,12.89,60.2002618856,3,2012
2012-07-27,13.5,13.5,12.76,12.94,78400,12.94,60.3801468114,3,2012
2012-07-30,13.78,13.78,12.86,12.97,45300,12.97,60.4955178664,3,2012
2012-07-31,12.97,13.35,12.23,12.23,35900,12.23,56.1519743103,3,2012
2012-08-01,12.35,12.72,11.78,11.98,31200,11.98,54.7224886787,3,2012
2012-08-02,11.98,12.3,11.17,11.31,49700,11.31,50.9769997905,3,2012
2012-08-03,11.5,11.93,11.5,11.81,20200,11.81,53.5330351859,3,2012
2012-08-06,11.76,11.9,11.64,11.78,15000,11.78,53.3532871751,3,2012
2012-08-07,11.81,12.7,11.81,12.25,40700,12.25,55.8541692071,3,2012
2012-08-08,12.29,12.62,12.29,12.55,16600,12.55,57.4232759358,3,2012
2012-08-09,12.24,13.2,12.24,12.92,37700,12.92,59.3426811861,3,2012
2012-08-10,13.05,13.51,12.18,12.48,28500,12.48,56.1036072819,3,2012
2012-08-13,12.25,13.45,11.6,13.23,71900,13.23,60.1012690383,3,2012
2012-08-14,13.2,13.31,12.19,12.47,54000,12.47,54.6681570309,3,2012
2012-08-15,12.5,12.84,12.09,12.82,20500,12.82,56.6133396212,3,2012
2012-08-16,12.91,12.95,12.37,12.5,11400,12.5,54.318403445,3,2012
2012-08-17,12.54,12.64,11.87,12.38,35600,12.38,53.4434949377,3,2012
2012-08-20,12.27,12.52,12.14,12.35,13800,12.35,53.212737379,3,2012
2012-08-21,12.35,12.65,11.9,12.36,17400,12.36,53.2851442076,3,2012
2012-08-22,12.18,12.4,12.02,12.35,16500,12.35,53.1964858837,3,2012
2012-08-23,12.06,12.18,11.87,11.87,19400,11.87,48.9835080282,3,2012
2012-08-24,11.85,11.85,11.21,11.38,53900,11.38,45.0603124659,3,2012
2012-08-27,11.5,11.85,11.37,11.78,35800,11.78,48.6741981474,3,2012
2012-08-28,11.72,12.75,11.72,12.25,61300,12.25,52.6180760946,3,2012
2012-08-29,12.34,12.57,12.23,12.37,19600,12.37,53.5984423501,3,2012
2012-08-30,12.24,12.47,12.01,12.29,7000,12.29,52.8138983367,3,2012
2012-08-31,12.28,12.48,12.1,12.28,14600,12.28,52.7100371781,3,2012
2012-09-04,12.19,12.25,12.11,12.2,15100,12.2,51.8318714219,3,2012
2012-09-05,12.17,12.47,12.04,12.33,7000,12.33,53.1964544879,3,2012
2012-09-06,12.4,12.85,12.12,12.3,27900,12.3,52.8245438971,3,2012
2012-09-07,12.26,12.41,11.92,12.13,20500,12.13,50.6630236232,3,2012
2012-09-10,12.1,12.15,11.5,11.85,62900,11.85,47.2347242807,3,2012
2012-09-11,11.87,11.96,11.74,11.86,16800,11.86,47.3716968649,3,2012
2012-09-12,11.82,11.95,11.53,11.76,19400,11.76,46.0834037956,3,2012
2012-09-13,11.75,11.82,11.6,11.65,24500,11.65,44.6451119645,3,2012
2012-09-14,11.64,11.68,11.4,11.43,43100,11.43,41.8329784854,3,2012
2012-09-17,11.35,11.7,11.02,11.3,29800,11.3,40.2207823236,3,2012
2012-09-18,11.21,11.21,10.7,10.96,39100,10.96,36.2824206378,3,2012
2012-09-19,11.03,11.04,10.5,10.61,43700,10.61,32.729553438,3,2012
2012-09-20,10.7,10.9,9.64,9.77,93500,9.77,26.1190319372,3,2012
2012-09-21,9.75,11.58,9.59,11.58,118400,11.58,49.6957848463,3,2012
2012-09-24,11.38,11.38,10.85,11.06,40800,11.06,45.2300967802,3,2012
2012-09-25,10.99,11.82,10.5,11.17,106300,11.17,46.3288093293,3,2012
2012-09-26,11.17,11.64,11.0,11.41,42300,11.41,48.7447364134,3,2012
2012-09-27,11.33,11.43,11.18,11.35,26300,11.35,48.1610717145,3,2012
2012-09-28,11.19,11.65,11.18,11.55,58100,11.55,50.2974483272,3,2012
2012-10-01,11.69,11.75,11.23,11.74,21600,11.74,52.3082682605,4,2012
2012-10-02,11.73,11.8,11.35,11.71,26400,11.71,51.950880442,4,2012
2012-10-03,11.64,12.71,11.64,11.81,86700,11.81,53.1011381061,4,2012
2012-10-04,11.9,12.84,11.83,12.6,65900,12.6,61.0366927922,4,2012
2012-10-05,13.03,13.03,12.67,12.85,39900,12.85,63.1610143177,4,2012
2012-10-08,12.99,13.01,12.55,12.84,73200,12.84,63.0130219156,4,2012
2012-10-09,12.95,12.95,12.55,12.77,11200,12.77,61.9193193755,4,2012
2012-10-10,12.7,13.2,12.61,12.68,26600,12.68,60.4661691271,4,2012
2012-10-11,12.99,13.2,12.51,12.87,34800,12.87,62.4686759629,4,2012
2012-10-12,12.91,13.25,12.72,12.88,43000,12.88,62.576120662,4,2012
2012-10-15,13.07,13.07,12.84,12.96,28600,12.96,63.4769303534,4,2012
2012-10-16,13.21,13.21,12.54,12.66,35300,12.66,57.8531634887,4,2012
2012-10-17,12.65,13.41,12.65,13.23,44300,13.23,64.3210418068,4,2012
2012-10-18,13.25,13.25,12.02,12.83,81900,12.83,57.6366015969,4,2012
2012-10-19,12.83,13.35,12.65,12.97,51600,12.97,59.2334675917,4,2012
2012-10-22,14.9,14.98,12.5,12.91,328900,12.91,58.2205780389,4,2012
2012-10-23,12.72,13.08,11.8,12.27,93200,12.27,48.6619079199,4,2012
2012-10-24,12.29,12.3,11.1,11.43,73400,11.43,39.496298391,4,2012
2012-10-25,11.49,11.65,10.87,11.54,52000,11.54,41.0618479363,4,2012
2012-10-26,11.53,11.89,10.95,10.95,32000,10.95,35.7226871367,4,2012
2012-10-31,10.86,11.5,10.8,11.47,49300,11.47,42.7840371154,4,2012
