Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2012-01-03,2.25,2.36,2.25,2.28,289000,2.28,,1,2012
2012-01-04,2.25,2.32,2.19,2.21,119100,2.21,,1,2012
2012-01-05,2.21,2.22,2.15,2.18,123600,2.18,,1,2012
2012-01-06,2.17,2.33,2.13,2.16,202200,2.16,,1,2012
2012-01-09,2.15,2.24,2.12,2.13,252300,2.13,,1,2012
2012-01-10,2.22,2.23,2.13,2.22,216100,2.22,,1,2012
2012-01-11,2.2,2.2,2.1,2.14,801200,2.14,,1,2012
2012-01-12,2.2,2.25,2.13,2.2,205300,2.2,,1,2012
2012-01-13,2.22,2.33,2.2,2.27,214800,2.27,,1,2012
2012-01-17,2.3,2.35,2.24,2.27,125800,2.27,,1,2012
2012-01-18,2.25,2.32,2.23,2.26,64000,2.26,,1,2012
2012-01-19,2.25,2.27,2.16,2.17,198900,2.17,,1,2012
2012-01-20,2.18,2.21,2.15,2.19,38400,2.19,,1,2012
2012-01-23,2.19,2.36,2.19,2.22,245800,2.22,,1,2012
2012-01-24,2.23,2.25,2.19,2.21,108500,2.21,44.262295082,1,2012
2012-01-25,2.2,2.23,2.15,2.2,153700,2.2,43.4944237918,1,2012
2012-01-26,2.2,2.26,2.15,2.19,112400,2.19,42.6967343501,1,2012
2012-01-27,2.21,2.3,2.16,2.21,142400,2.21,44.8742893941,1,2012
2012-01-30,2.21,2.21,2.16,2.2,61600,2.2,43.9744908691,1,2012
2012-01-31,2.18,2.2,2.13,2.2,119600,2.2,43.9744908691,1,2012
2012-02-01,2.18,2.2,2.15,2.15,99600,2.15,39.3939516014,1,2012
2012-02-02,2.17,2.18,2.05,2.14,183900,2.14,38.529532784,1,2012
2012-02-03,2.17,2.18,2.07,2.18,72300,2.18,43.8381425638,1,2012
2012-02-06,2.17,2.21,2.17,2.2,45500,2.2,46.3337168064,1,2012
2012-02-07,2.21,2.21,2.14,2.16,69900,2.16,42.286593711,1,2012
2012-02-08,2.15,2.2,2.14,2.17,112000,2.17,43.6126311799,1,2012
2012-02-09,2.15,2.2,2.15,2.17,128200,2.17,43.6126311799,1,2012
2012-02-10,2.18,2.2,2.14,2.18,163800,2.18,45.0761864873,1,2012
2012-02-13,2.17,2.21,2.17,2.2,73700,2.2,47.984078566,1,2012
2012-02-14,2.17,2.21,2.17,2.18,70400,2.18,45.3957608589,1,2012
2012-02-15,2.2,2.25,2.18,2.22,174200,2.22,51.0794044725,1,2012
2012-02-16,2.23,2.25,2.2,2.2,127100,2.2,48.3684788919,1,2012
2012-02-17,2.2,2.22,2.18,2.22,54800,2.22,51.1599464517,1,2012
2012-02-21,2.2,2.22,2.13,2.18,115900,2.18,45.8238472707,1,2012
2012-02-22,2.16,2.19,2.15,2.17,40800,2.17,44.5721982681,1,2012
2012-02-23,2.19,2.22,2.17,2.17,77600,2.17,44.5721982681,1,2012
2012-02-24,2.17,2.22,2.17,2.19,95300,2.19,47.8746705708,1,2012
2012-02-27,2.12,2.2,2.12,2.17,86500,2.17,44.9880270182,1,2012
2012-02-28,2.15,2.19,2.14,2.16,91100,2.16,43.5733320128,1,2012
2012-02-29,2.2,2.2,2.12,2.12,118700,2.12,38.3750535292,1,2012
2012-03-01,2.12,2.15,2.11,2.12,42200,2.12,38.3750535292,1,2012
2012-03-02,2.12,2.15,2.06,2.07,67400,2.07,32.7167270613,1,2012
2012-03-05,2.1,2.12,1.95,2.0,154200,2.0,26.7663904454,1,2012
2012-03-06,2.0,2.05,1.92,2.03,92500,2.03,32.4377078893,1,2012
2012-03-07,2.02,2.09,1.99,2.09,49700,2.09,42.0959318652,1,2012
2012-03-08,2.1,2.14,2.03,2.04,27600,2.04,37.3094620736,1,2012
2012-03-09,2.03,2.14,1.98,2.13,122500,2.13,48.6315995848,1,2012
2012-03-12,2.14,2.14,2.05,2.11,31000,2.11,46.6167590694,1,2012
2012-03-13,2.11,2.14,2.1,2.1,40100,2.1,45.599487814,1,2012
2012-03-14,2.1,2.16,2.1,2.16,50700,2.16,52.3222314595,1,2012
2012-03-15,2.14,2.17,2.1,2.15,47000,2.15,51.1868663648,1,2012
2012-03-16,2.14,2.24,2.13,2.19,177400,2.19,55.3596120393,1,2012
2012-03-19,2.18,2.2,2.13,2.14,94600,2.14,49.6465493243,1,2012
2012-03-20,2.1,2.11,2.0,2.07,128800,2.07,42.9619862649,1,2012
2012-03-21,2.06,2.1,2.03,2.09,68200,2.09,45.2309913808,1,2012
2012-03-22,2.04,2.08,2.03,2.03,145200,2.03,40.0798538117,1,2012
2012-03-23,2.03,2.09,2.02,2.06,48200,2.06,43.5420136475,1,2012
2012-03-26,2.09,2.14,2.05,2.09,53700,2.09,46.8492722039,1,2012
2012-03-27,2.1,2.11,2.06,2.11,33900,2.11,48.9944041661,1,2012
2012-03-28,2.11,2.11,2.02,2.02,106900,2.02,40.9793407522,1,2012
2012-03-29,2.16,2.18,2.05,2.05,223400,2.05,44.25308501,1,2012
2012-03-30,2.08,2.09,2.03,2.04,149600,2.04,43.389141826,1,2012
2012-04-02,2.05,2.05,2.01,2.03,128100,2.03,42.4956898821,2,2012
2012-04-03,2.01,2.03,1.96,2.0,273500,2.0,39.8449371266,2,2012
2012-04-04,1.99,2.03,1.95,1.96,116500,1.96,36.5695172182,2,2012
2012-04-05,1.98,1.98,1.87,1.9,248000,1.9,32.2826593521,2,2012
2012-04-09,1.9,1.9,1.86,1.87,275200,1.87,30.365928596,2,2012
2012-04-10,1.86,1.89,1.78,1.78,203500,1.78,25.4785833109,2,2012
2012-04-11,1.81,1.81,1.78,1.78,148400,1.78,25.4785833109,2,2012
2012-04-12,1.8,1.88,1.8,1.86,79300,1.86,36.083689012,2,2012
2012-04-13,1.85,1.87,1.8,1.8,55400,1.8,32.363727999,2,2012
2012-04-16,1.8,1.83,1.78,1.78,75900,1.78,31.2087665449,2,2012
2012-04-17,1.82,1.85,1.8,1.81,41700,1.81,34.9582962547,2,2012
2012-04-18,1.81,1.92,1.64,1.69,242600,1.69,28.3110179452,2,2012
2012-04-19,1.7,1.95,1.7,1.89,257300,1.89,46.5523218954,2,2012
2012-04-20,1.9,1.91,1.81,1.84,79200,1.84,43.5676776744,2,2012
2012-04-23,1.86,1.92,1.73,1.92,145900,1.92,49.1817219478,2,2012
2012-04-24,1.9,2.1,1.9,2.03,324300,2.03,55.7066250248,2,2012
2012-04-25,2.05,2.19,2.03,2.15,204900,2.15,61.5122605537,2,2012
2012-04-26,2.11,2.19,2.1,2.17,80700,2.17,62.3969035358,2,2012
2012-04-27,2.15,2.18,2.05,2.11,50900,2.11,58.0836455284,2,2012
2012-04-30,2.1,2.16,2.07,2.16,77000,2.16,60.5320884417,2,2012
2012-05-01,2.14,2.15,2.05,2.05,76000,2.05,53.1732830475,2,2012
2012-05-02,2.05,2.08,2.04,2.05,50900,2.05,53.1732830475,2,2012
2012-05-03,2.03,2.03,1.99,2.0,39000,2.0,49.9708151845,2,2012
2012-05-04,2.0,2.1,1.95,2.04,72100,2.04,52.438671941,2,2012
2012-05-07,2.02,2.09,1.98,2.02,47000,2.02,51.0818653116,2,2012
2012-05-08,2.01,2.06,2.0,2.03,48400,2.03,51.754039631,2,2012
2012-05-09,2.02,2.08,1.96,2.01,82000,2.01,50.2663775428,2,2012
2012-05-10,2.07,2.18,2.05,2.14,212000,2.14,58.5971986445,2,2012
2012-05-11,2.15,2.15,2.08,2.14,34500,2.14,58.5971986445,2,2012
2012-05-14,2.12,2.12,2.03,2.03,54900,2.03,50.3246851987,2,2012
2012-05-15,2.06,2.08,1.91,1.91,147000,1.91,43.1654003097,2,2012
2012-05-16,1.93,1.95,1.89,1.89,57700,1.89,42.0906498447,2,2012
2012-05-17,1.9,1.95,1.72,1.76,144100,1.76,35.8435196455,2,2012
2012-05-18,1.74,1.74,1.66,1.66,97800,1.66,31.9190078315,2,2012
2012-05-21,1.66,1.83,1.66,1.78,95700,1.78,40.358043174,2,2012
2012-05-22,1.75,1.83,1.75,1.78,71000,1.78,40.358043174,2,2012
2012-05-23,1.8,1.85,1.72,1.84,54000,1.84,44.3576024301,2,2012
2012-05-24,1.83,1.83,1.76,1.83,14900,1.83,43.8300499728,2,2012
2012-05-25,1.81,1.87,1.76,1.77,50000,1.77,40.7021632819,2,2012
2012-05-29,1.78,1.84,1.77,1.84,56000,1.84,45.5814618161,2,2012
2012-05-30,1.82,1.88,1.78,1.82,45200,1.82,44.4559120439,2,2012
2012-05-31,1.83,1.88,1.77,1.85,65600,1.85,46.586518714,2,2012
2012-06-01,1.8,1.85,1.77,1.82,56900,1.82,44.738397102,2,2012
2012-06-04,1.8,1.88,1.8,1.86,103200,1.86,47.7166210724,2,2012
2012-06-05,1.84,1.93,1.84,1.87,37800,1.87,48.4643875819,2,2012
2012-06-06,1.85,2.11,1.85,2.07,237200,2.07,60.6011016592,2,2012
2012-06-07,2.13,2.17,1.93,2.05,176500,2.05,59.1021701445,2,2012
2012-06-08,2.0,2.3,1.96,2.27,315500,2.27,68.3699963643,2,2012
2012-06-11,2.25,2.45,2.2,2.22,276300,2.22,64.7772063181,2,2012
2012-06-12,2.22,2.22,2.11,2.11,184700,2.11,57.6052782517,2,2012
2012-06-13,2.1,2.12,2.05,2.1,61400,2.1,56.9875665598,2,2012
2012-06-14,2.08,2.11,2.01,2.03,39200,2.03,52.7254387524,2,2012
2012-06-15,2.02,2.06,2.01,2.01,99500,2.01,51.5393907253,2,2012
2012-06-18,2.0,2.07,2.0,2.01,47200,2.01,51.5393907253,2,2012
2012-06-19,2.05,2.07,2.02,2.02,13800,2.02,52.1633868152,2,2012
2012-06-20,2.03,2.07,2.03,2.05,31700,2.05,54.0739357487,2,2012
2012-06-21,2.03,2.1,2.0,2.07,46500,2.07,55.354120209,2,2012
2012-06-22,2.1,2.1,2.03,2.05,7000,2.05,53.740866508,2,2012
2012-06-25,1.98,2.07,1.98,2.04,39100,2.04,52.9105386893,2,2012
2012-06-26,2.05,2.12,2.01,2.1,63900,2.1,57.184958973,2,2012
2012-06-27,2.11,2.11,2.05,2.08,21000,2.08,55.3803922042,2,2012
2012-06-28,2.06,2.07,2.04,2.05,11500,2.05,52.6942422835,2,2012
2012-06-29,2.1,2.2,2.06,2.11,102100,2.11,57.1687909313,2,2012
2012-07-02,2.1,2.2,2.08,2.2,43500,2.2,62.8457943302,3,2012
2012-07-03,2.17,2.17,2.14,2.15,156300,2.15,58.2283124278,3,2012
2012-07-05,2.14,2.24,2.11,2.24,47500,2.24,63.4359469884,3,2012
2012-07-06,2.23,2.28,2.19,2.24,46400,2.24,63.4359469884,3,2012
