Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2012-01-03,1.28,1.29,1.2,1.27,95000,1.27,,1,2012
2012-01-04,1.27,1.38,1.23,1.36,358300,1.36,,1,2012
2012-01-05,1.38,1.6,1.35,1.57,1443700,1.57,,1,2012
2012-01-06,1.55,1.73,1.55,1.64,1165400,1.64,,1,2012
2012-01-09,1.64,1.7,1.56,1.64,434900,1.64,,1,2012
2012-01-10,1.73,1.73,1.56,1.64,420100,1.64,,1,2012
2012-01-11,1.65,1.75,1.61,1.74,572900,1.74,,1,2012
2012-01-12,1.7,1.92,1.69,1.85,947300,1.85,,1,2012
2012-01-13,1.84,1.93,1.82,1.84,515300,1.84,,1,2012
2012-01-17,1.82,1.91,1.82,1.89,254900,1.89,,1,2012
2012-01-18,1.93,2.0,1.89,1.93,573100,1.93,,1,2012
2012-01-19,1.9,1.99,1.9,1.98,353300,1.98,,1,2012
2012-01-20,1.99,2.2,1.9,2.18,1051800,2.18,,1,2012
2012-01-23,2.21,2.35,2.14,2.27,928200,2.27,,1,2012
2012-01-24,2.25,2.29,2.19,2.25,373700,2.25,97.1153846154,1,2012
2012-01-25,2.25,2.25,2.15,2.2,346200,2.2,92.3347398031,1,2012
2012-01-26,2.2,2.2,1.71,1.75,1325400,1.75,62.5100710467,1,2012
2012-01-27,1.69,2.15,1.67,2.1,1039400,2.1,70.4931953935,1,2012
2012-01-30,2.12,2.27,2.07,2.16,767500,2.16,71.6092934869,1,2012
2012-01-31,2.13,2.23,1.95,2.09,507700,2.09,68.3605372544,1,2012
2012-02-01,2.03,2.21,2.03,2.15,409300,2.15,69.632275919,1,2012
2012-02-02,2.14,2.21,2.05,2.17,364300,2.17,70.0642153477,1,2012
2012-02-03,2.24,2.35,2.17,2.3,532400,2.3,72.7748950708,1,2012
2012-02-06,2.25,2.5,2.25,2.47,601600,2.47,75.8539906992,1,2012
2012-02-07,2.5,2.54,2.36,2.41,309500,2.41,72.7276232368,1,2012
2012-02-08,2.4,2.55,2.33,2.53,286100,2.53,74.9512520357,1,2012
2012-02-09,2.6,2.75,2.58,2.69,664300,2.69,77.5764772329,1,2012
2012-02-10,2.71,2.71,2.56,2.71,261900,2.71,77.8884342323,1,2012
