Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2012-01-03,28.65,29.51,28.65,29.42,26100,29.42,,1,2012
2012-01-04,29.1,29.15,29.1,29.15,2000,29.15,,1,2012
2012-01-05,29.15,29.15,29.1,29.1,900,29.1,,1,2012
2012-01-06,29.1,29.1,29.0,29.1,1300,29.1,,1,2012
2012-01-09,29.1,29.299999,29.1,29.25,144400,29.25,,1,2012
2012-01-10,29.0,29.98,29.0,29.65,24700,29.65,,1,2012
2012-01-11,29.6,32.799999,29.6,32.0,21000,32.0,,1,2012
2012-01-12,30.0,32.25,30.0,32.0,9300,32.0,,1,2012
2012-01-13,32.0,33.0,32.0,32.5,2900,32.5,,1,2012
2012-01-17,32.5,32.75,32.0,32.25,9900,32.25,,1,2012
2012-01-18,32.75,33.0,32.0,32.25,7500,32.25,,1,2012
2012-01-19,32.0,32.650002,32.0,32.450001,8400,32.450001,,1,2012
2012-01-20,32.25,32.25,32.0,32.0,4600,32.0,,1,2012
2012-01-23,32.16,32.25,31.799999,31.799999,7800,31.799999,,1,2012
2012-01-24,32.0,32.0,31.75,31.75,2400,31.75,73.9219614284,1,2012
2012-01-25,30.0,31.9,30.0,31.75,1100,31.75,73.9219614284,1,2012
2012-01-26,31.9,31.9,31.75,31.75,1300,31.75,73.9219614284,1,2012
2012-01-27,31.700001,31.700001,31.6,31.700001,1200,31.700001,72.9860684286,1,2012
2012-01-30,31.65,31.74,31.6,31.65,2700,31.65,72.0042907608,1,2012
2012-01-31,31.6,31.799999,31.5,31.75,3600,31.75,72.7925463704,1,2012
2012-02-01,31.5,31.799999,31.5,31.629999,3300,31.629999,70.2368448097,1,2012
2012-02-02,31.0,32.25,30.5,31.450001,5300,31.450001,66.4672190813,1,2012
2012-02-03,31.5,31.75,31.4,31.75,2100,31.75,69.4136589146,1,2012
2012-02-06,31.4,31.75,31.299999,31.5,5400,31.5,64.3400792706,1,2012
2012-02-07,31.549999,31.65,31.1,31.549999,4000,31.549999,64.8927573739,1,2012
2012-02-08,31.049999,31.6,31.049999,31.6,7000,31.6,65.4691275385,1,2012
2012-02-09,31.0,31.5,30.950001,31.5,18400,31.5,63.2332089518,1,2012
2012-02-10,31.5,34.950001,31.5,34.75,137300,34.75,83.2522642025,1,2012
2012-02-13,34.75,35.0,34.599998,35.0,34900,35.0,83.9750758861,1,2012
2012-02-14,34.0,35.75,33.099998,35.75,20700,35.75,85.9360914267,1,2012
2012-02-15,35.5,35.740002,35.099998,35.5,16900,35.5,82.3198848101,1,2012
2012-02-16,35.099998,38.5,35.099998,36.599998,6100,36.599998,85.2591385186,1,2012
2012-02-17,36.5,36.889999,36.0,36.889999,7100,36.889999,85.9235504109,1,2012
2012-02-21,37.5,37.5,37.0,37.23,8100,37.23,86.6814915911,1,2012
2012-02-22,37.25,37.5,37.25,37.5,3700,37.5,87.2677844569,1,2012
2012-02-23,37.299999,38.389999,37.299999,38.389999,6800,38.389999,88.9885235057,1,2012
