Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2015-01-30,10.0,10.49,9.21,9.4,1279100,9.4,,1,2015
2015-02-02,9.55,9.9,9.4,9.5,70900,9.5,,1,2015
2015-02-03,9.51,9.67,9.25,9.5,51900,9.5,,1,2015
2015-02-04,9.6,9.6,9.25,9.38,35200,9.38,,1,2015
2015-02-05,9.22,9.4,9.15,9.33,53100,9.33,,1,2015
2015-02-06,9.27,9.35,9.027,9.29,38000,9.29,,1,2015
2015-02-09,9.16,9.3,9.1,9.1,14000,9.1,,1,2015
2015-02-10,9.15,9.3,9.08,9.08,28100,9.08,,1,2015
2015-02-11,9.02,9.49,9.02,9.49,23000,9.49,,1,2015
2015-02-12,9.5,9.5,9.27,9.5,22700,9.5,,1,2015
2015-02-13,9.5,9.5,9.271,9.34,18300,9.34,,1,2015
2015-02-17,9.22,9.45,9.22,9.26,19800,9.26,,1,2015
2015-02-18,9.356,10.2,9.356,10.2,53000,10.2,,1,2015
2015-02-19,10.0,10.25,9.62,9.97,33200,9.97,,1,2015
2015-02-20,9.66,10.25,9.66,10.14,34200,10.14,64.6825396825,1,2015
2015-02-23,10.2,10.2,9.75,10.15,24200,10.15,64.8328267477,1,2015
2015-02-24,10.8,12.84,10.55,12.52,549800,12.52,83.142050167,1,2015
2015-02-25,12.67,14.678,12.55,13.4,388200,13.4,86.0468916579,1,2015
2015-02-26,13.54,14.49,12.78,14.47,183600,14.47,88.6155943126,1,2015
2015-02-27,14.89,14.97,13.12,13.43,154000,13.43,74.298437168,1,2015
2015-03-02,15.0,20.18,14.25,17.42,868200,17.42,84.5870474698,1,2015
2015-03-03,18.0,21.0,17.6,18.440001,574000,18.440001,86.1170474024,1,2015
2015-03-04,18.370001,18.85,15.2,16.379999,332900,16.379999,70.825629948,1,2015
2015-03-05,16.41,18.85,16.41,17.209999,104200,17.209999,72.9126216445,1,2015
2015-03-06,17.1,17.969999,16.75,17.57,106300,17.57,73.7884563105,1,2015
2015-03-09,17.33,18.275,16.700001,17.379999,64600,17.379999,72.4568631733,1,2015
2015-03-10,17.43,17.5,16.01,16.190001,128700,16.190001,64.5944904476,1,2015
2015-03-11,16.16,16.940001,16.040001,16.34,87200,16.34,65.1084409451,1,2015
2015-03-12,16.4,16.549999,13.49,14.25,143600,14.25,53.4632106059,1,2015
2015-03-13,14.24,14.351,13.5,13.75,112700,13.75,51.1081123568,1,2015
2015-03-16,13.73,15.199,13.6,15.01,165100,15.01,56.3288712303,1,2015
2015-03-17,15.0,16.997,15.0,16.459999,117000,16.459999,61.4327188023,1,2015
2015-03-18,16.6,17.57,15.317,16.559999,129600,16.559999,61.7646024608,1,2015
2015-03-19,16.42,17.15,15.289,15.6,137500,15.6,56.7185962325,1,2015
2015-03-20,15.58,16.93,14.0,14.2,212900,14.2,50.2687658578,1,2015
2015-03-23,14.06,16.4,14.0,15.72,86900,15.72,56.1050640709,1,2015
2015-03-24,15.71,16.75,14.55,15.32,44500,15.32,54.2991287759,1,2015
2015-03-25,15.29,15.934,13.81,14.62,61500,14.62,51.1935799885,1,2015
2015-03-26,14.21,14.518,13.95,14.34,34000,14.34,49.9626436866,1,2015
2015-03-27,14.44,14.99,13.8,14.3,28900,14.3,49.7785035086,1,2015
2015-03-30,14.5,14.99,13.66,14.31,33900,14.31,49.8282871625,1,2015
2015-03-31,14.42,14.94,13.83,14.04,26300,14.04,48.4323023893,1,2015
2015-04-01,13.95,14.9,13.95,14.41,19800,14.41,50.4797382127,2,2015
2015-04-02,14.55,14.582,13.735,13.9,21200,13.9,47.6702139147,2,2015
2015-04-06,13.9,14.45,13.5,13.96,63700,13.96,48.0366335476,2,2015
2015-04-07,13.84,14.06,13.5,13.6,46500,13.6,45.9573180705,2,2015
2015-04-08,13.5,13.758,13.5,13.5,26100,13.5,45.3698325314,2,2015
2015-04-09,13.63,13.94,12.53,12.76,24300,12.76,41.1751938285,2,2015
2015-04-10,12.7,12.7,11.657,12.4,43700,12.4,39.2729074338,2,2015
2015-04-13,12.28,12.807,11.75,12.24,55600,12.24,38.4232640686,2,2015
2015-04-14,12.17,13.021,11.983,12.89,19600,12.89,43.7475695505,2,2015
2015-04-15,13.11,13.4,12.34,12.72,56400,12.72,42.7074805559,2,2015
2015-04-16,12.78,13.0,12.2,12.44,38100,12.44,40.9793542748,2,2015
2015-04-17,12.559,12.6,12.3,12.45,18900,12.45,41.0710664,2,2015
2015-04-20,12.547,13.16,12.41,12.74,73100,12.74,43.7984952219,2,2015
2015-04-21,12.74,13.17,12.38,12.39,46200,12.39,41.3132516898,2,2015
2015-04-22,12.38,12.84,12.38,12.48,15600,12.48,42.2211512282,2,2015
2015-04-23,12.38,12.408,11.8,12.15,38600,12.15,39.7904440269,2,2015
2015-04-24,11.7,12.44,11.53,11.74,65100,11.74,36.9446179365,2,2015
2015-04-27,11.2,12.11,11.2,11.98,73500,11.98,39.6648864452,2,2015
2015-04-28,11.745,11.86,11.0,11.41,141100,11.41,35.7231493945,2,2015
2015-04-29,11.26,11.51,11.16,11.5,21900,11.5,36.7912471269,2,2015
2015-04-30,11.2,11.97,10.75,10.91,85900,10.91,32.9282909626,2,2015
2015-05-01,11.0,11.31,10.5,11.1,104900,11.1,35.2847933569,2,2015
2015-05-04,10.93,11.274,10.9,11.18,24200,11.18,36.2996194126,2,2015
2015-05-05,11.06,11.35,11.02,11.14,41300,11.14,35.9956776979,2,2015
2015-05-06,11.02,11.272,10.12,10.35,67500,10.35,30.5542629141,2,2015
2015-05-07,10.5,10.99,10.0,10.19,46400,10.19,29.5789981957,2,2015
2015-05-08,10.27,10.522,10.0,10.25,47800,10.25,30.4752011966,2,2015
2015-05-11,10.92,10.96,10.23,10.62,41000,10.62,35.8932522932,2,2015
2015-05-12,10.52,11.665,10.36,11.33,96900,11.33,44.7852576154,2,2015
2015-05-13,11.38,11.86,11.04,11.22,93200,11.22,43.7722473785,2,2015
2015-05-14,11.5,11.51,10.0,10.86,93900,10.86,40.5403280281,2,2015
2015-05-15,11.1,12.94,11.1,12.27,161100,12.27,54.660492698,2,2015
2015-05-18,12.4,12.4,11.75,12.4,49600,12.4,55.7049281056,2,2015
2015-05-19,12.4,12.4,11.67,11.96,69600,11.96,51.3899646989,2,2015
