Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2012-01-03,5.15,5.23,4.84,4.96,2162700,19.84,,1,2012
2012-01-04,4.95,4.95,4.67,4.69,2574000,18.76,,1,2012
2012-01-05,4.66,4.78,4.59,4.76,3215900,19.040001,,1,2012
2012-01-06,4.79,5.15,4.76,4.99,3090500,19.959999,,1,2012
2012-01-09,5.09,5.14,4.95,5.1,1570200,20.4,,1,2012
2012-01-10,5.09,5.22,4.97,5.15,2954700,20.6,,1,2012
2012-01-11,5.11,5.26,5.07,5.23,1092100,20.92,,1,2012
2012-01-12,5.25,5.25,5.12,5.13,1997400,20.52,,1,2012
2012-01-13,5.08,5.19,5.01,5.07,1141100,20.280001,,1,2012
2012-01-17,5.13,5.16,4.9,4.93,1839800,19.719999,,1,2012
2012-01-18,4.93,5.08,4.89,5.02,2112000,20.08,,1,2012
2012-01-19,5.09,5.24,5.02,5.16,1753600,20.639999,,1,2012
2012-01-20,5.16,5.17,5.01,5.1,1455100,20.4,,1,2012
2012-01-23,5.11,5.18,5.05,5.09,981500,20.360001,,1,2012
2012-01-24,5.05,5.37,5.02,5.33,2497100,21.32,61.2121246097,1,2012
2012-01-25,5.34,5.55,5.3,5.5,3341000,22.0,65.0860301326,1,2012
2012-01-26,5.56,5.59,5.34,5.41,1754800,21.639999,61.5795680331,1,2012
2012-01-27,5.36,5.5,5.33,5.48,1034900,21.92,63.2384509253,1,2012
2012-01-30,5.4,5.44,5.29,5.33,1367200,21.32,57.5083683311,1,2012
2012-01-31,5.38,5.46,5.22,5.29,1067000,21.16,56.0498642793,1,2012
2012-02-01,5.33,5.53,5.27,5.47,2203600,21.879999,60.860361799,1,2012
2012-02-02,5.47,5.52,5.3,5.43,1461600,21.719999,59.3068749269,1,2012
2012-02-03,5.5,6.02,5.47,5.97,5702100,23.879999,70.3208292675,1,2012
2012-02-06,6.02,6.05,5.71,5.94,3911800,23.76,69.2002604916,1,2012
2012-02-07,5.86,5.94,5.82,5.85,2084200,23.4,65.8120564802,1,2012
2012-02-08,5.86,5.95,5.82,5.86,1291100,23.440001,66.0111929373,1,2012
2012-02-09,5.86,5.91,5.55,5.58,3434400,22.32,56.149413833,1,2012
