Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2012-01-03,1.26,1.42,1.26,1.38,505800,1.38,,1,2012
2012-01-04,1.39,1.39,1.36,1.38,85700,1.38,,1,2012
2012-01-05,1.37,1.39,1.34,1.38,128200,1.38,,1,2012
2012-01-06,1.36,1.45,1.34,1.45,137900,1.45,,1,2012
2012-01-09,1.45,1.58,1.4,1.54,399800,1.54,,1,2012
2012-01-10,1.55,1.55,1.46,1.55,119700,1.55,,1,2012
2012-01-11,1.55,1.63,1.52,1.56,518800,1.56,,1,2012
2012-01-12,1.59,1.6,1.55,1.55,155300,1.55,,1,2012
2012-01-13,1.53,1.53,1.49,1.5,117300,1.5,,1,2012
2012-01-17,1.54,1.59,1.49,1.49,111300,1.49,,1,2012
2012-01-18,1.5,1.53,1.5,1.52,35800,1.52,,1,2012
2012-01-19,1.55,1.56,1.52,1.53,63500,1.53,,1,2012
2012-01-20,1.54,1.56,1.53,1.53,35300,1.53,,1,2012
2012-01-23,1.55,1.55,1.41,1.42,161500,1.42,,1,2012
2012-01-24,1.41,1.46,1.32,1.44,215000,1.44,57.1428571429,1,2012
2012-01-25,1.42,1.48,1.36,1.48,99900,1.48,61.1295681063,1,2012
2012-01-26,1.47,1.47,1.4,1.4,113800,1.4,50.9261230573,1,2012
2012-01-27,1.41,1.41,1.34,1.36,187600,1.36,46.7264722235,1,2012
2012-01-30,1.37,1.37,1.31,1.31,270100,1.31,42.0576022939,1,2012
2012-01-31,1.3,1.35,1.29,1.32,202600,1.32,43.2783125759,1,2012
2012-02-01,1.4,1.4,1.31,1.32,157900,1.32,43.2783125759,1,2012
2012-02-02,1.35,1.35,1.27,1.29,295400,1.29,40.3226438183,1,2012
2012-02-03,2.2,3.01,2.18,2.99,13166100,2.99,88.451882369,1,2012
2012-02-06,3.5,4.08,3.28,3.38,19764200,3.38,90.3705555944,1,2012
2012-02-07,3.21,3.6,2.91,3.29,5179000,3.29,86.7870560105,1,2012
2012-02-08,3.45,3.58,3.29,3.5,2746900,3.5,87.9843207726,1,2012
2012-02-09,3.48,3.53,3.17,3.22,1747500,3.22,77.8545828666,1,2012
2012-02-10,3.2,3.22,2.96,3.12,1802200,3.12,74.5532730033,1,2012
2012-02-13,3.25,3.28,2.97,3.06,1298100,3.06,72.565048014,1,2012
2012-02-14,3.0,3.07,2.9,3.0,1708500,3.0,70.5391675017,1,2012
2012-02-15,2.98,3.58,2.94,3.44,2678100,3.44,75.8613064681,1,2012
2012-02-16,3.42,3.87,3.41,3.46,4507200,3.46,76.0728955931,1,2012
2012-02-17,3.61,3.68,3.3,3.53,1311600,3.53,76.8381495136,1,2012
2012-02-21,5.87,6.65,4.96,5.01,28021100,5.01,86.5978729088,1,2012
2012-02-22,5.18,6.14,5.07,6.03,16510900,6.03,89.7907445852,1,2012
2012-02-23,6.25,6.32,5.56,5.91,7754200,5.91,87.1599292835,1,2012
2012-02-24,5.88,6.3,5.62,6.08,4474400,6.08,87.7093269506,1,2012
2012-02-27,6.09,6.18,5.8,5.86,2101700,5.86,82.7734009758,1,2012
2012-02-28,5.9,5.9,5.12,5.22,3608600,5.22,70.3672900007,1,2012
2012-02-29,5.06,5.36,4.94,5.19,2671300,5.19,69.838883546,1,2012
2012-03-01,5.17,5.28,5.0,5.06,1377700,5.06,67.4743642071,1,2012
