Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2012-01-03,22.500002,22.739999,20.350005,20.500005,1129200,15.62413,,1,2012
2012-01-04,20.290003,20.590002,19.380003,19.580003,785400,14.922948,,1,2012
2012-01-05,19.490005,20.309995,19.370001,20.02,798300,15.258293,,1,2012
2012-01-06,20.02,20.650006,19.850006,20.200007,655200,15.395486,,1,2012
2012-01-09,13.790005,16.460005,12.909999,16.39,8365800,12.491679,,1,2012
2012-01-10,16.489999,16.9,15.769996,16.539999,1921100,12.606002,,1,2012
2012-01-11,16.450001,18.110001,16.410005,17.620004,1888600,13.42913,,1,2012
2012-01-12,17.610002,17.830006,17.110002,17.670004,811200,13.467237,,1,2012
2012-01-13,17.4,18.220003,17.289998,18.099998,715900,13.794958,,1,2012
2012-01-17,18.290008,18.659999,17.960002,18.280005,727400,13.932151,,1,2012
2012-01-18,18.220003,18.749997,18.099998,18.549998,572200,14.137927,,1,2012
2012-01-19,18.590007,18.859999,18.280005,18.41,286400,14.031228,,1,2012
2012-01-20,18.370002,18.56,18.060001,18.149999,739600,13.833067,,1,2012
2012-01-23,18.180005,18.26,17.799999,17.960002,430500,13.68826,,1,2012
2012-01-24,17.889996,18.170003,17.539998,17.949998,397700,13.680636,34.278650317,1,2012
2012-01-25,18.060001,18.31,17.860001,18.099998,393300,13.794958,35.5621395448,1,2012
2012-01-26,18.21,18.520003,17.930007,18.249998,469600,13.909281,36.8894610341,1,2012
2012-01-27,18.139996,18.940007,18.139996,18.820001,650900,14.343711,41.7958277981,1,2012
2012-01-30,18.590007,19.420001,18.590007,19.370001,600100,14.762894,46.1463538136,1,2012
2012-01-31,18.590007,18.659999,17.430007,17.739996,927300,13.520582,37.2580403252,1,2012
2012-02-01,17.880006,18.699997,17.880006,18.570003,764300,14.153174,43.2519552328,1,2012
2012-02-02,18.549998,18.76,17.799999,17.899999,658100,13.642529,39.9353762359,1,2012
2012-02-03,18.270003,18.749997,18.270003,18.599997,490100,14.176034,44.705914408,1,2012
2012-02-06,18.46,18.720002,18.220003,18.31,383200,13.955012,43.1759810207,1,2012
2012-02-07,18.21,18.270003,17.799999,17.949998,608100,13.680636,41.2870475309,1,2012
2012-02-08,17.949998,18.199998,17.549999,17.899999,558800,13.642529,41.0186373381,1,2012
2012-02-09,17.989996,17.989996,17.270005,17.35,448700,13.223346,38.0855249278,1,2012
2012-02-10,16.610004,16.850001,15.690001,16.529996,1063700,12.598378,34.1631898177,1,2012
2012-02-13,16.800001,18.609999,16.800001,18.120003,1332100,13.810205,45.8158380735,1,2012
2012-02-14,18.099998,18.270003,17.810001,18.099998,753800,13.794958,45.7062256765,1,2012
