Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2012-01-03,1.61,1.61,1.52,1.59,3600,1.59,,1,2012
2012-01-04,1.58,1.62,1.52,1.62,22400,1.62,,1,2012
2012-01-05,1.65,1.65,1.62,1.62,2100,1.62,,1,2012
2012-01-06,1.63,1.74,1.63,1.63,4200,1.63,,1,2012
2012-01-09,1.63,1.65,1.63,1.65,10600,1.65,,1,2012
2012-01-10,1.64,1.69,1.64,1.69,300,1.69,,1,2012
2012-01-11,1.7,1.75,1.65,1.75,15100,1.75,,1,2012
2012-01-12,1.8,1.95,1.8,1.95,5300,1.95,,1,2012
2012-01-13,1.98,2.15,1.98,2.15,9600,2.15,,1,2012
2012-01-17,2.28,2.45,2.15,2.42,27200,2.42,,1,2012
2012-01-18,2.42,2.45,2.27,2.45,8500,2.45,,1,2012
2012-01-19,2.23,2.53,2.23,2.5,14100,2.5,,1,2012
2012-01-20,2.59,2.66,2.5,2.66,24900,2.66,,1,2012
2012-01-23,2.55,2.55,2.5,2.54,2300,2.54,,1,2012
2012-01-24,2.5,2.5,2.36,2.46,8900,2.46,84.2519685039,1,2012
2012-01-25,2.4,2.4,2.3,2.4,20800,2.4,80.1729106628,1,2012
2012-01-26,2.35,2.42,2.35,2.42,8800,2.42,80.5116137186,1,2012
2012-01-27,2.21,2.41,2.21,2.35,3800,2.35,75.6411427348,1,2012
2012-01-30,2.11,2.21,2.11,2.15,9700,2.15,63.771084015,1,2012
2012-01-31,2.17,2.2,2.0,2.08,14300,2.08,60.2097373797,1,2012
2012-02-01,1.93,2.1,1.92,2.09,8900,2.09,60.5486896315,1,2012
2012-02-02,2.11,2.5,2.11,2.5,600,2.5,71.3315588315,1,2012
2012-02-03,2.23,2.23,2.0,2.2,22400,2.2,58.6909947158,1,2012
2012-02-06,1.97,2.08,1.96,2.08,11300,2.08,54.5285064874,1,2012
2012-02-07,2.02,2.1,2.0,2.0,6900,2.0,51.8865262274,1,2012
2012-02-08,2.15,2.15,2.02,2.12,6800,2.12,55.3789109061,1,2012
2012-02-09,2.12,2.5,2.12,2.37,35500,2.37,61.627957009,1,2012
2012-02-10,2.46,2.49,2.34,2.34,8200,2.34,60.5324188221,1,2012
2012-02-13,2.44,2.44,2.29,2.37,8400,2.37,61.2737962491,1,2012
2012-02-14,2.43,2.5,2.32,2.36,4000,2.36,60.8633858231,1,2012
2012-02-15,2.5,2.5,2.32,2.39,13400,2.39,61.6923486596,1,2012
