Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2013-12-12,7.0,7.3,6.91,7.0,1516800,7.0,,4,2013
2013-12-13,7.05,7.2,7.0,7.02,85000,7.02,,4,2013
2013-12-16,7.1,7.27,7.0,7.21,119200,7.21,,4,2013
2013-12-17,7.44,7.44,7.0,7.01,18400,7.01,,4,2013
2013-12-18,7.05,7.18,7.002,7.15,47500,7.15,,4,2013
2013-12-19,7.17,7.17,7.0,7.0,62800,7.0,,4,2013
2013-12-20,7.17,8.15,7.1,7.59,373900,7.59,,4,2013
2013-12-23,7.81,8.38,7.45,7.45,112000,7.45,,4,2013
2013-12-24,7.56,7.89,7.51,7.78,37600,7.78,,4,2013
2013-12-26,7.8,8.26,7.65,8.21,490800,8.21,,4,2013
2013-12-27,8.5,8.75,8.21,8.49,175300,8.49,,4,2013
2013-12-30,8.98,10.12,8.75,10.0,289600,10.0,,4,2013
2013-12-31,10.31,10.31,9.48,9.52,103700,9.52,,4,2013
2014-01-02,10.22,10.97,9.5,10.55,175600,10.55,,1,2014
2014-01-03,10.55,10.76,10.2,10.48,69900,10.48,81.2949640288,1,2014
2014-01-06,10.8,11.24,9.5,10.34,167200,10.34,79.1487068966,1,2014
2014-01-07,10.9,10.9,9.5,9.68,80300,9.68,69.7938747168,1,2014
2014-01-08,9.26,10.25,9.25,9.71,52800,9.71,69.9676322939,1,2014
2014-01-09,10.0,10.0,8.79,8.84,85800,8.84,59.3121090389,1,2014
2014-01-10,8.74,9.3,8.53,9.275,87900,9.275,62.3957855457,1,2014
2014-01-13,9.01,11.5,9.0,10.66,155400,10.66,70.1522021534,1,2014
2014-01-14,10.81,11.93,10.64,11.5,165800,11.5,73.6959400182,1,2014
2014-01-15,11.21,14.75,11.21,12.07,1339700,12.07,75.7959332247,1,2014
2014-01-16,11.32,13.33,11.32,12.2,191900,12.2,76.2614154517,1,2014
2014-01-17,12.65,12.9,12.2,12.25,142400,12.25,76.4490164502,1,2014
2014-01-21,12.4,12.82,11.78,11.98,123000,11.98,73.0899659845,1,2014
2014-01-22,12.15,12.25,11.14,11.28,97500,11.28,65.1032825301,1,2014
2014-01-23,11.36,11.36,10.46,10.68,143300,10.68,59.1382218241,1,2014
2014-01-24,10.74,10.75,10.41,10.64,61100,10.64,58.7517425951,1,2014
2014-01-27,10.25,10.56,9.16,9.7,196000,9.7,50.4137839342,1,2014
2014-01-28,9.5,9.784,9.12,9.5,127600,9.5,48.8260511502,1,2014
2014-01-29,9.31,9.535,9.07,9.12,66400,9.12,45.8701074482,1,2014
2014-01-30,9.25,9.549,8.21,8.69,220100,8.69,42.7185136826,1,2014
2014-01-31,8.6,9.18,8.3,8.9,172200,8.9,44.7162292555,1,2014
2014-02-03,9.8,9.8,8.25,8.56,138100,8.56,42.1529737408,1,2014
2014-02-04,8.39,9.07,8.16,8.35,78500,8.35,40.6047674941,1,2014
2014-02-05,8.45,9.05,8.155,8.25,154100,8.25,39.8541146203,1,2014
2014-02-06,8.34,8.57,7.681,7.78,147100,7.78,36.4439876058,1,2014
2014-02-07,7.76,8.83,7.56,8.69,101100,8.69,46.0664197694,1,2014
2014-02-10,8.86,9.23,8.65,8.73,52000,8.73,46.4502059252,1,2014
2014-02-11,8.92,9.28,8.66,9.23,79200,9.23,51.1313803364,1,2014
2014-02-12,9.33,9.379,8.68,9.04,82200,9.04,49.3653917788,1,2014
2014-02-13,9.39,9.7,9.0,9.33,251600,9.33,52.0855606087,1,2014
2014-02-14,9.5,9.68,9.02,9.39,93800,9.39,52.6523023591,1,2014
2014-02-18,9.4,9.52,9.21,9.33,61600,9.33,51.9900496982,1,2014
2014-02-19,9.4,9.4,8.69,8.93,76700,8.93,47.6840599184,1,2014
2014-02-20,8.93,9.36,8.74,9.05,63200,9.05,49.0474637398,1,2014
2014-02-21,9.15,9.41,8.97,9.15,53800,9.15,50.2119098063,1,2014
2014-02-24,9.21,9.53,9.21,9.35,67500,9.35,52.5476573881,1,2014
2014-02-25,9.37,10.5,9.26,9.78,326700,9.78,57.1970602769,1,2014
2014-02-26,9.99,9.99,9.495,9.5,104800,9.5,53.5197691459,1,2014
2014-02-27,9.47,9.72,9.11,9.28,133700,9.28,50.7584778199,1,2014
2014-02-28,9.04,9.48,8.65,8.69,238900,8.69,44.1758813276,1,2014
2014-03-03,8.65,8.97,8.05,8.1,184900,8.1,38.762319681,1,2014
2014-03-04,8.25,8.93,8.25,8.76,133600,8.76,46.6398725966,1,2014
2014-03-05,8.76,8.93,8.25,8.395,101600,8.395,43.3208998999,1,2014
