Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2012-01-03,10.15,10.22,9.97,10.1,15300,9.636212,,1,2012
2012-01-04,10.04,10.09,10.0,10.04,11400,9.578967,,1,2012
2012-01-05,9.9,10.22,9.9,10.0,201900,9.540803,,1,2012
2012-01-06,9.99,10.0,9.9,9.9,30500,9.445395,,1,2012
2012-01-09,9.9,10.1,9.9,10.09,43800,9.626671,,1,2012
2012-01-10,10.08,10.34,10.08,10.34,63500,9.865191,,1,2012
2012-01-11,10.27,10.46,10.27,10.46,52200,9.97968,,1,2012
2012-01-12,10.42,10.6,10.3,10.51,17700,10.027385,,1,2012
2012-01-13,10.5,10.62,10.46,10.62,11400,10.132333,,1,2012
2012-01-17,10.59,10.59,10.4,10.53,48900,10.046466,,1,2012
2012-01-18,10.5,10.54,10.32,10.34,75800,9.865191,,1,2012
2012-01-19,10.3,10.44,10.13,10.21,108100,9.74116,,1,2012
2012-01-20,10.31,10.31,10.25,10.28,72000,9.807946,,1,2012
2012-01-23,10.24,10.3,10.19,10.27,75900,9.798406,,1,2012
2012-01-24,10.2,10.3,10.2,10.29,72300,9.817487,56.6433463922,1,2012
2012-01-25,10.29,10.35,10.26,10.33,49100,9.85565,57.9112102112,1,2012
2012-01-26,10.38,10.39,10.28,10.28,26100,9.807946,55.7178586725,1,2012
2012-01-27,10.35,10.43,10.33,10.42,20700,9.941517,60.2567618296,1,2012
2012-01-30,10.34,10.41,10.27,10.3,14300,9.827028,55.0483767274,1,2012
2012-01-31,10.4,10.49,10.25,10.46,46700,9.97968,60.0115078311,1,2012
2012-02-01,10.5,10.55,10.38,10.42,10300,9.941517,58.2791086842,1,2012
2012-02-02,10.38,10.59,10.3,10.42,68200,9.941517,58.2791086842,1,2012
2012-02-03,10.42,10.54,10.3,10.45,76500,9.970139,59.3010442764,1,2012
2012-02-06,10.4,10.4,10.25,10.39,12000,9.912895,56.3292509552,1,2012
2012-02-07,10.33,10.33,10.25,10.33,37500,9.85565,53.4448577956,1,2012
2012-02-08,10.29,10.35,10.26,10.3,17700,9.827028,52.010817799,1,2012
2012-02-09,10.25,10.3,10.14,10.27,72300,9.798406,50.5501139921,1,2012
2012-02-10,10.18,10.25,10.16,10.17,17800,9.702997,45.9204578288,1,2012
2012-02-13,10.23,10.23,10.0,10.19,11900,9.722078,46.9665570817,1,2012
2012-02-14,10.15,10.15,9.76,10.06,53100,9.598049,41.3653300792,1,2012
2012-02-15,10.1,10.1,8.81,9.89,104300,9.435855,35.4169133858,1,2012
2012-02-16,10.1,10.2,10.02,10.2,17700,9.731619,49.6387733829,1,2012
2012-02-17,10.13,10.16,10.1,10.13,6200,9.664834,47.1157459337,1,2012
2012-02-21,10.12,10.15,9.9,9.99,76300,9.531262,42.4666344553,1,2012
2012-02-22,9.28,9.9,9.22,9.84,93300,9.388151,38.1258726717,1,2012
2012-02-23,10.03,10.03,9.7,9.86,64800,9.407232,39.0208504875,1,2012
2012-02-24,9.76,9.97,9.76,9.91,13200,9.454936,41.3066109634,1,2012
2012-02-27,9.83,10.0,9.41,9.98,86200,9.521721,44.4461941185,1,2012
2012-02-28,9.92,10.15,9.86,10.06,28400,9.598049,47.8777834979,1,2012
2012-02-29,10.06,10.11,9.92,10.11,27200,9.645752,49.9582488607,1,2012
2012-03-01,10.14,10.2,10.03,10.03,51800,9.569426,46.7433387286,1,2012
2012-03-02,10.03,10.19,10.01,10.03,51700,9.569426,46.7433387286,1,2012
2012-03-05,10.05,10.19,9.84,10.19,49400,9.722078,53.6602842926,1,2012
2012-03-06,10.05,10.16,9.85,10.09,16800,9.626671,49.3464929101,1,2012
2012-03-07,10.09,10.27,9.92,10.25,78600,9.779324,55.5093825317,1,2012
2012-03-08,10.04,10.39,10.04,10.37,40400,9.893813,59.4902484573,1,2012
2012-03-09,10.39,10.48,10.24,10.46,61200,9.97968,62.2205578889,1,2012
2012-03-12,10.38,10.54,10.24,10.5,66300,10.017844,63.4012346238,1,2012
2012-03-13,10.44,10.55,10.44,10.51,45300,10.027385,63.7066055916,1,2012
2012-03-14,10.5,10.51,10.43,10.51,35700,10.027385,63.7066055916,1,2012
2012-03-15,10.5,10.5,10.4,10.47,25000,9.989221,61.3325983868,1,2012
2012-03-16,10.46,10.46,10.05,10.46,15300,9.97968,60.7233727862,1,2012
2012-03-19,10.38,10.45,10.27,10.38,56000,9.903354,55.9365662622,1,2012
2012-03-20,10.35,10.38,10.23,10.33,94900,9.85565,53.1181822295,1,2012
2012-03-21,10.26,10.4,10.18,10.34,37000,9.865191,53.6215029621,1,2012
2012-03-22,10.34,10.38,10.3,10.38,11500,9.903354,55.6715156768,1,2012
2012-03-23,10.4,10.5,10.26,10.43,20300,9.951058,58.161047376,1,2012
2012-03-26,10.5,10.56,10.46,10.55,21700,10.065548,63.464378246,1,2012
2012-03-27,10.52,10.8,10.51,10.73,63700,10.237282,69.673896944,1,2012
2012-03-28,10.65,10.79,10.63,10.75,22300,10.256364,70.2783555437,1,2012
2012-03-29,10.75,10.77,10.65,10.75,64800,10.256364,70.2783555437,1,2012
2012-03-30,10.75,10.75,10.63,10.67,45100,10.180037,64.3301221798,1,2012
2012-04-02,10.59,10.78,10.5,10.77,60000,10.275446,67.9785309752,2,2012
2012-04-03,10.75,11.0,10.69,10.97,63600,10.466262,73.7593196161,2,2012
2012-04-04,10.85,10.99,10.8,10.89,60100,10.389935,68.4371826121,2,2012
2012-04-05,10.83,10.9,10.75,10.8,14200,10.304068,62.9354757379,2,2012
2012-04-09,10.67,10.72,10.65,10.7,28300,10.208659,57.4126579367,2,2012
2012-04-10,10.7,10.79,10.68,10.71,32700,10.218201,57.8114027379,2,2012
2012-04-11,10.71,10.74,10.65,10.65,29600,10.160955,54.5137066568,2,2012
2012-04-12,10.71,10.73,10.65,10.7,17700,10.208659,56.7287920508,2,2012
2012-04-13,10.75,10.75,10.7,10.72,10000,10.227742,57.6179289586,2,2012
2012-04-16,10.75,10.75,10.61,10.61,93200,10.122792,51.366618449,2,2012
2012-04-17,10.69,10.75,10.69,10.71,35600,10.218201,56.0364164728,2,2012
2012-04-18,10.7,10.74,10.67,10.67,33000,10.180037,53.810642629,2,2012
2012-04-19,10.7,11.19,10.67,11.17,173100,10.657078,69.9030174494,2,2012
2012-04-20,11.08,11.34,11.06,11.28,66400,10.762026,72.1978926788,2,2012
2012-04-23,11.18,11.25,11.08,11.23,65800,10.714322,69.6000607308,2,2012
2012-04-24,11.23,11.3,11.19,11.26,47500,10.742945,70.2908130258,2,2012
2012-04-25,11.25,11.5,11.25,11.44,81500,10.914679,74.0942147568,2,2012
2012-04-26,11.49,11.7,11.29,11.58,82300,11.04825,76.6030975468,2,2012
2012-04-27,11.61,11.65,11.5,11.6,40700,11.067332,76.9465884285,2,2012
2012-04-30,11.65,11.75,11.46,11.52,27000,10.991006,72.3699320319,2,2012
2012-05-01,11.47,11.59,11.37,11.5,34000,10.971924,71.2292790009,2,2012
2012-05-02,11.5,11.58,11.34,11.37,17500,10.847893,64.1515550592,2,2012
2012-05-03,11.3,11.4,11.13,11.25,30000,10.733404,58.3845394111,2,2012
2012-05-04,11.04,11.49,10.81,11.39,29600,10.866975,62.6078889365,2,2012
2012-05-07,11.28,11.4,11.06,11.31,25000,10.790649,58.9277262909,2,2012
2012-05-08,11.3,11.4,11.0,11.3,40700,10.781108,58.4650889916,2,2012
2012-05-09,11.22,11.42,11.05,11.38,60000,10.857434,61.0964105488,2,2012
2012-05-10,11.3,11.66,11.19,11.62,50000,11.086413,67.7061999977,2,2012
2012-05-11,11.62,11.74,11.58,11.7,46400,11.16274,69.5626046952,2,2012
2012-05-14,11.7,11.75,11.61,11.7,44200,11.16274,69.5626046952,2,2012
2012-05-15,11.72,11.72,11.5,11.58,23000,11.04825,63.2385695583,2,2012
2012-05-16,11.5,11.51,11.28,11.38,16100,10.857434,54.3672588293,2,2012
2012-05-17,11.33,11.51,11.1,11.27,20800,10.752486,50.1964275171,2,2012
2012-05-18,11.22,11.31,11.0,11.13,65000,10.618914,45.4204470826,2,2012
2012-05-21,11.05,11.2,11.03,11.12,54800,10.609373,45.0904293693,2,2012
2012-05-22,11.11,11.45,11.08,11.43,70000,10.905139,55.8094337417,2,2012
2012-05-23,11.35,11.42,10.95,11.15,123000,10.637995,46.9032578198,2,2012
2012-05-24,11.17,11.24,11.01,11.19,45100,10.676159,48.1756204659,2,2012
2012-05-25,11.2,11.2,10.91,11.15,29700,10.637995,46.9636567336,2,2012
2012-05-29,11.15,11.5,11.15,11.5,24700,10.971924,57.1268963342,2,2012
