Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2012-01-03,18.34,18.559999,17.75,17.879999,83400,17.879999,,1,2012
2012-01-04,17.77,18.34,17.290001,17.469999,93700,17.469999,,1,2012
2012-01-05,17.440001,17.790001,17.25,17.68,139500,17.68,,1,2012
2012-01-06,17.629999,17.780001,17.34,17.469999,106300,17.469999,,1,2012
2012-01-09,18.0,18.809999,17.9,18.1,302400,18.1,,1,2012
2012-01-10,18.299999,19.48,18.059999,19.41,192100,19.41,,1,2012
2012-01-11,19.34,19.93,18.790001,19.85,231600,19.85,,1,2012
2012-01-12,19.85,19.940001,19.48,19.870001,126500,19.870001,,1,2012
2012-01-13,19.629999,19.860001,19.52,19.68,104200,19.68,,1,2012
2012-01-17,19.799999,20.0,19.24,19.780001,99100,19.780001,,1,2012
2012-01-18,19.440001,20.76,19.299999,20.67,111200,20.67,,1,2012
2012-01-19,20.690001,21.0,20.49,20.639999,91600,20.639999,,1,2012
2012-01-20,20.74,21.0,20.139999,20.49,108600,20.49,,1,2012
2012-01-23,20.440001,20.450001,19.940001,20.370001,49400,20.370001,,1,2012
2012-01-24,20.219999,20.41,19.860001,20.0,65700,20.0,70.8661310373,1,2012
2012-01-25,20.02,20.85,19.870001,20.01,94200,20.01,70.9277620081,1,2012
2012-01-26,20.18,20.77,18.780001,20.700001,161300,20.700001,74.8769484653,1,2012
2012-01-27,20.709999,21.129999,20.18,20.91,90400,20.91,75.9478163044,1,2012
2012-01-30,20.700001,20.99,20.700001,20.74,76200,20.74,73.2266865707,1,2012
2012-01-31,20.75,21.24,20.75,21.1,86100,21.1,75.2490710465,1,2012
2012-02-01,21.18,21.219999,20.950001,20.99,90000,20.99,73.4240215953,1,2012
2012-02-02,20.98,21.0,20.700001,20.82,60300,20.82,70.5751919425,1,2012
2012-02-03,21.07,21.07,20.629999,20.84,106300,20.84,70.7191307948,1,2012
2012-02-06,20.719999,20.74,19.959999,20.08,109400,20.08,58.9234990535,1,2012
2012-02-07,20.1,20.16,19.790001,20.120001,90000,20.120001,59.3082086676,1,2012
2012-02-08,20.09,20.110001,19.75,19.870001,80100,19.870001,55.791308893,1,2012
