Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2014-01-31,7.11,7.25,6.35,6.5,3135700,6.5,,1,2014
2014-02-03,6.5,6.72,6.46,6.59,61100,6.59,,1,2014
2014-02-04,6.5,7.0,6.5,6.58,48600,6.58,,1,2014
2014-02-05,6.87,7.2,6.49,6.7,195400,6.7,,1,2014
2014-02-06,6.61,6.94,6.5,6.89,68500,6.89,,1,2014
2014-02-07,7.1,7.11,6.73,7.02,69000,7.02,,1,2014
2014-02-10,7.02,7.21,6.85,7.21,21700,7.21,,1,2014
2014-02-11,7.15,7.55,7.15,7.55,35700,7.55,,1,2014
2014-02-12,7.56,7.6,6.85,7.15,45500,7.15,,1,2014
2014-02-13,7.24,7.27,7.03,7.17,33800,7.17,,1,2014
2014-02-14,7.24,7.24,6.51,6.89,95300,6.89,,1,2014
2014-02-18,6.75,7.11,6.75,6.95,30200,6.95,,1,2014
2014-02-19,7.13,7.13,7.0,7.1,8000,7.1,,1,2014
2014-02-20,7.38,7.54,7.21,7.4,102000,7.4,,1,2014
2014-02-21,7.46,8.19,7.17,7.4,86600,7.4,69.7368421053,1,2014
2014-02-24,8.86,8.98,7.41,8.23,372500,8.23,78.2598158022,1,2014
2014-02-25,8.0,8.0,7.57,7.77,187400,7.77,66.9981166406,1,2014
2014-02-26,8.2,8.43,7.61,7.97,415900,7.97,69.0813704448,1,2014
2014-02-27,8.05,8.09,7.92,8.0,215200,8.0,69.3934702459,1,2014
2014-02-28,8.0,8.08,7.75,7.98,81300,7.98,68.8941844126,1,2014
2014-03-03,7.78,8.48,7.75,8.18,84200,8.18,71.1310806923,1,2014
2014-03-04,8.46,9.57,8.24,9.27,148500,9.27,79.6993815671,1,2014
2014-03-05,9.45,9.95,9.0,9.64,106100,9.64,81.6863831578,1,2014
2014-03-06,9.76,9.94,9.06,9.25,58500,9.25,73.5180999488,1,2014
2014-03-07,9.43,9.52,8.53,9.14,108000,9.14,71.3509273378,1,2014
2014-03-10,9.01,9.48,8.82,9.16,114300,9.16,71.5153388713,1,2014
2014-03-11,9.3,9.64,8.795,9.29,210500,9.29,72.6154227301,1,2014
2014-03-12,9.24,9.48,8.98,9.29,81800,9.29,72.6154227301,1,2014
2014-03-13,9.41,9.62,9.09,9.28,74200,9.28,72.3660919651,1,2014
2014-03-14,9.25,9.46,8.96,9.07,120600,9.07,67.1516519204,1,2014
2014-03-17,9.14,9.21,8.33,8.45,125500,8.45,54.6347090193,1,2014
2014-03-18,8.56,8.81,8.295,8.71,142000,8.71,58.1570411134,1,2014
2014-03-19,8.87,8.97,8.155,8.42,232900,8.42,53.1957692493,1,2014
2014-03-20,8.54,8.64,8.08,8.38,75500,8.38,52.5301194757,1,2014
2014-03-21,8.45,8.45,7.82,7.83,315500,7.83,44.3183035706,1,2014
2014-03-24,7.87,7.89,7.22,7.25,123200,7.25,37.6365479673,1,2014
2014-03-25,7.39,7.48,6.821,6.98,135200,6.98,34.9917439251,1,2014
2014-03-26,7.04,7.395,6.691,7.12,85800,7.12,37.4463691599,1,2014
2014-03-27,7.11,7.33,6.083,6.69,198700,6.69,33.2887962568,1,2014
2014-03-28,6.68,7.72,6.21,7.45,142400,7.45,44.927282238,1,2014
2014-03-31,7.49,7.94,7.32,7.86,923800,7.86,49.9955686726,1,2014
2014-04-01,7.65,7.75,6.81,7.57,94000,7.57,46.7204257373,2,2014
2014-04-02,7.55,7.82,7.495,7.63,138700,7.63,47.4869117626,2,2014
2014-04-03,7.61,7.64,7.21,7.25,57500,7.25,43.2438008563,2,2014
2014-04-04,7.26,7.35,6.92,6.94,103000,6.94,40.0962215173,2,2014
2014-04-07,6.89,6.92,6.25,6.41,147200,6.41,35.3577689285,2,2014
2014-04-08,6.42,6.42,5.76,6.18,141200,6.18,33.5071894498,2,2014
2014-04-09,6.18,6.18,6.0,6.04,81000,6.04,32.3957252498,2,2014
2014-04-10,6.0,6.015,5.57,5.8,96700,5.8,30.5263347581,2,2014
2014-04-11,5.74,6.02,5.58,5.71,148000,5.71,29.8311530852,2,2014
2014-04-14,5.78,5.89,5.29,5.36,85600,5.36,27.2337392741,2,2014
2014-04-15,5.45,5.45,4.81,4.97,85000,4.97,24.6574183841,2,2014
2014-04-16,5.05,5.14,4.74,5.1,49200,5.1,27.131951372,2,2014
2014-04-17,5.1,5.51,5.1,5.39,53400,5.39,32.4609661344,2,2014
2014-04-21,5.47,6.22,5.21,5.76,73700,5.76,38.6278985333,2,2014
2014-04-22,5.74,6.0,5.61,5.85,80200,5.85,40.061555601,2,2014
2014-04-23,5.86,5.86,5.5,5.56,63200,5.56,37.0576112781,2,2014
2014-04-24,5.62,5.75,5.42,5.49,103300,5.49,36.3491068972,2,2014
2014-04-25,5.48,5.75,5.1,5.16,81200,5.16,33.1330270891,2,2014
2014-04-28,5.2,5.2,4.79,4.94,51500,4.94,31.1540489576,2,2014
2014-04-29,4.99,5.11,4.85,4.94,52200,4.94,31.1540489576,2,2014
2014-04-30,4.92,5.78,4.92,5.01,80400,5.01,32.638735716,2,2014
2014-05-01,5.03,5.03,4.82,4.92,27900,4.92,31.69240956,2,2014
2014-05-02,4.95,5.0,4.76,4.94,40400,4.94,32.1631110881,2,2014
2014-05-05,4.81,5.07,4.78,4.94,37200,4.94,32.1631110881,2,2014
2014-05-06,4.94,5.0,4.86,4.96,118600,4.96,32.7009533459,2,2014
2014-05-07,4.81,5.0,4.81,4.88,15500,4.88,31.6209897097,2,2014
2014-05-08,4.93,4.93,4.75,4.75,27400,4.75,29.8933192508,2,2014
2014-05-09,4.62,4.82,4.5,4.72,92900,4.72,29.492854002,2,2014
2014-05-12,4.77,4.82,4.58,4.67,24300,4.67,28.8003506134,2,2014
2014-05-13,4.67,4.92,4.6,4.79,74600,4.79,32.8740720593,2,2014
2014-05-14,4.76,4.9,4.66,4.78,97800,4.78,32.7061351567,2,2014
2014-05-15,4.78,5.072,4.64,4.8,33200,4.8,33.4385048829,2,2014
2014-05-16,4.78,4.78,4.41,4.46,40000,4.46,27.8829521922,2,2014
2014-05-19,4.695,4.695,4.26,4.36,27500,4.36,26.4889881978,2,2014
2014-05-20,4.27,4.45,4.25,4.41,61600,4.41,28.415996015,2,2014
2014-05-21,4.574,4.574,4.27,4.37,53900,4.37,27.7884153882,2,2014
