Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2012-06-28,14.0,14.0,12.82,13.69,1266200,13.69,,2,2012
2012-06-29,13.65,14.15,13.5,13.99,40400,13.99,,2,2012
2012-07-02,13.9,14.0,13.54,14.0,16400,14.0,,3,2012
2012-07-03,13.56,13.7,13.53,13.61,2500,13.61,,3,2012
2012-07-05,13.61,13.91,13.6,13.81,61300,13.81,,3,2012
2012-07-06,13.72,13.99,13.66,13.89,4200,13.89,,3,2012
2012-07-09,14.0,14.0,13.68,13.83,13700,13.83,,3,2012
2012-07-10,13.56,13.96,13.56,13.85,12300,13.85,,3,2012
2012-07-11,13.98,14.0,13.51,13.73,9900,13.73,,3,2012
2012-07-12,13.56,13.7,13.5,13.7,13100,13.7,,3,2012
2012-07-13,13.79,13.94,13.52,13.74,30200,13.74,,3,2012
2012-07-16,13.6,14.0,13.6,14.0,37000,14.0,,3,2012
2012-07-17,14.0,14.18,13.62,13.88,22900,13.88,,3,2012
2012-07-18,13.65,14.08,13.65,13.93,49600,13.93,,3,2012
2012-07-19,13.97,14.05,13.8,14.0,29300,14.0,58.8571428571,3,2012
2012-07-20,14.11,14.12,13.5,13.5,34100,13.5,45.0084033613,3,2012
2012-07-23,13.7,14.0,13.7,13.9,37200,13.9,54.2771149092,3,2012
2012-07-24,14.0,14.09,13.75,14.0,107100,14.0,56.2618744414,3,2012
2012-07-25,14.0,14.02,13.84,14.0,6900,14.0,56.2618744414,3,2012
2012-07-26,14.0,14.0,13.6,13.61,28300,13.61,47.0283414268,3,2012
2012-07-27,13.61,13.75,13.59,13.59,3300,13.59,46.6059210339,3,2012
2012-07-30,13.6,13.79,13.59,13.6,1800,13.6,46.8629236574,3,2012
2012-07-31,13.7,13.79,13.2,13.26,18500,13.26,39.841244882,3,2012
2012-08-01,13.13,13.5,13.06,13.5,16100,13.5,45.9927405951,3,2012
2012-08-02,13.53,13.6,13.1,13.17,24900,13.17,39.9445339022,3,2012
2012-08-03,13.22,13.88,13.0,13.28,28900,13.28,42.6517381556,3,2012
2012-08-06,13.64,13.64,13.0,13.05,31900,13.05,38.7213223612,3,2012
2012-08-07,13.16,13.53,13.02,13.53,29000,13.53,49.2351921358,3,2012
2012-08-08,13.3,13.47,13.02,13.06,36700,13.06,41.692116607,3,2012
