Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2013-03-20,7.2,7.5,6.62,7.0,1724200,7.0,,1,2013
2013-03-21,7.09,7.09,7.0,7.05,163700,7.05,,1,2013
2013-03-22,7.05,7.15,7.0,7.0,34400,7.0,,1,2013
2013-03-25,7.01,7.09,7.0,7.07,88700,7.07,,1,2013
2013-03-26,7.07,7.07,7.0,7.0,18100,7.0,,1,2013
2013-03-27,7.03,7.06,7.0,7.03,16300,7.03,,1,2013
2013-03-28,7.03,7.07,7.0,7.07,37700,7.07,,1,2013
2013-04-01,7.07,7.1,7.0,7.09,30600,7.09,,2,2013
2013-04-02,7.12,7.12,7.01,7.1,29500,7.1,,2,2013
2013-04-03,7.12,7.2,7.08,7.19,22600,7.19,,2,2013
2013-04-04,7.2,7.2,7.04,7.19,28800,7.19,,2,2013
2013-04-05,7.26,7.26,7.145,7.21,33400,7.21,,2,2013
2013-04-08,7.24,7.325,7.13,7.3,73700,7.3,,2,2013
2013-04-09,7.45,7.45,7.25,7.26,42800,7.26,,2,2013
2013-04-10,7.45,8.41,7.38,8.38,53300,8.38,90.5882352941,2,2013
2013-04-11,8.3,8.3,7.77,8.0,53200,8.0,73.0123997082,2,2013
2013-04-12,8.01,8.09,7.85,8.0,16300,8.0,73.0123997082,2,2013
2013-04-15,8.3,8.872,7.9,8.1,179800,8.1,74.5211250963,2,2013
2013-04-16,8.13,8.44,8.13,8.31,47500,8.31,77.3808612853,2,2013
2013-04-17,8.36,8.87,8.33,8.75,105200,8.75,81.9517352205,2,2013
2013-04-18,9.15,9.3,8.894,9.2,156100,9.2,85.2374451768,2,2013
2013-04-19,9.2,9.4,9.11,9.15,194100,9.15,83.4202260211,2,2013
2013-04-22,9.66,9.66,8.53,9.07,89700,9.07,80.4643576087,2,2013
2013-04-23,9.05,9.06,8.5,8.5,47900,8.5,63.2639234707,2,2013
2013-04-24,8.54,9.039,8.54,8.7,99500,8.7,66.0094981461,2,2013
2013-04-25,8.7,8.98,7.09,7.5,181000,7.5,44.5131478528,2,2013
2013-04-26,7.58,8.14,7.5,8.14,55300,8.14,53.2562450666,2,2013
2013-04-29,8.5,8.5,8.05,8.12,17800,8.12,52.9753244903,2,2013
2013-04-30,8.06,8.29,7.81,8.11,28800,8.11,52.8252836343,2,2013
2013-05-01,8.11,8.11,7.75,7.92,15100,7.92,49.9316086478,2,2013
2013-05-02,7.92,8.0,7.92,7.92,37700,7.92,49.9316086478,2,2013
2013-05-03,7.92,8.0,7.92,8.0,23800,8.0,51.2360148517,2,2013
2013-05-06,8.0,8.0,7.803,7.88,72800,7.88,49.1668387877,2,2013
2013-05-07,7.8,7.9,7.8,7.89,22900,7.89,49.3504086938,2,2013
2013-05-08,7.86,7.89,7.76,7.8,15400,7.8,47.6815041124,2,2013
2013-05-09,7.702,7.84,7.61,7.82,24000,7.82,48.101521768,2,2013
2013-05-10,7.76,7.98,7.65,7.83,16800,7.83,48.3249038209,2,2013
2013-05-13,7.7,7.93,7.7,7.93,14500,7.93,50.6140914259,2,2013
2013-05-14,7.91,8.08,7.76,7.97,22200,7.97,51.5388711373,2,2013
2013-05-15,8.0,8.24,7.77,7.94,45800,7.94,50.7709850805,2,2013
2013-05-16,7.88,8.32,7.88,8.08,15400,8.08,54.2003632411,2,2013
2013-05-17,8.4,8.4,7.73,8.19,52800,8.19,56.7497303844,2,2013
