Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2012-01-03,39.279999,39.369999,37.080002,37.709999,1640000,37.243574,,1,2012
2012-01-04,37.48,37.720001,36.580002,37.009998,1071900,36.552231,,1,2012
2012-01-05,37.009998,38.18,36.59,38.060001,904000,37.589247,,1,2012
2012-01-06,38.25,39.529999,38.16,39.200001,677000,38.715146,,1,2012
2012-01-09,39.310001,39.490002,38.209999,39.040001,621400,38.557125,,1,2012
2012-01-10,38.740002,39.18,36.889999,37.080002,2545500,36.621369,,1,2012
2012-01-11,37.07,38.799999,37.049999,38.759998,1177500,38.280586,,1,2012
2012-01-12,38.880001,38.919998,36.860001,37.450001,1085500,36.986791,,1,2012
2012-01-13,37.139999,37.5,36.43,36.93,997400,36.473223,,1,2012
2012-01-17,37.23,37.5,36.759998,36.82,490300,36.364583,,1,2012
2012-01-18,36.720001,37.099998,36.369999,36.950001,839800,36.492976,,1,2012
2012-01-19,37.279999,37.889999,37.130001,37.439999,580800,36.976913,,1,2012
2012-01-20,37.400002,37.57,37.119999,37.259998,373800,36.799139,,1,2012
2012-01-23,37.32,37.810001,37.310001,37.669998,645500,37.204068,,1,2012
2012-01-24,37.52,40.59,37.419998,40.439999,1930700,39.939807,60.8247436753,1,2012
2012-01-25,40.459999,42.110001,40.23,42.049999,1471200,41.529894,65.5601477836,1,2012
2012-01-26,42.139999,42.139999,41.0,41.259998,906300,40.749664,61.6239136968,1,2012
2012-01-27,41.119999,41.939999,41.049999,41.82,593700,41.302739,63.3057550108,1,2012
2012-01-30,41.599998,41.849998,41.07,41.220001,900000,40.710162,60.2586382643,1,2012
2012-01-31,41.369999,41.959999,40.93,41.290001,839300,40.779296,60.4975303308,1,2012
2012-02-01,41.459999,42.450001,41.450001,41.880001,734100,41.361998,62.5413858662,1,2012
2012-02-02,42.009998,42.009998,41.419998,41.599998,763700,41.085459,60.9301730001,1,2012
2012-02-03,42.0,42.450001,41.900002,42.369999,1093800,41.845935,63.6997227484,1,2012
2012-02-06,42.849998,43.07,41.150002,41.630001,984200,41.11509,59.3457868974,1,2012
2012-02-07,41.52,41.939999,41.18,41.650002,617800,41.134844,59.4265106413,1,2012
2012-02-08,41.77,42.150002,41.400002,41.650002,501200,41.134844,59.4265106413,1,2012
2012-02-09,41.779999,41.880001,40.790001,41.27,627700,40.759543,56.9355146648,1,2012
2012-02-10,41.200001,42.43,40.650002,42.400002,928300,41.875567,62.0321886523,1,2012
2012-02-13,43.0,43.380001,42.43,43.029999,1195900,42.497772,64.5511114779,1,2012
2012-02-14,43.09,43.23,42.57,42.73,834400,42.201483,62.4271836448,1,2012
2012-02-15,42.849998,43.150002,41.990002,42.52,770400,41.994082,60.9162370955,1,2012
2012-02-16,42.529999,42.860001,42.09,42.490002,797300,41.964454,60.6902568338,1,2012
2012-02-17,42.68,42.709999,40.860001,41.150002,1297300,40.641028,51.5000174278,1,2012
2012-02-21,41.400002,41.799999,41.049999,41.240002,581400,40.729915,52.0254799639,1,2012
2012-02-22,41.529999,42.369999,41.16,42.209999,891700,41.687915,57.38443781,1,2012
2012-02-23,42.290001,43.560001,42.290001,43.200001,817300,42.665671,62.0445226567,1,2012
2012-02-24,43.18,44.619999,43.029999,43.91,857600,43.366889,65.0004597719,1,2012
2012-02-27,43.48,44.34,42.900002,43.970001,1033500,43.426148,65.2467809296,1,2012
