Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2012-01-03,3.18,3.28,3.16,3.24,216300,3.24,,1,2012
2012-01-04,3.32,3.75,3.24,3.65,524700,3.65,,1,2012
2012-01-05,3.61,3.68,3.53,3.67,181100,3.67,,1,2012
2012-01-06,3.68,3.71,3.52,3.58,325600,3.58,,1,2012
2012-01-09,3.82,3.95,3.76,3.81,442600,3.81,,1,2012
2012-01-10,3.88,3.92,3.63,3.81,315500,3.81,,1,2012
2012-01-11,3.87,3.95,3.65,3.84,313300,3.84,,1,2012
2012-01-12,3.79,3.81,3.62,3.77,176100,3.77,,1,2012
2012-01-13,3.68,3.8,3.61,3.77,191900,3.77,,1,2012
2012-01-17,3.8,3.8,3.66,3.67,161300,3.67,,1,2012
2012-01-18,3.68,3.84,3.65,3.83,144000,3.83,,1,2012
2012-01-19,3.85,4.01,3.7,3.95,164800,3.95,,1,2012
2012-01-20,3.94,3.94,3.77,3.89,107100,3.89,,1,2012
2012-01-23,4.01,4.09,3.9,4.05,156900,4.05,,1,2012
2012-01-24,4.03,4.1,3.95,4.06,261300,4.06,78.0821917808,1,2012
2012-01-25,4.1,4.27,4.01,4.2,212300,4.2,80.1337153773,1,2012
2012-01-26,4.11,4.22,4.05,4.15,199100,4.15,77.3491241756,1,2012
2012-01-27,4.2,4.28,4.14,4.23,112400,4.23,78.6287437786,1,2012
2012-01-30,4.17,4.21,4.09,4.13,102600,4.13,73.0717478642,1,2012
2012-01-31,4.24,4.24,3.88,4.01,255800,4.01,66.9564567904,1,2012
2012-02-01,3.97,3.97,3.84,3.88,326800,3.88,61.0005464328,1,2012
2012-02-02,3.88,3.88,3.82,3.87,150200,3.87,60.5543334032,1,2012
2012-02-03,3.9,3.9,3.82,3.87,366000,3.87,60.5543334032,1,2012
2012-02-06,3.87,3.88,3.83,3.87,95400,3.87,60.5543334032,1,2012
2012-02-07,3.87,3.89,3.83,3.87,120300,3.87,60.5543334032,1,2012
2012-02-08,3.88,4.05,3.85,3.99,146700,3.99,64.7197646926,1,2012
2012-02-09,4.0,4.02,3.91,4.01,248200,4.01,65.3760174312,1,2012
2012-02-10,3.7,3.88,3.5,3.66,545200,3.66,48.406599007,1,2012
2012-02-13,3.7,3.73,3.59,3.7,134100,3.7,50.0038090992,1,2012
2012-02-14,3.67,3.71,3.64,3.67,84000,3.67,48.7840017163,1,2012
2012-02-15,3.73,3.88,3.65,3.74,187100,3.74,51.7421350256,1,2012
2012-02-16,3.7,3.83,3.65,3.82,240800,3.82,54.9449524475,1,2012
2012-02-17,3.78,3.81,3.69,3.79,245500,3.79,53.5107158821,1,2012
2012-02-21,3.75,3.84,3.74,3.83,213200,3.83,55.1902503693,1,2012
2012-02-22,3.81,3.82,3.76,3.79,171800,3.79,53.1234110999,1,2012
2012-02-23,3.78,3.9,3.76,3.89,150800,3.89,57.4168637379,1,2012
2012-02-24,3.87,3.87,3.73,3.81,140600,3.81,53.2175329773,1,2012
2012-02-27,3.78,3.85,3.75,3.8,160700,3.8,52.6986909585,1,2012
2012-02-28,3.78,3.93,3.77,3.85,119300,3.85,55.058013697,1,2012
2012-02-29,3.84,3.89,3.69,3.71,260800,3.71,47.8597560275,1,2012
2012-03-01,3.73,3.76,3.6,3.63,216200,3.63,44.2959238271,1,2012
2012-03-02,3.62,3.7,3.5,3.62,209300,3.62,43.8563077873,1,2012
2012-03-05,3.61,3.62,3.43,3.49,127300,3.49,38.5061358367,1,2012
2012-03-06,3.45,3.47,3.3,3.32,172400,3.32,32.8606416353,1,2012
