Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2014-10-01,6.02,6.13,5.85,5.85,1242300,5.85,,4,2014
2014-10-02,6.0,6.0,5.8,5.85,24000,5.85,,4,2014
2014-10-03,5.99,6.1,5.25,6.1,21500,6.1,,4,2014
2014-10-06,5.95,6.05,5.85,6.05,18600,6.05,,4,2014
2014-10-07,6.05,6.56,6.0,6.56,39900,6.56,,4,2014
2014-10-08,6.88,6.88,6.15,6.69,21400,6.69,,4,2014
2014-10-09,6.21,6.5,6.0,6.15,25600,6.15,,4,2014
2014-10-10,6.0,6.18,6.0,6.18,5500,6.18,,4,2014
2014-10-13,6.5,6.5,5.9,6.01,11600,6.01,,4,2014
2014-10-14,5.91,6.08,5.9,5.9,4100,5.9,,4,2014
2014-10-15,6.78,7.29,6.0,6.04,1500,6.04,,4,2014
2014-10-16,5.95,6.1,5.95,5.95,6700,5.95,,4,2014
2014-10-17,6.37,6.83,6.37,6.49,3300,6.49,,4,2014
2014-10-20,6.55,6.55,6.41,6.5,4700,6.5,,4,2014
2014-10-21,6.45,6.45,6.45,6.45,300,6.45,61.4503816794,4,2014
2014-10-22,6.1,6.1,5.96,6.0,600,6.0,51.8582755203,4,2014
2014-10-23,6.05,6.49,5.85,6.11,58100,6.11,53.7584212068,4,2014
2014-10-24,6.16,6.43,6.02,6.43,51500,6.43,58.8471275316,4,2014
2014-10-27,6.2,6.74,6.0,6.6,49600,6.6,61.2846126331,4,2014
2014-10-28,6.66,6.9,6.316,6.77,26800,6.77,63.6060435794,4,2014
2014-10-29,6.65,6.84,6.55,6.8,41600,6.8,64.0160942047,4,2014
2014-10-30,6.73,7.4,6.73,6.95,70000,6.95,66.0743130297,4,2014
2014-10-31,6.97,7.2,6.501,6.72,7800,6.72,60.372131793,4,2014
2014-11-03,6.72,6.75,6.5,6.5,1100,6.5,55.4433733436,4,2014
2014-11-04,6.54,6.601,6.51,6.6,5400,6.6,57.155584218,4,2014
2014-11-05,6.6,6.6,6.6,6.6,0,6.6,57.155584218,4,2014
2014-11-06,6.5,6.904,6.4,6.42,10800,6.42,52.9110214058,4,2014
2014-11-07,6.557,6.87,6.03,6.08,11300,6.08,45.9669930314,4,2014
2014-11-10,6.03,6.43,6.03,6.07,11800,6.07,45.7767031833,4,2014
2014-11-11,6.4,6.411,6.15,6.15,3600,6.15,47.643988779,4,2014
2014-11-12,6.16,6.4,6.16,6.35,7900,6.35,52.086302319,4,2014
2014-11-13,6.45,7.557,6.25,6.937,27300,6.937,62.2187021198,4,2014
2014-11-14,7.35,7.35,6.2,6.2,6300,6.2,48.3840332876,4,2014
2014-11-17,6.636,6.636,6.18,6.22,4900,6.22,48.7172801445,4,2014
2014-11-18,6.74,6.74,6.15,6.31,8600,6.31,50.2731391483,4,2014
2014-11-19,6.75,6.75,6.2,6.2,9400,6.2,48.3426622473,4,2014
2014-11-20,6.4,6.42,6.15,6.2,16800,6.2,48.3426622473,4,2014
2014-11-21,6.75,6.75,6.15,6.15,17700,6.15,47.3834775915,4,2014
2014-11-24,6.35,6.71,6.15,6.2,8300,6.2,48.4842471073,4,2014
2014-11-25,6.35,6.69,6.2,6.28,26300,6.28,50.2766645941,4,2014
2014-11-26,6.34,6.34,6.2,6.22,6800,6.22,48.9023849687,4,2014
