Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2012-01-03,1.84,1.87,1.8,1.81,7500,36.200001,,1,2012
2012-01-04,1.8,1.87,1.78,1.8,11900,36.000001,,1,2012
2012-01-05,1.75,1.87,1.75,1.87,14900,37.400002,,1,2012
2012-01-06,1.87,1.94,1.83,1.87,12700,37.400002,,1,2012
2012-01-09,1.84,1.89,1.8,1.86,20200,37.200001,,1,2012
2012-01-10,1.86,1.88,1.82,1.87,6700,37.400002,,1,2012
2012-01-11,1.84,1.88,1.82,1.86,8200,37.200001,,1,2012
2012-01-12,1.84,1.87,1.8,1.83,9400,36.599999,,1,2012
2012-01-13,1.8,1.87,1.77,1.87,5800,37.400002,,1,2012
2012-01-17,1.87,1.99,1.8,1.92,21400,38.400002,,1,2012
2012-01-18,1.9,1.97,1.86,1.97,10500,39.400002,,1,2012
2012-01-19,1.99,2.15,1.97,2.15,24100,43.000001,,1,2012
2012-01-20,2.15,2.15,1.95,1.97,14900,39.400002,,1,2012
2012-01-23,1.96,2.05,1.94,1.96,7800,39.200001,,1,2012
2012-01-24,2.01,2.01,1.94,1.97,6600,39.400002,62.1212076446,1,2012
2012-01-25,1.95,1.99,1.95,1.96,6600,39.200001,61.1238445687,1,2012
2012-01-26,1.96,2.05,1.95,2.0,21000,40.000001,63.6386040113,1,2012
2012-01-27,2.03,2.11,2.02,2.03,13900,40.599999,65.4440340906,1,2012
2012-01-30,2.03,2.06,1.95,2.01,5200,40.200001,63.1913992446,1,2012
2012-01-31,2.0,2.01,1.97,1.97,4900,39.400002,58.829906059,1,2012
2012-02-01,1.99,2.02,1.97,2.0,4200,40.000001,61.0038328527,1,2012
2012-02-02,1.97,2.05,1.97,2.0,7600,40.000001,61.0038328527,1,2012
2012-02-03,2.02,2.02,1.97,2.0,10300,40.000001,61.0038328527,1,2012
2012-02-06,2.0,2.02,1.96,1.98,11800,39.599999,58.434626336,1,2012
2012-02-07,1.98,1.98,1.95,1.98,6600,39.599999,58.434626336,1,2012
2012-02-08,1.97,2.0,1.89,1.95,10400,39.000001,54.445644641,1,2012
2012-02-09,1.94,1.94,1.83,1.84,20300,36.8,42.8855683333,1,2012
2012-02-10,1.83,1.9,1.83,1.83,7700,36.599999,42.0122600609,1,2012
2012-02-13,1.85,1.91,1.83,1.84,6500,36.8,43.2566487897,1,2012
2012-02-14,1.85,1.87,1.81,1.85,6400,37.000001,44.5383804644,1,2012
2012-02-15,1.88,1.88,1.8,1.8,12000,36.000001,39.7086809373,1,2012
2012-02-16,1.8,1.85,1.8,1.85,5000,37.000001,46.0132779775,1,2012
2012-02-17,1.84,1.9,1.79,1.84,13500,36.8,44.9997642456,1,2012
2012-02-21,1.84,1.84,1.79,1.81,6200,36.200001,42.0102233605,1,2012
2012-02-22,1.79,1.9,1.79,1.84,4900,36.8,45.8820864047,1,2012
2012-02-23,1.86,1.86,1.75,1.79,20200,35.8,40.9719925566,1,2012
2012-02-24,1.77,1.82,1.76,1.78,10300,35.599999,40.0488816585,1,2012
2012-02-27,1.78,1.86,1.75,1.85,14800,37.000001,48.7528565231,1,2012
2012-02-28,1.85,1.85,1.78,1.82,4600,36.400002,45.6911802435,1,2012
2012-02-29,1.81,1.82,1.78,1.79,7800,35.8,42.7967889541,1,2012
2012-03-01,1.86,1.86,1.8,1.82,7800,36.400002,46.4499548199,1,2012
2012-03-02,1.83,1.88,1.82,1.85,9700,37.000001,49.8958732446,1,2012
2012-03-05,1.86,1.88,1.8,1.84,10300,36.8,48.7693036414,1,2012
2012-03-06,1.85,1.87,1.79,1.8,6000,36.000001,44.446432685,1,2012
2012-03-07,1.82,1.91,1.79,1.85,6400,37.000001,50.368561126,1,2012
2012-03-08,1.85,1.85,1.82,1.82,3500,36.400002,47.1226908262,1,2012
2012-03-09,1.83,2.72,1.79,2.2,193900,44.000001,71.859725535,1,2012
2012-03-12,2.2,2.29,2.03,2.04,43400,40.8,59.2839043867,1,2012
2012-03-13,2.12,2.17,2.06,2.09,17800,41.8,61.5485393569,1,2012
2012-03-14,2.08,2.11,2.0,2.04,20700,40.8,58.0702140687,1,2012
2012-03-15,2.03,2.11,2.03,2.1,9600,42.000001,60.9240455797,1,2012
2012-03-16,2.1,2.12,2.04,2.06,11600,41.200001,58.0856831618,1,2012
2012-03-19,2.04,2.09,1.99,1.99,22500,39.8,53.3973163157,1,2012
2012-03-20,1.98,2.01,1.9,1.94,22600,38.8,50.2757850934,1,2012
2012-03-21,1.96,1.98,1.87,1.91,14200,38.200001,48.4458323097,1,2012
2012-03-22,1.92,1.94,1.85,1.92,15800,38.400002,49.1107583269,1,2012
2012-03-23,1.92,1.95,1.87,1.91,15500,38.200001,48.437967378,1,2012
2012-03-26,1.91,1.95,1.87,1.91,10700,38.200001,48.437967378,1,2012
2012-03-27,1.93,1.98,1.93,1.95,10700,39.000001,51.5190397511,1,2012
2012-03-28,1.97,1.99,1.95,1.97,7700,39.400002,53.0303208052,1,2012
2012-03-29,1.96,2.04,1.94,2.02,12800,40.400002,56.667088039,1,2012
2012-03-30,2.04,2.06,2.0,2.02,16000,40.400002,56.667088039,1,2012
2012-04-02,2.02,2.02,1.95,2.01,10900,40.200001,55.6673188466,2,2012
2012-04-03,2.02,2.02,1.97,2.01,6600,40.200001,55.6673188466,2,2012
2012-04-04,1.98,2.0,1.91,2.0,10100,40.000001,54.5511246559,2,2012
2012-04-05,2.0,2.07,1.99,2.03,13100,40.599999,57.3162003015,2,2012
2012-04-09,2.09,2.17,2.03,2.07,20400,41.400002,60.7454591965,2,2012
2012-04-10,2.12,2.12,2.0,2.05,13500,41.000001,58.2265506018,2,2012
