Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2012-01-03,4.52,4.55,4.43,4.49,717300,4.49,,1,2012
2012-01-04,4.47,4.55,4.26,4.28,666900,4.28,,1,2012
2012-01-05,4.29,4.3,4.21,4.28,690100,4.28,,1,2012
2012-01-06,3.87,3.9,3.61,3.64,6868000,3.64,,1,2012
2012-01-09,3.75,3.77,3.61,3.64,1840100,3.64,,1,2012
2012-01-10,3.7,3.78,3.68,3.76,1560000,3.76,,1,2012
2012-01-11,3.8,3.8,3.7,3.76,1370400,3.76,,1,2012
2012-01-12,3.76,3.8,3.74,3.76,778500,3.76,,1,2012
2012-01-13,3.72,3.77,3.62,3.67,1057900,3.67,,1,2012
2012-01-17,3.71,3.74,3.63,3.66,817200,3.66,,1,2012
2012-01-18,3.66,3.83,3.61,3.71,3154500,3.71,,1,2012
2012-01-19,3.73,3.77,3.7,3.75,1081100,3.75,,1,2012
2012-01-20,3.75,3.75,3.42,3.54,1854500,3.54,,1,2012
2012-01-23,3.54,3.57,3.28,3.41,1879700,3.41,,1,2012
2012-01-24,3.39,3.47,3.25,3.42,1764600,3.42,14.5695364238,1,2012
2012-01-25,3.42,3.52,3.38,3.49,1030400,3.49,18.6317321689,1,2012
2012-01-26,3.53,3.61,3.46,3.58,1500400,3.58,23.6579472634,1,2012
2012-01-27,3.58,3.65,3.54,3.59,773500,3.59,24.218083613,1,2012
2012-01-30,3.6,3.69,3.5,3.54,1209400,3.54,23.2976413195,1,2012
2012-01-31,3.58,3.61,3.46,3.51,2271700,3.51,22.7392120956,1,2012
2012-02-01,3.55,3.58,3.48,3.53,1596100,3.53,24.0462814975,1,2012
2012-02-02,3.56,3.62,3.51,3.58,755900,3.58,27.3550737092,1,2012
2012-02-03,3.66,3.69,3.6,3.64,1054900,3.64,31.2268081734,1,2012
2012-02-06,3.64,3.82,3.62,3.77,1894000,3.77,38.8334201001,1,2012
2012-02-07,3.79,3.83,3.72,3.79,983300,3.79,39.9341257818,1,2012
2012-02-08,3.83,3.83,3.38,3.68,2720200,3.68,36.0876501361,1,2012
2012-02-09,3.69,3.69,3.48,3.5,1050500,3.5,30.8510103576,1,2012
2012-02-10,3.45,3.46,3.2,3.22,2749500,3.22,24.8180333505,1,2012
2012-02-13,3.23,3.42,3.23,3.29,1076900,3.29,28.5782877519,1,2012
2012-02-14,3.29,3.46,3.25,3.36,869900,3.36,32.2286372559,1,2012
2012-02-15,3.39,3.49,3.32,3.43,1181900,3.43,35.7642575804,1,2012
2012-02-16,3.45,3.55,3.44,3.51,1151200,3.51,39.6399191488,1,2012
2012-02-17,3.55,3.55,3.34,3.36,1255600,3.36,35.3350428518,1,2012
2012-02-21,3.38,3.41,3.26,3.31,935200,3.31,34.0092126067,1,2012
2012-02-22,3.31,3.33,3.25,3.3,573500,3.3,33.7365673974,1,2012
2012-02-23,3.32,3.5,3.31,3.46,1029400,3.46,41.7789705558,1,2012
2012-02-24,3.48,3.48,3.35,3.35,873300,3.35,38.3342334754,1,2012
2012-02-27,3.35,3.37,3.3,3.32,591300,3.32,37.4278612085,1,2012
2012-02-28,3.34,3.35,3.27,3.28,658200,3.28,36.1988987857,1,2012
2012-02-29,3.28,3.3,3.17,3.2,755000,3.2,33.8079148486,1,2012
2012-03-01,3.22,3.27,3.17,3.21,855900,3.21,34.3912761107,1,2012
2012-03-02,3.21,3.27,3.15,3.18,762600,3.18,33.4391538015,1,2012
2012-03-05,3.17,3.23,3.1,3.12,711200,3.12,31.5574100509,1,2012
2012-03-06,3.08,3.08,2.96,3.03,1284100,3.03,28.9277711317,1,2012
2012-03-07,3.05,3.18,3.05,3.14,915500,3.14,35.952532661,1,2012
2012-03-08,3.18,3.22,3.1,3.18,707400,3.18,38.3392047883,1,2012
2012-03-09,3.18,3.25,3.17,3.21,623200,3.21,40.1408420296,1,2012
2012-03-12,3.25,3.29,3.22,3.27,1188100,3.27,43.6848765902,1,2012
