Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2012-01-03,4.83,4.84,4.65,4.72,173300,4.72,,1,2012
2012-01-04,4.68,4.72,4.54,4.56,122600,4.56,,1,2012
2012-01-05,4.52,4.62,4.52,4.56,76100,4.56,,1,2012
2012-01-06,4.57,4.61,4.54,4.56,87500,4.56,,1,2012
2012-01-09,4.58,4.6,4.53,4.54,142500,4.54,,1,2012
2012-01-10,4.58,4.64,4.56,4.6,200200,4.6,,1,2012
2012-01-11,4.6,4.62,4.56,4.6,173700,4.6,,1,2012
2012-01-12,4.6,4.79,4.55,4.78,216300,4.78,,1,2012
2012-01-13,4.73,4.79,4.72,4.73,93000,4.73,,1,2012
2012-01-17,4.78,4.81,4.65,4.75,165100,4.75,,1,2012
2012-01-18,4.76,4.84,4.71,4.84,120200,4.84,,1,2012
2012-01-19,4.85,4.99,4.84,4.88,92300,4.88,,1,2012
2012-01-20,4.88,5.19,4.88,5.15,244000,5.15,,1,2012
2012-01-23,5.15,5.15,4.76,4.76,168000,4.76,,1,2012
2012-01-24,4.76,5.05,4.72,5.0,121400,5.0,59.2105263158,1,2012
2012-01-25,5.01,5.01,4.92,4.97,78800,4.97,57.9781962339,1,2012
2012-01-26,5.1,5.2,4.95,5.0,97200,5.0,58.8994109313,1,2012
2012-01-27,4.97,5.08,4.95,5.08,98500,5.08,61.3337002682,1,2012
2012-01-30,5.04,5.06,4.9,4.93,50300,4.93,54.7820812697,1,2012
2012-01-31,4.96,5.01,4.85,4.95,182100,4.95,55.4651631306,1,2012
2012-02-01,4.99,5.01,4.86,4.97,169000,4.97,56.1780789948,1,2012
2012-02-02,4.96,5.12,4.87,5.07,115700,5.07,59.6556486544,1,2012
2012-02-03,5.15,5.34,5.1,5.33,253200,5.33,66.9903630232,1,2012
2012-02-06,5.3,5.47,5.25,5.46,216500,5.46,69.9336701014,1,2012
2012-02-07,5.44,5.44,5.26,5.26,166900,5.26,60.9322077837,1,2012
2012-02-08,5.28,5.36,5.2,5.28,104300,5.28,61.4663435402,1,2012
2012-02-09,5.28,5.33,5.18,5.28,56800,5.28,61.4663435402,1,2012
2012-02-10,5.23,5.26,5.08,5.09,104300,5.09,53.4194997388,1,2012
2012-02-13,5.14,5.17,5.05,5.11,91200,5.11,54.1006699033,1,2012
2012-02-14,5.13,5.13,4.78,4.8,250200,4.8,43.4857874485,1,2012
2012-02-15,4.84,4.84,4.6,4.71,273400,4.71,40.9723454307,1,2012
2012-02-16,4.62,4.79,4.47,4.76,217400,4.76,42.9453353556,1,2012
2012-02-17,4.74,4.74,4.61,4.71,106700,4.71,41.4531871834,1,2012
2012-02-21,4.75,4.77,4.57,4.6,172400,4.6,38.3003197094,1,2012
2012-02-22,4.6,4.73,4.57,4.61,191100,4.61,38.7563574653,1,2012
2012-02-23,4.61,4.77,4.58,4.76,89400,4.76,45.2887257083,1,2012
2012-02-24,4.75,4.87,4.7,4.75,83000,4.75,44.9445500851,1,2012
2012-02-27,4.75,4.83,4.63,4.81,108200,4.81,47.5215077794,1,2012
2012-02-28,4.8,4.93,4.71,4.74,181000,4.74,44.8820705976,1,2012
2012-02-29,4.76,4.78,4.62,4.64,278200,4.64,41.3488466733,1,2012
2012-03-01,4.65,4.73,4.61,4.63,81900,4.63,41.0012464705,1,2012
2012-03-02,4.6,4.62,4.47,4.49,176200,4.49,36.3891229673,1,2012
2012-03-05,4.5,4.59,4.49,4.53,328200,4.53,38.5171374859,1,2012
2012-03-06,4.55,4.66,4.46,4.51,330400,4.51,37.835586483,1,2012
2012-03-07,4.55,4.68,4.4,4.47,292700,4.47,36.4465444281,1,2012
