Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2012-01-03,1.19,1.47,1.19,1.45,265300,1.45,,1,2012
2012-01-04,1.46,1.48,1.32,1.41,243100,1.41,,1,2012
2012-01-05,1.41,1.43,1.35,1.38,35200,1.38,,1,2012
2012-01-06,1.37,1.45,1.36,1.44,129700,1.44,,1,2012
2012-01-09,1.46,1.62,1.45,1.5,328200,1.5,,1,2012
2012-01-10,1.51,1.54,1.42,1.54,121500,1.54,,1,2012
2012-01-11,1.53,1.71,1.52,1.69,478800,1.69,,1,2012
2012-01-12,1.69,1.73,1.6,1.68,138700,1.68,,1,2012
2012-01-13,1.66,1.73,1.63,1.72,89300,1.72,,1,2012
2012-01-17,1.76,1.76,1.37,1.59,105200,1.59,,1,2012
2012-01-18,1.57,1.67,1.57,1.66,33000,1.66,,1,2012
2012-01-19,1.62,1.7,1.53,1.7,107200,1.7,,1,2012
2012-01-20,1.7,1.75,1.65,1.65,36800,1.65,,1,2012
2012-01-23,1.68,1.68,1.58,1.59,29200,1.59,,1,2012
2012-01-24,1.59,1.66,1.49,1.59,47500,1.59,58.9743589744,1,2012
2012-01-25,1.6,1.68,1.47,1.68,77700,1.68,63.5087719298,1,2012
2012-01-26,1.62,1.68,1.58,1.63,30600,1.63,59.5696202532,1,2012
2012-01-27,1.62,1.63,1.56,1.61,28400,1.61,58.0194226319,1,2012
2012-01-30,1.62,1.62,1.54,1.54,19500,1.54,52.8367795444,1,2012
2012-01-31,1.51,1.57,1.5,1.53,224800,1.53,52.1205153473,1,2012
2012-02-01,1.53,1.55,1.51,1.55,5000,1.55,53.4788355496,1,2012
2012-02-02,1.55,1.6,1.51,1.53,28500,1.53,51.8933967755,1,2012
2012-02-03,1.54,1.57,1.52,1.57,39500,1.57,54.780785311,1,2012
2012-02-06,1.58,1.66,1.51,1.64,294200,1.64,59.3760013699,1,2012
2012-02-07,1.62,1.66,1.6,1.6,46700,1.6,55.881406134,1,2012
2012-02-08,1.6,1.64,1.56,1.59,77600,1.59,55.0097399116,1,2012
2012-02-09,1.61,1.67,1.59,1.59,187700,1.59,55.0097399116,1,2012
2012-02-10,1.59,1.62,1.52,1.55,27400,1.55,51.2977198797,1,2012
2012-02-13,1.54,1.6,1.51,1.55,13100,1.55,51.2977198797,1,2012
2012-02-14,1.57,1.59,1.52,1.53,36400,1.53,49.3660261947,1,2012
2012-02-15,1.54,1.55,1.45,1.47,59600,1.47,44.0115960757,1,2012
2012-02-16,1.38,1.5,1.38,1.4,58500,1.4,38.733221803,1,2012
2012-02-17,1.4,1.44,1.28,1.39,78900,1.39,38.0315028708,1,2012
2012-02-21,1.39,1.41,1.31,1.31,54700,1.31,32.8968758984,1,2012
2012-02-22,1.33,1.33,1.28,1.32,51700,1.32,34.0946658705,1,2012
2012-02-23,1.37,1.42,1.34,1.4,94300,1.4,42.8789922601,1,2012
2012-02-24,1.4,1.45,1.35,1.35,135400,1.35,39.3489064243,1,2012
2012-02-27,1.39,1.39,1.25,1.29,108300,1.29,35.5650862278,1,2012
2012-02-28,1.29,1.37,1.27,1.33,146800,1.33,39.7262916934,1,2012
2012-02-29,1.34,1.45,1.31,1.34,126100,1.34,40.75635606,1,2012
2012-03-01,1.34,1.37,1.32,1.36,156500,1.36,42.8596222374,1,2012
2012-03-02,1.36,1.4,1.32,1.34,32400,1.34,41.2813180335,1,2012
2012-03-05,1.36,1.39,1.29,1.33,70300,1.33,40.4786733515,1,2012
2012-03-06,1.65,3.02,1.57,3.0,10846600,3.0,86.7636292749,1,2012
2012-03-07,2.7,2.87,2.07,2.14,5645500,2.14,60.6206741576,1,2012
2012-03-08,2.15,2.45,1.95,2.07,2762100,2.07,59.0607615015,1,2012
2012-03-09,2.03,2.1,1.88,1.95,725100,1.95,56.3822718047,1,2012
2012-03-12,1.95,2.0,1.77,1.8,566800,1.8,53.1381858148,1,2012
2012-03-13,1.82,1.95,1.78,1.81,859100,1.81,53.3309702568,1,2012
2012-03-14,1.82,1.86,1.61,1.62,845200,1.62,49.1903000535,1,2012
2012-03-15,1.67,1.68,1.55,1.58,302300,1.58,48.3393904991,1,2012
2012-03-16,1.63,1.8,1.6,1.72,786400,1.72,51.5015550777,1,2012
2012-03-19,1.65,1.73,1.59,1.61,310700,1.61,48.9654678599,1,2012
2012-03-20,1.6,1.72,1.56,1.59,342300,1.59,48.4978529516,1,2012
2012-03-21,1.6,1.69,1.48,1.59,242600,1.59,48.4978529516,1,2012
2012-03-22,1.56,1.76,1.48,1.62,476800,1.62,49.3394972037,1,2012
2012-03-23,1.62,1.62,1.55,1.59,108000,1.59,48.4861889232,1,2012
2012-03-26,1.59,1.61,1.53,1.58,57200,1.58,48.1870280371,1,2012
2012-03-27,1.7,2.09,1.7,1.77,2569700,1.77,53.9950661371,1,2012
2012-03-28,2.25,2.46,2.02,2.16,5406800,2.16,63.1309166101,1,2012
2012-03-29,2.1,2.14,1.93,2.1,1059400,2.1,61.1199767652,1,2012
2012-03-30,2.15,2.15,1.9,2.02,479900,2.02,58.4467207442,1,2012
2012-04-02,2.01,2.01,1.86,1.89,399600,1.89,54.2912052596,2,2012
2012-04-03,1.91,2.06,1.87,1.95,468500,1.95,55.8513842599,2,2012
2012-04-04,1.93,2.04,1.89,1.96,319400,1.96,56.1202110961,2,2012
2012-04-05,1.96,1.98,1.91,1.92,215000,1.92,54.6857963368,2,2012
2012-04-09,1.92,1.96,1.73,1.8,423900,1.8,50.5144432008,2,2012
2012-04-10,1.76,1.8,1.62,1.7,249900,1.7,47.2780211964,2,2012
2012-04-11,1.73,1.81,1.7,1.76,199700,1.76,49.3738713423,2,2012
2012-04-12,1.79,1.85,1.75,1.79,144600,1.79,50.434833233,2,2012
2012-04-13,1.82,1.92,1.8,1.9,119300,1.9,54.2229953098,2,2012
2012-04-16,2.1,2.16,1.95,2.01,347800,2.01,57.7042321985,2,2012
2012-04-17,2.02,2.03,1.9,1.97,195900,1.97,56.0354447769,2,2012
2012-04-18,1.97,2.04,1.87,2.02,243900,2.02,57.6828646761,2,2012
2012-04-19,2.02,2.04,1.92,1.94,93500,1.94,54.1843768064,2,2012
2012-04-20,1.95,2.08,1.9,2.05,221900,2.05,57.959960079,2,2012
2012-04-23,2.01,2.18,1.95,2.11,350000,2.11,59.9010544752,2,2012
2012-04-24,2.14,2.37,2.12,2.27,911900,2.27,64.5956060656,2,2012
2012-04-25,2.27,2.3,2.11,2.19,275600,2.19,60.7649845522,2,2012
2012-04-26,2.21,2.24,2.06,2.08,256400,2.08,55.8598241697,2,2012
2012-04-27,2.1,2.1,2.0,2.03,104600,2.03,53.7364299406,2,2012
2012-04-30,2.15,2.15,2.0,2.03,85000,2.03,53.7364299406,2,2012
2012-05-01,2.05,2.11,2.01,2.09,79000,2.09,56.0609451492,2,2012
2012-05-02,2.1,2.1,2.03,2.05,74900,2.05,54.109049578,2,2012
2012-05-03,2.04,2.05,1.95,1.98,134700,1.98,50.7771837432,2,2012
2012-05-04,1.98,1.98,1.83,1.89,114200,1.89,46.7880237571,2,2012
2012-05-07,1.9,1.92,1.83,1.86,81000,1.86,45.5047106498,2,2012
2012-05-08,1.87,2.21,1.84,2.03,1037400,2.03,53.3183980017,2,2012
2012-05-09,2.01,2.19,2.0,2.11,357200,2.11,56.4807093317,2,2012
2012-05-10,2.11,2.14,1.93,2.01,224000,2.01,51.7605919069,2,2012
2012-05-11,1.96,1.99,1.87,1.94,131800,1.94,48.692971207,2,2012
2012-05-14,1.93,1.94,1.85,1.92,64700,1.92,47.8209298518,2,2012
2012-05-15,1.91,2.08,1.9,1.99,214000,1.99,51.1204496264,2,2012
2012-05-16,2.08,2.12,1.94,1.98,438100,1.98,50.6279213822,2,2012
2012-05-17,1.98,1.99,1.83,1.84,152400,1.84,44.2064463425,2,2012
2012-05-18,1.89,1.89,1.73,1.76,186700,1.76,41.0058072706,2,2012
2012-05-21,1.79,1.81,1.64,1.78,98100,1.78,42.13378587,2,2012
2012-05-22,1.76,1.83,1.69,1.82,74000,1.82,44.4225695106,2,2012
2012-05-23,1.81,1.85,1.76,1.84,48000,1.84,45.5815615003,2,2012
2012-05-24,1.82,2.79,1.8,2.72,3969300,2.72,72.628494193,2,2012
2012-05-25,2.61,2.65,2.17,2.22,1946200,2.22,55.6916035663,2,2012
2012-05-29,2.25,2.35,2.02,2.08,581200,2.08,52.0327412737,2,2012
2012-05-30,2.06,2.22,2.06,2.09,373900,2.09,52.2739364424,2,2012
2012-05-31,2.13,2.14,2.03,2.04,237100,2.04,50.8958984922,2,2012
2012-06-01,2.02,2.07,1.9,1.97,358300,1.97,48.9503395175,2,2012
2012-06-04,1.99,1.99,1.9,1.97,172900,1.97,48.9503395175,2,2012
2012-06-05,1.97,2.08,1.92,2.01,148000,2.01,50.2116462076,2,2012
2012-06-06,2.02,2.1,1.98,2.08,121400,2.08,52.4268441306,2,2012
2012-06-07,2.09,2.1,2.02,2.09,91300,2.09,52.7502670331,2,2012
2012-06-08,2.06,2.17,2.02,2.13,196600,2.13,54.0946313068,2,2012
