Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2012-01-27,11.0,11.47,10.75,11.09,747800,11.09,,1,2012
2012-01-30,10.62,11.4,10.62,11.4,88900,11.4,,1,2012
2012-01-31,11.1,11.15,10.05,10.96,110900,10.96,,1,2012
2012-02-01,11.18,11.19,10.74,11.0,12100,11.0,,1,2012
2012-02-02,11.2,11.2,10.65,11.0,62700,11.0,,1,2012
2012-02-03,11.05,11.15,10.84,11.14,42300,11.14,,1,2012
2012-02-06,11.18,11.18,10.66,10.94,46800,10.94,,1,2012
2012-02-07,10.71,11.15,10.71,10.93,5000,10.93,,1,2012
2012-02-08,10.9,11.18,10.88,11.0,15700,11.0,,1,2012
2012-02-09,11.01,11.11,10.8,10.88,13700,10.88,,1,2012
2012-02-10,10.88,10.9,10.36,10.9,48600,10.9,,1,2012
2012-02-13,11.39,11.63,10.81,11.32,34800,11.32,,1,2012
2012-02-14,11.27,11.57,10.63,11.39,29800,11.39,,1,2012
2012-02-15,11.03,11.54,11.03,11.34,19500,11.34,,1,2012
2012-02-16,11.75,11.75,11.29,11.58,9100,11.58,61.5023474178,1,2012
2012-02-17,11.55,11.75,11.44,11.52,29900,11.52,59.6915527515,1,2012
2012-02-21,11.59,11.61,10.78,11.01,4400,11.01,47.0192205586,1,2012
2012-02-22,11.07,11.44,10.75,11.05,3900,11.05,47.9525133971,1,2012
2012-02-23,10.95,11.85,10.95,11.3,10200,11.3,53.4695009179,1,2012
2012-02-24,11.19,11.53,10.5,10.86,10500,10.86,44.5241869494,1,2012
2012-02-27,11.82,11.82,10.73,11.5,2400,11.5,56.0434571821,1,2012
2012-02-28,11.85,11.85,11.02,11.6,3300,11.6,57.5274583771,1,2012
2012-02-29,11.5,11.7,11.03,11.6,3100,11.6,57.5274583771,1,2012
2012-03-01,11.7,11.7,11.01,11.3,10500,11.3,51.4804112671,1,2012
2012-03-02,11.67,11.7,11.03,11.7,4800,11.7,57.8433491819,1,2012
2012-03-05,11.7,11.7,11.14,11.16,17300,11.16,48.5809224886,1,2012
2012-03-06,11.16,11.16,10.78,11.1,7100,11.1,47.6675738727,1,2012
2012-03-07,11.26,11.8,10.73,10.86,39500,10.86,44.0963419416,1,2012
2012-03-08,10.94,11.99,10.8,10.82,30100,10.82,43.511242178,1,2012
2012-03-09,10.85,11.5,10.71,11.23,13000,11.23,50.7279125607,1,2012
2012-03-12,11.39,11.39,10.9,11.36,13600,11.36,52.7874808558,1,2012
2012-03-13,11.33,11.5,10.9,11.2,17800,11.2,50.0164013228,1,2012
2012-03-14,10.97,11.4,10.91,11.0,16200,11.0,46.7152074389,1,2012
2012-03-15,11.03,12.24,11.03,12.01,53700,12.01,60.7897494013,1,2012
2012-03-16,12.21,12.21,10.95,11.05,51900,11.05,47.8518383647,1,2012
2012-03-19,11.14,11.4,11.02,11.02,6500,11.02,47.5115339643,1,2012
2012-03-20,10.99,11.37,10.95,11.07,9000,11.07,48.17307654,1,2012
2012-03-21,11.05,11.15,10.51,10.7,20100,10.7,43.7761621799,1,2012
2012-03-22,10.71,10.75,10.06,10.64,23900,10.64,43.0893347637,1,2012
2012-03-23,10.56,10.95,10.56,10.93,5900,10.93,47.3861021794,1,2012
2012-03-26,10.79,10.95,10.5,10.87,11400,10.87,46.6021455596,1,2012
2012-03-27,10.95,10.95,10.42,10.74,31600,10.74,44.8700402634,1,2012
2012-03-28,10.66,10.88,10.52,10.85,20000,10.85,46.6760685788,1,2012
2012-03-29,10.78,10.9,10.5,10.63,35400,10.63,43.5997218827,1,2012
2012-03-30,10.63,11.11,10.58,10.93,516800,10.93,48.5768930712,1,2012
2012-04-02,10.94,11.12,10.65,10.91,36500,10.91,48.2710619964,2,2012
2012-04-03,10.94,10.94,10.52,10.73,14400,10.73,45.4949181982,2,2012
2012-04-04,10.64,10.94,10.55,10.61,12400,10.61,43.690905564,2,2012
2012-04-05,10.63,10.72,10.59,10.59,3000,10.59,43.3821454834,2,2012
2012-04-09,10.5,10.77,10.49,10.77,16800,10.77,47.0115745023,2,2012
2012-04-10,10.7,10.98,10.56,10.59,76400,10.59,43.9757096179,2,2012
2012-04-11,10.78,11.27,10.57,11.11,24700,11.11,53.3483179881,2,2012
2012-04-12,11.09,11.37,10.99,11.0,17500,11.0,51.3897674453,2,2012
