Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2014-04-17,12.25,12.49,11.85,12.0,998700,12.0,,2,2014
2014-04-21,12.5,12.5,12.0,12.1,51800,12.1,,2,2014
2014-04-22,12.0,12.32,12.0,12.32,36900,12.32,,2,2014
2014-04-23,12.3,12.3,12.05,12.25,42000,12.25,,2,2014
2014-04-24,12.75,12.75,12.0,12.28,33400,12.28,,2,2014
2014-04-25,12.15,12.39,12.01,12.39,18400,12.39,,2,2014
2014-04-28,12.35,12.59,12.2,12.57,46500,12.57,,2,2014
2014-04-29,12.75,13.0,12.2,12.95,237800,12.95,,2,2014
2014-04-30,12.84,13.0,12.5,13.0,59000,13.0,,2,2014
2014-05-01,12.9,12.95,12.19,12.35,272600,12.35,,2,2014
2014-05-02,12.35,12.38,10.72,11.21,108300,11.21,,2,2014
2014-05-05,10.66,12.59,10.66,12.1,105800,12.1,,2,2014
2014-05-06,12.8,12.8,11.71,11.8,30800,11.8,,2,2014
2014-05-07,11.82,12.29,11.82,12.28,10900,12.28,,2,2014
2014-05-08,12.32,12.49,12.25,12.34,21300,12.34,53.6480686695,2,2014
2014-05-09,12.35,12.5,12.07,12.5,15100,12.5,55.3008595989,2,2014
2014-05-12,12.39,12.5,12.0,12.49,23200,12.49,55.1684542278,2,2014
2014-05-13,12.54,12.54,12.361,12.39,10100,12.39,53.7817204478,2,2014
2014-05-14,12.35,12.55,12.35,12.47,48600,12.47,54.7614045538,2,2014
2014-05-15,12.36,12.44,12.06,12.18,27000,12.18,50.5762490569,2,2014
2014-05-16,12.16,12.47,12.15,12.38,5100,12.38,53.2309305953,2,2014
2014-05-19,12.34,12.38,12.04,12.17,5200,12.17,50.18298507,2,2014
2014-05-20,12.08,12.14,12.0,12.14,14900,12.14,49.744780098,2,2014
2014-05-21,12.0,12.69,12.0,12.21,24700,12.21,50.8238189382,2,2014
2014-05-22,12.14,12.61,12.03,12.5,24800,12.5,55.1228068786,2,2014
2014-05-23,12.06,12.73,12.06,12.55,39700,12.55,55.8396118351,2,2014
2014-05-27,12.69,12.8,12.0,12.04,46500,12.04,47.504769579,2,2014
2014-05-28,12.0,12.49,11.66,11.71,51100,11.71,43.0292149365,2,2014
2014-05-29,11.8,12.61,11.8,12.03,17400,12.03,48.1322417225,2,2014
2014-05-30,11.96,12.39,11.75,12.0,26000,12.0,47.7008638663,2,2014
2014-06-02,12.5,13.14,11.97,12.7,51100,12.7,57.3140649483,2,2014
2014-06-03,12.81,14.5,12.81,13.97,44200,13.97,68.5934248687,2,2014
2014-06-04,14.0,14.07,13.24,14.01,21200,14.01,68.8724132147,2,2014
2014-06-05,14.19,19.360001,13.99,17.700001,141200,17.700001,83.4647960444,2,2014
2014-06-06,19.0,19.0,15.78,18.33,81700,18.33,84.7769380437,2,2014
2014-06-09,17.0,19.799999,16.209999,19.6,67800,19.6,87.0140756279,2,2014
2014-06-10,20.0,24.4,19.315001,23.75,102300,23.75,91.44060135,2,2014
2014-06-11,24.200001,29.99,23.879999,28.66,270900,28.66,94.0324276594,2,2014
2014-06-12,30.5,34.939999,26.5,32.110001,253300,32.110001,95.1448875164,2,2014
2014-06-13,34.48,35.200001,30.124001,32.139999,326000,32.139999,95.1533478263,2,2014
2014-06-16,32.16,35.009998,29.610001,33.310001,144100,33.310001,95.4838925502,2,2014
2014-06-17,32.880001,34.990002,30.799999,32.41,89900,32.41,90.3777718384,2,2014
2014-06-18,32.060001,33.490002,30.16,30.52,94000,30.52,80.6268805405,2,2014
2014-06-19,30.76,31.1,23.27,23.49,182500,23.49,56.2967588456,2,2014
