Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2012-01-03,16.73,16.860001,16.309999,16.4,523300,16.4,,1,2012
2012-01-04,16.32,16.35,15.86,16.1,256600,16.1,,1,2012
2012-01-05,16.030001,16.25,15.86,16.18,157100,16.18,,1,2012
2012-01-06,16.129999,16.49,15.95,16.209999,359300,16.209999,,1,2012
2012-01-09,16.23,16.360001,15.7,16.059999,299000,16.059999,,1,2012
2012-01-10,16.23,16.450001,15.98,16.450001,387100,16.450001,,1,2012
2012-01-11,16.4,16.6,16.299999,16.549999,352500,16.549999,,1,2012
2012-01-12,16.530001,16.6,16.32,16.540001,208600,16.540001,,1,2012
2012-01-13,16.34,16.559999,16.34,16.540001,196400,16.540001,,1,2012
2012-01-17,16.57,16.690001,16.459999,16.549999,452000,16.549999,,1,2012
2012-01-18,16.559999,16.690001,16.17,16.690001,285100,16.690001,,1,2012
2012-01-19,16.700001,16.75,15.91,16.49,514200,16.49,,1,2012
2012-01-20,16.440001,16.690001,16.389999,16.51,266700,16.51,,1,2012
2012-01-23,16.5,16.77,16.48,16.51,182200,16.51,,1,2012
2012-01-24,16.48,16.75,16.459999,16.6,163200,16.6,56.5789560249,1,2012
2012-01-25,16.620001,17.26,16.549999,17.200001,446500,17.200001,69.5312831809,1,2012
2012-01-26,17.35,17.549999,17.09,17.27,506500,17.27,70.6319288111,1,2012
2012-01-27,17.16,17.41,17.120001,17.35,343500,17.35,71.8820712814,1,2012
2012-01-30,17.219999,17.379999,17.08,17.139999,132900,17.139999,64.1610998675,1,2012
2012-01-31,17.23,17.23,16.809999,16.940001,228400,16.940001,57.7942452718,1,2012
2012-02-01,16.98,17.42,16.969999,17.32,309800,17.32,64.9175910028,1,2012
2012-02-02,17.35,17.74,17.34,17.49,219200,17.49,67.5557515537,1,2012
2012-02-03,17.73,17.780001,17.459999,17.49,189500,17.49,67.5557515537,1,2012
2012-02-06,17.290001,17.450001,17.1,17.200001,143400,17.200001,58.8067948036,1,2012
2012-02-07,17.059999,17.27,17.030001,17.049999,150400,17.049999,54.849895682,1,2012
2012-02-08,17.08,17.299999,16.969999,17.23,114100,17.23,58.4618111458,1,2012
2012-02-09,17.26,17.41,16.559999,16.610001,212600,16.610001,45.0835972566,1,2012
